"country","countryiso3","latest.year_value_country_rank_and_va.24717","latest.value_value_country_rank_and_va.24717","latest.year_rank_country_rank_and_val.24718","latest.value_rank_country_rank_and_val.24718"
"Jordan","JOR",2016,50,2017,75
"Japan","JPN",2016,93.6,2017,8
"Kazakhstan","KAZ",2016,66,2017,51
"Kenya","KEN",2016,45,2017,82
"Kyrgyz Republic","KGZ",2016,29,2017,117
"Cambodia","KHM",2016,29,2017,115
"Korea, Rep.","KOR",2015,84.3,2016,7
"Kuwait","KWT",2016,63,2017,57
"Lao PDR","LAO",2015,20.3,2016,115
"Lebanon","LBN",2016,63,2017,56
"Liberia","LBR",2016,18,2017,130
"Sri Lanka","LKA",2016,52,2017,73
"Lesotho","LSO",2016,22,2017,125
"Lithuania","LTU",2016,79,2017,35
"Luxembourg","LUX",2016,96.5,2017,1
"Latvia","LVA",2016,87,2017,24
"Morocco","MAR",2016,43,2017,85
"Moldova","MDA",2016,59,2017,66
"Madagascar","MDG",2016,29,2017,118
"Mexico","MEX",2016,42,2017,90
"Macedonia, FYR","MKD",2015,60,2016,45
"Mali","MLI",2016,23,2017,124
"Malta","MLT",2016,85,2017,28
"Myanmar","MMR",2016,23,2017,123
"Montenegro","MNE",2016,57,2017,69
"Mongolia","MNG",2016,64,2017,55
"Mauritania","MRT",2016,21,2017,126
"Mauritius","MUS",2016,76,2017,39
"Malawi","MWI",2016,17,2017,131
"Malaysia","MYS",2016,77,2017,38
"Namibia","NAM",2016,42,2017,89
"Niger","NER",2016,3,2017,144
"Nigeria","NGA",2016,46,2017,80
"Nicaragua","NIC",2016,23,2017,122
"Netherlands","NLD",2016,95.9,2017,4
"Norway","NOR",2016,96.39,2017,3
"Nepal","NPL",2016,35,2017,108
"New Zealand","NZL",2016,93,2017,10
"Oman","OMN",2016,60,2017,64
"Pakistan","PAK",2016,24,2017,120
"Panama","PAN",2016,43,2017,84
"Peru","PER",2016,41,2017,94
"Philippines","PHL",2016,40,2017,96
"Poland","POL",2016,78,2017,37
"Portugal","PRT",2016,68,2017,48
"Paraguay","PRY",2016,41,2017,93
"Qatar","QAT",2016,62,2017,58
"Romania","ROU",2016,69,2017,45
"Russian Federation","RUS",2016,71,2017,43
"Rwanda","RWA",2016,37,2017,99
"Saudi Arabia","SAU",2016,69,2017,46
"Sudan","SDN",2016,15,2017,137
"Senegal","SEN",2016,30,2017,112
"Singapore","SGP",2016,90,2017,18
"Sierra Leone","SLE",2016,16,2017,136
"El Salvador","SLV",2016,49,2017,76
"Serbia","SRB",2016,73,2017,41
"Slovak Republic","SVK",2016,82,2017,30
"Slovenia","SVN",2016,87,2017,25
"Sweden","SWE",2016,94.6,2017,7
"Swaziland","SWZ",2016,29,2017,114
"Syrian Arab Republic","SYR",2016,21,2017,127
"Chad","TCD",2016,6,2017,143
"Togo","TGO",2016,32,2017,111
"Thailand","THA",2016,68,2017,49
"Trinidad and Tobago","TTO",2015,47.5,2016,67
"Tunisia","TUN",2016,47,2017,79
"Turkey","TUR",2016,62,2017,60
"Tanzania","TZA",2016,27,2017,119
"Uganda","UGA",2016,43,2017,86
"Ukraine","UKR",2016,60,2017,63
"Uruguay","URY",2016,59,2017,67
"United States","USA",2016,87,2017,26
"Uzbekistan","UZB",2016,35,2017,106
"Venezuela, RB","VEN",2015,32.8,2016,94
"Vietnam","VNM",2016,50,2017,74
"South Africa","ZAF",2016,54,2017,72
"Zambia","ZMB",2016,24,2017,121
"Zimbabwe","ZWE",2016,33,2017,109
