"country","countryiso3","latest.year_1 yes 0 no_electoral_demo.28902","latest.value_1 yes 0 no_electoral_demo.28902","latest.year_1 to 7 scale_civil_libert.40985","latest.value_1 to 7 scale_civil_libert.40985","latest.year_1 to 7 scale_political_ri.40986","latest.value_1 to 7 scale_political_ri.40986","latest.year_1 to 3 scale_freedom_stat.40987","latest.value_1 to 3 scale_freedom_stat.40987"
"Senegal","SEN",2016,1,2018,20899,2018,20899,2018,37943
"Singapore","SGP",2016,0,2018,66165,2018,66165,2018,20899
"Solomon Islands","SLB",2016,1,2018,20899,2018,37943,2018,37943
"Sierra Leone","SLE",2016,1,2018,37943,2018,37943,2018,20899
"El Salvador","SLV",2016,1,2018,37943,2018,20899,2018,37943
"San Marino","SMR",2016,1,2018,14341,2018,14341,2018,37943
"Somalia","SOM",2016,0,2018,116464,2018,116464,2018,14341
"Serbia","SRB",2016,1,2018,20899,2018,37943,2018,37943
"South Sudan","SSD",NA,NA,2018,116464,2018,116464,2018,14341
"Sao Tome and Principe","STP",NA,NA,2018,20899,2018,20899,2018,37943
"Suriname","SUR",2016,1,2018,20899,2018,20899,2018,37943
"Slovak Republic","SVK",2016,1,2018,14341,2018,14341,2018,37943
"Slovenia","SVN",2016,1,2018,14341,2018,14341,2018,37943
"Sweden","SWE",2016,1,2018,14341,2018,14341,2018,37943
"Swaziland","SWZ",2016,0,2018,107856,2018,116464,2018,14341
"Seychelles","SYC",2016,1,2018,37943,2018,37943,2018,20899
"Syrian Arab Republic","SYR",2016,0,2018,116464,2018,116464,2018,14341
"Chad","TCD",2016,0,2018,107856,2018,116464,2018,14341
"Togo","TGO",2016,0,2018,66165,2018,66165,2018,20899
"Thailand","THA",2016,0,2018,91179,2018,107856,2018,14341
"Tajikistan","TJK",2016,0,2018,107856,2018,116464,2018,14341
"Turkmenistan","TKM",2016,0,2018,116464,2018,116464,2018,14341
"Timor-Leste","TLS",2016,2,2018,37943,2018,20899,2018,37943
"Tonga","TON",2016,1,2018,20899,2018,20899,2017,37943
"Trinidad and Tobago","TTO",2016,1,2018,20899,2018,20899,2018,37943
"Tunisia","TUN",2016,1,2018,37943,2018,20899,2018,37943
"Turkey","TUR",2016,0,2018,107856,2018,91179,2018,14341
"Tuvalu","TUV",2016,1,2018,14341,2018,14341,2018,37943
"Tanzania","TZA",2016,1,2018,66165,2018,66165,2018,20899
"Uganda","UGA",2016,0,2018,66165,2018,107856,2018,20899
"Ukraine","UKR",2016,1,2018,37943,2018,37943,2018,20899
"Uruguay","URY",2016,1,2018,14341,2018,14341,2018,37943
"United States","USA",2016,1,2018,14341,2018,20899,2018,37943
"Uzbekistan","UZB",2016,0,2018,116464,2018,116464,2018,14341
"St. Vincent and the Grenadines","VCT",2016,1,2018,14341,2018,14341,2018,37943
"Venezuela, RB","VEN",2016,0,2018,91179,2018,107856,2018,14341
"Vietnam","VNM",2016,0,2018,91179,2018,116464,2018,14341
"Vanuatu","VUT",2016,1,2018,20899,2018,20899,2018,37943
"Samoa","WSM",2016,1,2018,20899,2018,20899,2018,37943
"Yemen, Rep.","YEM",2016,0,2018,107856,2018,116464,2018,14341
"South Africa","ZAF",2016,1,2018,20899,2018,20899,2018,37943
"Zambia","ZMB",2016,0,2018,66165,2018,66165,2018,20899
"Zimbabwe","ZWE",2016,0,2018,91179,2018,107856,2018,14341
