"country","countryiso3","1 yes 0 no_electoral_demo.28902_2013","1 yes 0 no_electoral_demo.28902_2014","1 yes 0 no_electoral_demo.28902_2015","1 yes 0 no_electoral_demo.28902_2016","1 to 7 scale_civil_libert.40985_2013","1 to 7 scale_civil_libert.40985_2014","1 to 7 scale_civil_libert.40985_2015","1 to 7 scale_civil_libert.40985_2016","1 to 7 scale_civil_libert.40985_2017","1 to 7 scale_civil_libert.40985_2018","1 to 7 scale_political_ri.40986_2013","1 to 7 scale_political_ri.40986_2014","1 to 7 scale_political_ri.40986_2015","1 to 7 scale_political_ri.40986_2016","1 to 7 scale_political_ri.40986_2017","1 to 7 scale_political_ri.40986_2018","1 to 3 scale_freedom_stat.40987_2013","1 to 3 scale_freedom_stat.40987_2014","1 to 3 scale_freedom_stat.40987_2015","1 to 3 scale_freedom_stat.40987_2016","1 to 3 scale_freedom_stat.40987_2017","1 to 3 scale_freedom_stat.40987_2018"
"Macedonia, FYR","MKD",1,1,0,0,37943,37943,37943,37943,37943,37943,37943,37943,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Mali","MLI",0,0,0,0,91179,66165,66165,66165,66165,66165,116464,91179,91179,91179,91179,91179,14341,20899,20899,20899,20899,20899
"Malta","MLT",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Myanmar","MMR",0,0,0,0,91179,91179,107856,91179,91179,91179,107856,107856,107856,107856,91179,91179,14341,14341,14341,14341,20899,20899
"Montenegro","MNE",1,1,1,1,20899,20899,20899,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899
"Mongolia","MNG",1,1,1,1,20899,20899,20899,20899,20899,20899,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Mozambique","MOZ",0,0,0,0,37943,37943,37943,66165,66165,66165,66165,66165,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Mauritania","MRT",0,0,0,0,91179,91179,91179,91179,91179,91179,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Mauritius","MUS",1,1,1,1,20899,20899,20899,20899,20899,20899,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Malawi","MWI",1,1,1,1,66165,66165,66165,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Malaysia","MYS",0,0,0,0,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Namibia","NAM",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Niger","NER",1,1,1,0,66165,66165,66165,66165,66165,66165,37943,37943,37943,37943,66165,66165,20899,20899,20899,20899,20899,20899
"Nigeria","NGA",0,0,1,1,66165,66165,91179,91179,91179,91179,66165,66165,66165,66165,37943,37943,20899,20899,20899,20899,20899,20899
"Nicaragua","NIC",0,0,0,0,66165,37943,37943,37943,66165,66165,91179,66165,66165,66165,91179,91179,20899,20899,20899,20899,20899,20899
"Netherlands","NLD",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Norway","NOR",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Nepal","NPL",1,1,1,1,66165,66165,66165,66165,66165,66165,66165,66165,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Nauru","NRU",1,1,1,1,14341,14341,20899,20899,20899,20899,14341,14341,14341,20899,20899,20899,37943,37943,37943,37943,37943,37943
"New Zealand","NZL",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Oman","OMN",0,0,0,0,91179,91179,91179,91179,NA,91179,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Pakistan","PAK",1,1,1,1,91179,91179,91179,91179,91179,91179,66165,66165,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Panama","PAN",1,1,1,1,20899,20899,20899,20899,20899,20899,14341,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Peru","PER",1,1,1,1,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Philippines","PHL",1,1,1,1,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Palau","PLW",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Papua New Guinea","PNG",1,1,1,1,37943,37943,37943,37943,37943,37943,66165,37943,66165,66165,37943,37943,20899,20899,20899,20899,20899,20899
"Poland","POL",1,1,1,1,14341,14341,14341,14341,20899,20899,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Korea, Dem. People’s Rep.","PRK",0,0,0,0,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Portugal","PRT",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Paraguay","PRY",1,1,1,1,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Qatar","QAT",0,0,0,0,91179,91179,91179,91179,91179,91179,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Romania","ROU",2,2,2,2,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,NA,37943,37943,37943,37943,37943
