"country","countryiso3","1 yes 0 no_electoral_demo.28902_2013","1 yes 0 no_electoral_demo.28902_2014","1 yes 0 no_electoral_demo.28902_2015","1 yes 0 no_electoral_demo.28902_2016","1 to 7 scale_civil_libert.40985_2013","1 to 7 scale_civil_libert.40985_2014","1 to 7 scale_civil_libert.40985_2015","1 to 7 scale_civil_libert.40985_2016","1 to 7 scale_civil_libert.40985_2017","1 to 7 scale_civil_libert.40985_2018","1 to 7 scale_political_ri.40986_2013","1 to 7 scale_political_ri.40986_2014","1 to 7 scale_political_ri.40986_2015","1 to 7 scale_political_ri.40986_2016","1 to 7 scale_political_ri.40986_2017","1 to 7 scale_political_ri.40986_2018","1 to 3 scale_freedom_stat.40987_2013","1 to 3 scale_freedom_stat.40987_2014","1 to 3 scale_freedom_stat.40987_2015","1 to 3 scale_freedom_stat.40987_2016","1 to 3 scale_freedom_stat.40987_2017","1 to 3 scale_freedom_stat.40987_2018"
"Burkina Faso","BFA",0,0,0,1,37943,37943,37943,37943,37943,37943,91179,91179,107856,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Bangladesh","BGD",1,1,1,1,66165,66165,66165,66165,66165,66165,37943,37943,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Bulgaria","BGR",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Bahrain","BHR",0,0,0,0,107856,107856,107856,107856,107856,107856,107856,107856,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Bahamas, The","BHS",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Bosnia and Herzegovina","BIH",1,1,1,1,37943,37943,37943,37943,66165,66165,37943,37943,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Belarus","BLR",0,0,0,0,107856,107856,107856,107856,107856,107856,116464,116464,116464,116464,116464,107856,14341,14341,14341,14341,14341,14341
"Belize","BLZ",1,1,1,1,20899,20899,20899,20899,20899,20899,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Bolivia","BOL",1,1,1,1,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Brazil","BRA",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Barbados","BRB",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Brunei Darussalam","BRN",0,0,0,0,91179,91179,91179,91179,91179,91179,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Bhutan","BTN",1,1,1,1,91179,66165,66165,66165,66165,66165,66165,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Botswana","BWA",1,1,1,1,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943
"Central African Republic","CAF",0,0,0,0,91179,116464,116464,116464,116464,116464,91179,116464,116464,116464,116464,116464,20899,14341,14341,14341,14341,14341
"Canada","CAN",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Switzerland","CHE",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Chile","CHL",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"China","CHN",0,0,0,0,107856,107856,107856,107856,107856,107856,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Cote d'Ivoire","CIV",0,0,1,1,91179,66165,66165,66165,66165,66165,91179,91179,91179,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Cameroon","CMR",0,0,0,0,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Congo, Dem. Rep.","COD",NA,NA,NA,NA,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,116464,116464,14341,14341,14341,14341,14341,14341
"Congo, Rep.","COG",NA,NA,NA,NA,91179,91179,91179,91179,91179,91179,107856,107856,107856,107856,116464,116464,14341,14341,14341,14341,14341,14341
"Colombia","COL",1,1,1,1,66165,66165,66165,66165,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Comoros","COM",1,1,1,1,66165,66165,66165,66165,66165,66165,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Cabo Verde","CPV",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Costa Rica","CRI",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Cuba","CUB",0,0,0,0,107856,107856,107856,107856,107856,107856,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
