"country","countryiso3","SL.EMP.VULN.FE.ZS_2013","SL.EMP.VULN.FE.ZS_2014","SL.EMP.VULN.FE.ZS_2015","SL.EMP.VULN.FE.ZS_2016","SL.EMP.VULN.FE.ZS_2017","SL.EMP.VULN.FE.ZS_2018","SL.EMP.VULN.FE.ZS_2019"
"Channel Islands","CHI",8.26799988746643,8.22399985790252,8.20199978351593,8.16099977493287,8.09899997711182,8.0440001487732,7.99399995803833
"Chile","CHL",22.5369997024536,23.2789995670319,22.8110008239746,23.6550003290176,23.7709993124008,23.0890005826951,22.9009990692139
"China","CHN",54.5189990997314,53.4610004425049,52.4069995880126,51.3479995727539,50.2840003967285,49.2370014190674,48.845998764038
"Colombia","COL",48.7409992218017,47.6330018043518,47.0029997825622,46.917001247406,46.5089988708496,46.431999206543,46.2450013160706
"Comoros","COM",78.0350017547607,77.9440002441406,77.8809986114502,77.7780017852784,77.6480007171631,77.5139999389648,77.4560012817383
"Congo, Dem. Rep.","COD",90.6709995269775,90.5690002441407,90.4809989929199,90.4229984283447,90.3450012207031,90.2490005493164,90.1789989471436
"Congo, Rep.","COG",90.7839994430542,90.7569975852966,90.6849980354309,90.6529994010925,90.6919984817505,90.7100009918213,90.6940007209778
"Costa Rica","CRI",19.5150003433228,18.9970002174378,19.1590001583099,16.9070000648498,18.5689995288849,20.9200000762939,20.8890006542206
"Cote d'Ivoire","CIV",86.6900005340576,86.2099990844726,85.6870002746582,85.101001739502,82.5929965972901,82.314001083374,82.0420036315918
"Croatia","HRV",13.0130002498626,9.25199985504151,9.09100008010864,7.17399978637696,6.68300008773804,6.60099995136261,6.50600004196167
"Cuba","CUB",9.08700025081635,11.8549998998642,11.9320003986359,11.8309996128082,11.8359998464584,11.7430003881455,11.6639995574951
"Cyprus","CYP",10.0839998722076,11.3259999752045,10.6000003814697,9.63499963283539,9.26799970865249,9.27500039339066,9.22300010919571
"Czech Republic","CZE",11.6240001916885,11.1920001506805,10.918000459671,11.6059997677804,11.3180002570152,10.7759998440743,10.6509997844696
"Denmark","DNK",3.91100007295609,3.85300004482269,3.63300010561943,4.1609999537468,3.79600003361702,3.60700005292892,3.58100005984306
"Djibouti","DJI",55.9370002746582,55.5970001220703,55.2079982757568,54.8179998397827,54.4519996643066,54.108998298645,53.7649984359741
"Dominican Republic","DOM",28.5169999599457,27.5429999828339,30.0069992542267,29.1339991092682,28.5640006065368,28.5399992465973,28.5099999904633
"Early-demographic dividend","EAR",63.4888952738768,62.7606424733436,61.8972324482047,61.0689155290882,60.5259811162745,59.9724945228517,59.7478194316734
"East Asia & Pacific","EAS",51.6666891928699,50.7392589087907,49.4851240440695,48.5409792851967,47.7160760853738,47.0144399180835,46.676307070156
"East Asia & Pacific (excluding high income)","EAP",56.1107770595375,55.1430140621649,53.8559717780026,52.9066286187539,52.0579338156262,51.3730472709119,51.0166736747928
"East Asia & Pacific (IDA & IBRD countries)","TEA",55.5074680036606,54.523327196201,53.2130635498412,52.2459623914983,51.3808228126792,50.683362192152,50.3173022515115
"Ecuador","ECU",50.7889995574952,48.9640007019043,51.7139987945557,55.2349987030029,56.8640022277832,56.9249992370606,56.6250000000001
"Egypt, Arab Rep.","EGY",45.8230018615723,46.6300010681153,46.5049996376038,31.6549987792969,35.0100011825562,34.0010004043579,32.9289999008178
"El Salvador","SLV",45.7990016937256,42.4960012435913,44.0789999961853,44.6110000610352,44.8099994659424,43.0980010032654,42.9509997367859
"Equatorial Guinea","GNQ",87.2569990158081,87.2970008850098,87.3280029296875,87.4129991531373,87.4790000915528,87.4890012741089,87.53600025177
"Eritrea","ERI",93.2379989624023,92.9469985961914,93.0540008544922,93.0120010375976,93.0439987182618,92.9140014648438,92.7960014343262
"Estonia","EST",4.47399988770485,4.31400004029274,4.76100000739098,4.58899992704391,4.00799992680549,4.8360000103712,4.76900017261505
"Eswatini","SWZ",37.9239983558654,38.5260004997254,39.306999206543,39.9540002346039,39.8160011768341,39.7209992408752,39.6129984855652
"Ethiopia","ETH",90.7220020294189,90.4589996337891,90.1790008544921,89.8850021362305,89.5990028381347,89.326000213623,89.0639991760254
"Euro area","EMU",8.6592711509104,8.74253282925353,8.57083472736369,8.44515163812937,8.24355992856872,8.12607018470268,8.10560966521981
"Europe & Central Asia","ECS",13.993804784324,13.463308248481,13.2309490882779,12.9918113043052,12.7182953625487,12.617560283047,12.4600041639901
"Europe & Central Asia (excluding high income)","ECA",19.7443333263846,18.5105668553847,18.3728536590514,18.112204710525,17.7650787935468,17.732280395746,17.5248376338634
"Europe & Central Asia (IDA & IBRD countries)","TEC",19.8697528264001,18.6735350029664,18.3737282040612,17.9415547798002,17.5638035719608,17.4769462770141,17.2497743907658
"European Union","EUU",10.0927878798999,10.0164487355874,9.68218498694847,9.39598592193041,9.16842816381027,8.9895478208683,8.90577545050969
"Fiji","FJI",50.4449996948242,49.9050006866455,49.5349998474121,49.2259998321533,48.5570011138916,48.1189994812012,47.6240005493164
"Finland","FIN",6.9659999012947,7.3680000603199,7.31099984049797,7.36699977517128,7.09099981188774,7.41000014543534,7.37699994444847
"Fragile and conflict affected situations","FCS",79.0498809421858,78.8762086492308,78.8002179093733,78.8463684709599,79.2246591264769,79.3377879795064,79.3828892712082
"France","FRA",5.54199981689453,6.10800015926361,5.98799991607666,6.13599985837936,6.29700022935867,6.21300008893013,6.19000017642975
"French Polynesia","PYF",10.752000361681,10.7789997458458,10.7730000317097,10.7719996273518,10.7220002114773,10.6420002281665,10.5559997260571
"Gabon","GAB",38.9890016317367,39.0139997005463,39.0460000038147,39.0849996805191,39.1220016479492,39.1819990873337,39.2390004396438
"Gambia, The","GMB",83.7360010147094,83.7009992599487,83.536997795105,83.4839973449707,83.3610019683838,83.1760025024414,83
"Georgia","GEO",56.6160011291504,55.5069999694824,52.3619995117187,50.1380004882812,50.1739997863769,49.7940006256103,49.3999996185302
"Germany","DEU",5.61000001430511,5.47300010919571,5.24100017547607,5.22399997711182,5.15900009870529,4.99499976634979,4.95399993658066
"Ghana","GHA",81.0069999694824,80.0979976654053,79.2790002822876,79.1520023345947,78.8660020828247,78.5460014343262,78.2760009765625
"Greece","GRC",27.6480002403259,26.4699993133545,25.1989994049072,24.4920001029968,24.4129996299744,23.6500005722046,23.5609998703003
"Guam","GUM",7.10200011730194,7.09100019931793,7.0829998254776,7.07200014591217,7.06500005722046,7.05200004577636,7.04399979114533
"Guatemala","GTM",47.6830005645752,45.9559993743896,45.8479995727539,45.0460014343262,47.6430006027221,47.5799999237061,47.5749979019165
"Guinea","GIN",95.8899993896484,95.8460006713867,95.8159980773925,95.7060012817383,95.5900001525879,95.5179977416993,95.4749984741211
"Guinea-Bissau","GNB",85.3709983825683,85.2939987182617,85.1489982604981,84.9740028381348,84.798002243042,84.6510009765625,84.4979991912842
"Guyana","GUY",30.8079996109009,30.3809995651245,29.9569988250732,29.564001083374,29.1310005187988,28.8199996948242,28.478000164032
"Haiti","HTI",82.7970008850097,82.5460014343262,82.2130012512207,82.1140003204346,82.0179977416993,81.8439998626709,81.6539993286133
"Heavily indebted poor countries (HIPC)","HPC",87.1989696110521,86.841767742276,86.6978786733531,86.4766705496926,86.2937873184364,86.1087041423392,85.9761427420024
"High income","HIC",8.62314113500542,8.56947719674673,8.32823835696369,8.15865628976085,8.09421460862576,8.00585591890752,7.94003965861904
"Honduras","HND",53.7870016098022,49.6509981155396,51.8159980773925,48.2250003814697,52.9859991073608,53.121000289917,53.0099992752075
"Hong Kong SAR, China","HKG",4.24299991130829,4.03200000524521,3.93099999427796,4.16500002145767,4.09800010919571,4.04299995303154,4.01199990510941
"Hungary","HUN",5.07900008559227,4.7589997947216,4.89899986982345,5.03700003027916,5.37300023436546,5.45300018787384,5.3450001180172
"IBRD only","IBD",50.5257769215796,49.5934212436389,48.6459175980553,47.8121825627409,47.1465851182271,46.5438106731872,46.2800560701312
"Iceland","ISL",6.36300000548363,6.75900000333786,6.37399983406067,5.72600018978119,5.91700008511543,6.09199985861779,6.04800000786781
"IDA & IBRD total","IBT",57.3276201437617,56.563225337679,55.8820807311329,55.2824770657464,54.7979489828991,54.3984518604421,54.3190148716706
"IDA blend","IDB",76.0365194182388,75.0912846088899,75.0754744236392,74.791151044518,74.1901799080999,73.6101201744842,73.4671603042953
"IDA only","IDX",83.5811521996611,82.9875957532986,82.5186506755666,82.2126915378642,81.6602326899282,81.4850881950931,81.3339928925672
"IDA total","IDA",81.423198279357,80.7398280716256,80.4090882291799,80.1477228040903,79.6139324094737,79.3416033878702,79.1982332966834
"India","IND",81.8110008239746,80.798002243042,79.7400016784668,78.6399993896485,77.5019989013672,76.3200016021729,76.0870018005371
"Indonesia","IDN",58.6040000915528,58.5359992980957,56.625,56.3159999847412,56.5999984741211,57.2189998626709,56.7769985198975
"Iran, Islamic Rep.","IRN",43.5240001678467,41.8920001983642,42.3889999389648,43.5100002288819,42.4249992370605,42.1780014038086,41.9570007324219
"Iraq","IRQ",30.3719997406005,25.5210008621216,20.3819999694825,14.8659996986389,8.54200005531311,8.69600033760071,8.8420000076294
"Ireland","IRL",5.9520000219345,6.09800016880035,6.16300004720688,6.07700002193451,5.6010000705719,5.7189998626709,5.63800019025803
"Israel","ISR",6.48500008881092,6.86300012469292,6.90999995172024,7.06500002741814,7.42500016838313,7.62499983981251,7.55600000172853
"Italy","ITA",14.1580002307892,14.706999540329,14.2389996051788,14.0549998283386,13.3010001182556,13.3899995088577,13.388999581337
"Jamaica","JAM",30.4779990911483,30.5099999904633,30.4990005493164,30.5780000686645,30.6059991121292,30.6060003042221,30.6170008182525
"Japan","JPN",9.51300001144409,9.32200002670288,8.89699983596802,8.32999992370606,8.12800025939941,7.95499992370605,7.8880000114441
"Jordan","JOR",1.83500003814697,1.8309999704361,1.82100003957749,1.81599995493889,1.8100000321865,1.80599993467331,1.79999998211861
"Kazakhstan","KAZ",28.5049993097782,26.6070004552603,24.8529994785786,23.6720007956028,22.522000335157,22.613999389112,22.7000003829598
"Kenya","KEN",65.1570014953614,63.5220003128051,61.9609994888306,60.4689998626709,60.2050008773804,59.9419984817504,59.71399974823
