"CountryName","CountryCode","Date","S1_School closing","S1_IsGeneral","S1_Notes","S2_Workplace closing","S2_IsGeneral","S2_Notes","S3_Cancel public events","S3_IsGeneral","S3_Notes","S4_Close public transport","S4_IsGeneral","S4_Notes","S5_Public information campaigns","S5_IsGeneral","S5_Notes","S6_Restrictions on internal movement","S6_IsGeneral","S6_Notes","S7_International travel controls","S7_Notes","S8_Fiscal measures","S8_Notes","S9_Monetary measures","S9_Notes","S10_Emergency investment in health care","S10_Notes","S11_Investment in Vaccines","S11_Notes","ConfirmedCases","ConfirmedDeaths","StringencyIndex","...35"
"Hong Kong","HKG",20200321,2,1,NA,0,0,NA,2,1,"Public cultural and leisure facilities will be temporarily closed from January 29 and recreational, sports and cultural programmes held at these venues will be cancelled until further notice.   https://www.info.gov.hk/gia/general/202001/28/P2020012800030.htm",0,0,NA,1,1,NA,1,1,NA,3,NA,0,NA,0.86,NA,0,NA,0,NA,NA,NA,67,NA
"Honduras","HND",20200321,2,1,"Source: https://www.reuters.com/article/us-health-coronavirus-honduras/honduras-orders-two-week-school-closure-over-coronavirus-idUSKBN20Z357",0,NA,NA,2,1,"Source: https://www.usnews.com/news/world/articles/2020-03-12/argentina-suspends-visas-to-travelers-from-coronavirus-hit-countries",0,0,NA,1,1,NA,2,1,NA,3,"https://www.usnews.com/news/world/articles/2020-03-12/argentina-suspends-visas-to-travelers-from-coronavirus-hit-countries",0,NA,0,NA,0,NA,0,NA,24,0,71,NA
"Croatia","HRV",20200321,2,1,NA,2,1,NA,2,1,NA,2,0,"The Civil Defence Headquarters for the City of Zagreb has reported on Saturday that all public traffic on roads and railways as well as public transport in the city itself has been halted.. https://glashrvatske.hrt.hr/en/news/domestic/public-transport-halted-throughout-croatia/",1,1,NA,2,1,NA,3,NA,0,NA,3,NA,0,NA,0,NA,126,0,95,NA
"Haiti","HTI",20200321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA
"Hungary","HUN",20200321,2,1,NA,2,1,NA,2,1,NA,1,1,NA,1,1,NA,1,1,NA,3,NA,0,NA,1,NA,0,NA,0,NA,103,4,90,NA
"Indonesia","IDN",20200321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,25,NA,NA
"India","IND",20200321,2,1,"https://www.mohfw.gov.in/pdf/DOSecyHE.pdf",2,0,"https://www.mohfw.gov.in/pdf/SocialDistancingAdvisorybyMOHFW.pdf",2,0,"https://www.mohfw.gov.in/pdf/SocialDistancingAdvisorybyMOHFW.pdf",2,0,"Corona outbreak: Punjab to suspend public transport from Friday midnight; https://economictimes.indiatimes.com/news/politics-and-nation/corona-outbreak-punjab-to-suspend-public-transport-from-friday-midnight/articleshow/74711951.cms",1,1,"https://www.mygov.in/covid-19/
https://pib.gov.in/indexd.aspxhttps://thelogicalindian.com/news/kerala-robots-create-awareness-about-coronavirus-20225",1,1,NA,3,"https://www.mohfw.gov.in/pdf/TravelAdvisory16thMarch.pdf",0,NA,5.15,"Reserve Bank of India's rate was 5.15 before Corona crisis started",0,NA,0,NA,231,4,81,NA
"Ireland","IRL",20200321,2,1,NA,2,1,NA,2,NA,NA,1,1,"Revised timetables
https://www.transportforireland.ie/news/covid-19-information/",1,1,"https://www.gov.ie/en/campaigns/c36c85-covid-19-coronavirus/",0,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,683,3,62,NA
"Iran","IRN",20200321,2,1,"Schools and universities will remain closed.",2,0,"The Administrative and Recruitment Affairs Organization ruled that telecommuting of government employees would be permissible.
Plans to clear streets and shops in Iran by the Revolutionary Guards were announced.",2,0,"The Ministry of Islamic Culture and Guidance announced the cancellation of all concerts and other cultural events.
The Ministry of Sports and Youth took steps to cancel sporting events, including football matches.
Plans to clear streets, shops, and public places in Iran by the Revolutionary Guards were announced.
Fatima Masumeh Shrine, Jamkaran Mosque in Qom, and Imam Reza Shrine in Mashhad were closed.",1,1,"President Hassan Rouhani ordered the Ministry of Roads and Urban Development to make decisions about public commuting.",1,1,"Iranian Cyber Police announced that to stop spreading photos and videos that are untrue and fake on COVID-19, notices were given to 118 people and 24 others were arrested.
The government created an application and a website to combat the outbreak.",2,1,NA,0,NA,118750736,NA,0,NA,0,NA,0,NA,19644,1433,71,NA
"Iraq","IRQ",20200321,2,1,NA,0,NA,NA,2,1,NA,2,0,"Kurdistan Regional Government: Suspend transportation by public transport lines (bus and minibus) between provinces from the 13 March to the 1 April. https://gov.krd/coronavirus-en/situation-update/#what-is-krg-doing
",1,1,NA,2,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,14,76,NA
