"country","countryiso3","latest.year_SP.POP.1564.TO.ZS","latest.value_SP.POP.1564.TO.ZS"
"Sub-Saharan Africa","SSF",2019,54.7132805873634
"Sub-Saharan Africa (excluding high income)","SSA",2019,54.6937175510456
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2019,54.7132805873634
"Sudan","SDN",2019,56.2169766276496
"Suriname","SUR",2019,66.0730134922219
"Sweden","SWE",2019,62.175940147338
"Switzerland","CHE",2019,66.2213280427499
"Syrian Arab Republic","SYR",2019,64.2501128432786
"Tajikistan","TJK",2019,59.8429592132533
"Tanzania","TZA",2019,53.5356523229545
"Thailand","THA",2019,70.7702134540146
"Timor-Leste","TLS",2019,58.4213827188372
"Togo","TGO",2019,56.1142987090661
"Tonga","TON",2019,58.9852048921469
"Trinidad and Tobago","TTO",2019,68.6206112949857
"Tunisia","TUN",2019,67.18043417717
"Turkey","TUR",2019,66.9828933047336
"Turkmenistan","TKM",2019,64.6492841154012
"Uganda","UGA",2019,51.5374344747774
"Ukraine","UKR",2019,67.3552912355191
"United Arab Emirates","ARE",2019,84.130838770347
"United Kingdom","GBR",2019,63.7956038376446
"United States","USA",2019,65.2410767325889
"Upper middle income","UMC",2019,68.9364963616803
"Uruguay","URY",2019,64.6006885566598
"Uzbekistan","UZB",2019,66.6069709653676
"Vanuatu","VUT",2019,57.6733515182639
"Venezuela, RB","VEN",2019,64.9847844157012
"Vietnam","VNM",2019,69.2324994438749
"Virgin Islands (U.S.)","VIR",2019,60.6312991260112
"West Bank and Gaza","PSE",2019,58.1769254549907
"World","WLD",2019,65.2520417484969
"Yemen, Rep.","YEM",2019,57.8744844046973
"Zambia","ZMB",2019,53.4221766605845
"Zimbabwe","ZWE",2019,54.861264931923
