"country","countryiso3","SP.POP.1564.TO.ZS_2013","SP.POP.1564.TO.ZS_2014","SP.POP.1564.TO.ZS_2015","SP.POP.1564.TO.ZS_2016","SP.POP.1564.TO.ZS_2017","SP.POP.1564.TO.ZS_2018","SP.POP.1564.TO.ZS_2019"
"Czech Republic","CZE",68.3452457948225,67.6155601472481,66.8908352361486,66.2722456851995,65.6179183338762,64.9925175870224,64.4763050287444
"Denmark","DNK",64.6886875027159,64.3969594272515,64.109395915935,63.9802785646613,63.8488146240044,63.7287848006111,63.6337821533242
"Djibouti","DJI",64.5631743940006,64.8183198971843,65.1269758083486,65.2792128397868,65.5614506529506,65.898304660541,66.1859566950162
"Dominican Republic","DOM",64.3120600718614,64.5009735683066,64.6618451459295,64.7772338241547,64.8693953755237,64.9400530208454,64.9929164449661
"Early-demographic dividend","EAR",64.1505650897243,64.4298540456461,64.6865316961522,64.9040226495616,65.1020514940577,65.2858824268286,65.4643206965312
"East Asia & Pacific","EAS",70.6741667299205,70.5617044420937,70.3886287481491,70.1169262471979,69.8108735153467,69.4881662617102,69.1771374195312
"East Asia & Pacific (excluding high income)","EAP",71.1222034169962,71.0376415468256,70.8850721292205,70.6244364825692,70.3242862152198,70.0049497407552,69.6999290038329
"East Asia & Pacific (IDA & IBRD countries)","TEA",71.1498934907113,71.0622456007958,70.9041377880609,70.6368507516785,70.3278822114816,69.9992529215217,69.686912745753
"Ecuador","ECU",63.8774127526807,64.1367516223834,64.3387375539877,64.5292713967933,64.6872593327007,64.814118271228,64.9208324646813
"Egypt, Arab Rep.","EGY",62.0695138579029,61.7878170307886,61.5843092250585,61.2079444748912,61.0365300119322,60.971499944556,60.8888368641163
"El Salvador","SLV",62.9897367887687,63.4935937760122,63.8718703380361,64.2219345914653,64.4496680247071,64.5808290812314,64.6719721678895
"Equatorial Guinea","GNQ",59.4228237674573,59.6846411358337,59.9366917457949,60.0434503530341,60.231204070992,60.4255237876965,60.6186937033273
"Eritrea","ERI",NA,NA,NA,NA,NA,NA,NA
"Estonia","EST",66.0306338898399,65.550412261249,65.0474977667117,64.8112053839318,64.464942132349,64.0165694070692,63.544922935802
"Eswatini","SWZ",56.6391833963139,56.819653357613,56.9499947465862,57.3658636423617,57.6476811536222,57.8729205187801,58.1537804952401
"Ethiopia","ETH",53.2985308777309,53.8349076778342,54.3715475562178,54.8062390038665,55.2613712393253,55.7158850950668,56.1468683665491
"Euro area","EMU",65.4768484427885,65.2169183354024,64.9616760107782,64.7527979494183,64.5424686055156,64.3321110700018,64.1226250968423
"Europe & Central Asia","ECS",67.2273232456527,66.9342082962404,66.6232083245724,66.2971271675218,65.9620029130321,65.6297563949731,65.315552928919
"Europe & Central Asia (excluding high income)","ECA",68.8406467555535,68.5384988714509,68.2026231560782,67.7808832032768,67.3552948767113,66.9403786823212,66.5527074585304
"Europe & Central Asia (IDA & IBRD countries)","TEC",68.9184893953274,68.6092881207313,68.2565289967564,67.8286788144109,67.3788900116628,66.9294166164636,66.5085419249395
"European Union","EUU",66.1486837326579,65.8513229195874,65.5432722497458,65.2750863119562,64.9853639071035,64.6889608398238,64.405295472935
"Fiji","FJI",65.6840047689023,65.4312467035142,65.1795304543838,65.1169934857789,65.0566009352004,65.0376973863674,65.0820886046791
"Finland","FIN",64.5476120347521,63.9153141926143,63.3609687943454,62.8751810070842,62.4700823080137,62.134029481894,61.8430138267974
"Fragile and conflict affected situations","FCS",54.9831211524089,55.1235986741734,55.288261474325,55.3695342631738,55.4880934066584,55.6412072261515,55.821861769294
"France","FRA",63.5629510189021,63.1388901221384,62.7664724171957,62.4703444983481,62.2211765433074,62.0089108085333,61.8064718464662
"French Polynesia","PYF",68.9865644698292,69.1580942566386,69.1316032278379,69.3187653646545,69.2034103338621,68.9475977657655,68.7554379545056
"Gabon","GAB",59.5829221863097,59.8357575114131,60.0405301470566,59.8055255486776,59.5932435855277,59.4102228356395,59.2757271427184
"Gambia, The","GMB",52.5350967962716,52.6823554056685,52.8426164747394,52.9075405186084,53.0073097612392,53.141274000107,53.3119564374756
"Georgia","GEO",67.3393021613599,67.0450679018296,66.6847158789747,66.2513541446164,65.7973525687527,65.3392679684092,64.9075189559556
"Germany","DEU",65.7323487351617,65.68373814054,65.5644705515865,65.3959908493306,65.177823589612,64.9170079001335,64.6375192034153
"Ghana","GHA",58.3993585302269,58.5948936458752,58.8044901102204,58.9466028390968,59.1301639529467,59.3350404080317,59.5378056888691
"Greece","GRC",65.0809645733439,64.8470824904574,64.6191514810385,64.5147682306055,64.3958389509388,64.2734830567542,64.161931282466
"Grenada","GRD",67.0148839789221,67.1631374997704,67.1739705654249,67.1633669203073,67.0319461731335,66.8168033448777,66.6053587850325
"Guam","GUM",65.5345464973474,65.5667759725741,65.6002669088617,65.6142030426324,65.6539709400357,65.6863809661696,65.6759955527395
"Guatemala","GTM",58.1420683598729,58.6966744699381,59.2610003095537,59.7478598059853,60.2527879150835,60.7525320983504,61.2116835268401
"Guinea","GIN",51.524256764802,51.810369705556,52.0865217272645,52.465734554428,52.8448142488941,53.2238042069734,53.6081052702297
"Guinea-Bissau","GNB",54.4244670879203,54.5381600614971,54.6510998720932,54.683753375994,54.7423754680291,54.8371314563334,54.9830758354582
"Guyana","GUY",64.4129674628104,64.6863947182268,64.9248402464323,65.0657014550772,65.2175763845711,65.335183554427,65.3584851667037
"Haiti","HTI",60.2953750597918,60.6486922136477,60.9877461095473,61.2677525860311,61.5401180401382,61.8083518936764,62.0777430536966
"Heavily indebted poor countries (HIPC)","HPC",52.8988784092358,53.1324934776825,53.3853225214806,53.6055858658949,53.8500814870944,54.1155308905095,54.3998579233399
"High income","HIC",66.7800887256476,66.5523443073202,66.311562215315,66.0724503974632,65.8191822871853,65.559090459493,65.299233960158
"Honduras","HND",60.5719756763665,61.2903070920293,61.946505377642,62.5590469857224,63.0940799424076,63.5685008076122,64.0123856506135
"Hong Kong SAR, China","HKG",74.7346298614514,74.2849914572083,73.6460610331539,73.0503667956919,72.2183062832435,71.2240545977674,70.1750394088127
"Hungary","HUN",68.6560694038381,68.4188287373237,68.0825774553553,67.626637000505,67.0498733635751,66.4302824033255,65.8723226655215
"IBRD only","IBD",68.214872261472,68.2521212064128,68.243141282265,68.169620761906,68.0619642540471,67.9374218513079,67.8234990096317
"Iceland","ISL",66.5319832389429,66.2617089782528,65.9729350811372,65.7877943203916,65.5848059020374,65.3725873369903,65.1607080178509
"IDA & IBRD total","IBT",65.3552580905587,65.4132613121838,65.4385305269074,65.4065741560963,65.35379274923,65.2919221167704,65.2412920331271
"IDA blend","IDB",56.7839886925183,56.9697182035226,57.1622275762537,57.2928047913957,57.4447147399303,57.6161525124813,57.8069236039542
"IDA only","IDX",56.2291203276912,56.4868269629303,56.7529362319877,56.9937172268109,57.2473768958184,57.5102557922918,57.7797320888735
"IDA total","IDA",56.4153444880597,56.6490512505287,56.8905408501463,57.0943251965367,57.3137783717576,57.5458919474222,57.788881411969
"India","IND",65.2084890633965,65.5959799011296,65.9441640546302,66.2742624652675,66.538187109893,66.7667424975064,67.0038111931616
"Indonesia","IDN",66.7700526264127,66.9535676661474,67.1655921852769,67.2429803958788,67.4031501634853,67.5916370820079,67.734577835602
"Iran, Islamic Rep.","IRN",70.8198460026411,70.6073056525482,70.3118532200932,70.0525811997687,69.7134511301508,69.3388675341431,68.9868198948437
"Iraq","IRQ",56.5504349753672,57.0687869455585,57.5857407545728,57.7478285542845,57.9941922277341,58.2898349360976,58.5805396076595
"Ireland","IRL",66.4457117897345,65.8827485862934,65.3362278811587,65.0970797390593,64.890068519016,64.7277787116415,64.6267942926721
"Israel","ISR",61.4941793890786,61.1983530367715,60.9126288307687,60.6010739938476,60.3299090424763,60.0977675160436,59.9057536718941
