"country","countryiso3","latest.year_score_security_apparatus.28904","latest.value_score_security_apparatus.28904","latest.year_score_uneven_development.28905","latest.value_score_uneven_development.28905","latest.year_score_group_grievance.28907","latest.value_score_group_grievance.28907","latest.year_score_human_flight.28908","latest.value_score_human_flight.28908","latest.year_score_human_rights.28909","latest.value_score_human_rights.28909","latest.year_score_legitimacy_of_the_s.28910","latest.value_score_legitimacy_of_the_s.28910","latest.year_score_public_services.28911","latest.value_score_public_services.28911"
"Uruguay","URY",2017,2.5,2017,1,2017,2.7,2017,2.7,2017,2.5,2017,4.4,2017,2.9
"United States","USA",2017,2,2017,1.9,2017,1.2,2017,5.3,2017,6,2017,1.7,2017,1.6
"Uzbekistan","UZB",2017,5.5,2017,9.5,2017,4.6,2017,8.8,2017,7.1,2017,6,2017,4.9
"Venezuela, RB","VEN",2017,4.6,2017,8.5,2017,5.4,2017,8.2,2017,7.2,2017,5.5,2017,7.7
"Vietnam","VNM",2017,4.7,2017,8.3,2017,5.2,2017,6.9,2017,6,2017,6.2,2017,4.7
"Samoa","WSM",2017,2.7,2017,5.5,2017,9.2,2017,5.1,2017,4.5,2017,9.5,2017,4.9
"Yemen, Rep.","YEM",2017,9.4,2017,9.7,2017,10,2017,9.5,2017,9.3,2017,7.3,2017,9.6
"South Africa","ZAF",2017,5.4,2017,6.5,2017,3,2017,6.1,2017,6.7,2017,5.5,2017,7
"Zambia","ZMB",2017,6.4,2017,7.7,2017,7.2,2017,6.2,2017,5.9,2017,7.9,2017,7.9
"Zimbabwe","ZWE",2017,8.5,2017,9.2,2017,7.5,2017,9.8,2017,7.3,2017,7.9,2017,8.9
