"country","countryiso3","latest.year_unemploymentyouth.2229","latest.value_unemploymentyouth.2229"
"Tanzania","TZA",2020,9.4
"Thailand","THA",2020,0.9
"Timor-Leste","TLS",2020,11.1
"Trinidad and Tobago","TTO",2020,8.4
"Tunisia","TUN",2020,37.6
"Turkey","TUR",2020,18.5
"Uganda","UGA",2020,2.6
"Ukraine","UKR",2020,22.4
"United Arab Emirates","ARE",2020,12.1
"United Kingdom","GBR",2020,14.6
"United States","USA",2020,10.4
"Uruguay","URY",2020,22.5
"Vanuatu","VUT",2020,10.6
"Venezuela","VEN",2020,14.6
"Vietnam","VNM",2020,7
"West Bank","PSE",2020,40.7
"Yemen","YEM",2020,33.7
"Zambia","ZMB",2020,15.2
"Zimbabwe","ZWE",2020,16.5
