"country","countryiso3","SH.DYN.MORT_2013","SH.DYN.MORT_2014","SH.DYN.MORT_2015","SH.DYN.MORT_2016","SH.DYN.MORT_2017","SH.DYN.MORT_2018"
"Lebanon","LBN",9,8.6,8.3,8,7.7,7.4
"Lesotho","LSO",94.7,93,92.5,87.4,84.1,81.1
"Liberia","LBR",85.1,81.9,78.9,76.1,73.4,70.9
"Libya","LBY",14.5,13.9,13.3,12.8,12.4,12
"Lithuania","LTU",5.1,5,4.9,4.7,4.4,4
"Low & middle income","LMY",49.5181163243588,47.7651049402355,46.1514489011294,44.7012556994872,43.2896839122624,42.0231320083961
"Low income","LIC",81.4,78.3,75.5,72.7,70.3,68.1
"Lower middle income","LMC",58.1,56.1,54.2,52.4,50.7,49.1
"Luxembourg","LUX",2.8,2.7,2.6,2.6,2.5,2.4
"Madagascar","MDG",61.2,59.6,58.1,56.6,55.2,53.6
"Malawi","MWI",68.6,63,59.2,55.7,52.7,49.7
"Malaysia","MYS",8,8,8,8,7.9,7.8
"Maldives","MDV",11.3,10.6,10,9.5,9,8.6
"Mali","MLI",117.6,113.2,109.1,105.1,101.3,97.8
"Malta","MLT",6.9,6.9,7,7,7.1,7
"Marshall Islands","MHL",37.5,36.8,36,35,34,33.1
"Mauritania","MRT",89,86.2,83.5,80.7,78.2,75.7
"Mauritius","MUS",14.6,14.4,14.3,14.4,14.7,15.5
"Mexico","MEX",15.9,15.4,14.8,14.1,13.4,12.7
"Micronesia, Fed. Sts.","FSM",36.1,35,33.9,33,31.8,30.8
"Middle East & North Africa","MEA",24.9,24.2,23.6,23,22.4,21.9
"Middle East & North Africa (excluding high income)","MNA",26.7962332352329,26.1114554954614,25.4162340543796,24.8416185940601,24.2028274851225,23.6521521478456
"Middle East & North Africa (IDA & IBRD countries)","TMN",26.8670324915131,26.1755858881954,25.4753435632572,24.8978478078144,24.2569516537171,23.7057656061518
"Middle income","MIC",42.7900743433959,41.2308249387794,39.7922739746449,38.5257884483745,37.2380382381797,36.1002711526528
"Moldova","MDA",16.6,16.4,16.3,16.2,16,15.8
"Monaco","MCO",3.7,3.6,3.5,3.4,3.3,3.2
"Mongolia","MNG",20.7,19.5,18.6,17.7,17,16.3
"Montenegro","MNE",4.5,3.9,3.5,3.1,2.8,2.5
"Morocco","MAR",28,26.7,25.5,24.4,23.4,22.4
"Mozambique","MOZ",89.9,86.1,81.8,78.1,75.5,73.2
"Myanmar","MMR",55.8,53.6,51.6,49.7,47.9,46.2
"Namibia","NAM",46.6,45.3,44.9,42.9,41.4,39.6
"Nauru","NRU",36.8,36,34.9,33.9,32.9,31.8
"Nepal","NPL",40.1,38.1,36.4,34.8,33.4,32.2
"Netherlands","NLD",4.2,4.1,4,4,3.9,3.9
"New Zealand","NZL",6,6,6,5.9,5.8,5.7
"Nicaragua","NIC",19.2,19,18.8,18.7,18.5,18.3
"Niger","NER",103.2,98.5,94.3,90.3,86.7,83.7
"Nigeria","NGA",128.6,126.9,125.4,123.9,122.1,119.9
"North America","NAC",6.8,6.7,6.7,6.6,6.5,6.4
"North Macedonia","MKD",11.2,12,12.3,12,11,9.9
"Norway","NOR",2.9,2.8,2.7,2.7,2.6,2.5
"OECD members","OED",7.95049695879849,7.73060516574681,7.52784690020277,7.27613674011208,7.03392414172884,6.80134081058211
"Oman","OMN",11.3,11.2,11.2,11.3,11.4,11.4
"Other small states","OSS",57.6654893449381,55.934983159225,54.2759649294108,52.2312398488656,50.3863145302291,48.7308603468436
"Pacific island small states","PSS",26.2046566955596,25.8396614866871,25.47644312672,25.0921519111082,24.7003570095581,24.2510866574966
"Pakistan","PAK",80.5,78.2,76,73.8,71.5,69.3
"Palau","PLW",21.1,20.4,19.8,19.2,18.5,17.9
"Panama","PAN",18.1,17.5,16.9,16.3,15.8,15.3
"Papua New Guinea","PNG",54.2,53,51.7,50.5,49.2,47.8
"Paraguay","PRY",23.7,22.9,22.2,21.6,20.9,20.2
"Peru","PER",17.6,16.8,16.1,15.5,14.9,14.3
"Philippines","PHL",30.9,30.5,30.1,29.7,29.1,28.4
"Poland","POL",5.2,5,4.9,4.7,4.6,4.4
"Portugal","PRT",3.7,3.7,3.7,3.7,3.7,3.7
"Post-demographic dividend","PST",5.30169426356739,5.19535033692094,5.13196918745979,5.01862995644092,4.92774951774578,4.84032783988894
"Pre-demographic dividend","PRE",93.9240522900132,91.0376983087914,88.3744522080622,85.8135012587014,83.4012942691491,81.047147579407
"Qatar","QAT",8.4,8.1,7.8,7.5,7.2,6.8
"Romania","ROU",10.6,10,9.2,8.5,7.8,7.3
"Russian Federation","RUS",9.5,9,8.5,8,7.6,7.2
"Rwanda","RWA",47.5,44.1,41.3,38.8,36.9,35.3
"Samoa","WSM",17.9,17.6,17.2,16.7,16.2,15.8
"San Marino","SMR",2.4,2.3,2.2,2.1,2,2
"Sao Tome and Principe","STP",38.4,36.7,35.1,33.7,32.4,31.2
"Saudi Arabia","SAU",9.9,9.2,8.5,8,7.5,7.1
"Senegal","SEN",55.8,52.9,50.1,47.7,45.6,43.6
"Serbia","SRB",6.9,6.6,6.3,6,5.8,5.5
"Seychelles","SYC",14.5,14.6,14.7,14.8,14.6,14.5
"Sierra Leone","SLE",136.7,128.9,121.8,115.5,109.9,105.1
"Singapore","SGP",2.7,2.7,2.7,2.7,2.8,2.8
"Slovak Republic","SVK",6.4,6.2,6.1,5.9,5.7,5.6
"Slovenia","SVN",2.7,2.6,2.5,2.4,2.2,2.1
"Small states","SST",50.3096202173138,48.8997270222631,47.5367178542155,45.8537487568551,44.3259717834285,42.935514240078
"Solomon Islands","SLB",23.4,22.7,22,21.3,20.6,20
"Somalia","SOM",142.3,137.9,133.4,129.4,125.5,121.5
"South Africa","ZAF",41.2,39.5,37.7,36.6,35.3,33.8
"South Asia","SAS",53.7,51.2,48.7,46.4,44.2,42.1
"South Asia (IDA & IBRD)","TSA",53.7420282548795,51.1915489714963,48.7325477190007,46.4166829767222,44.1627063469093,42.1591021230507
"South Sudan","SSD",99.1,98.6,98.6,98.6,98.6,98.6
"Spain","ESP",3.5,3.4,3.3,3.2,3.1,3
"Sri Lanka","LKA",10,9.4,8.8,8.2,7.8,7.4
"St. Kitts and Nevis","KNA",13.7,13.4,13.1,12.7,12.4,12
"St. Lucia","LCA",18.3,18.1,17.8,17.4,17,16.6
"St. Vincent and the Grenadines","VCT",19.1,18.5,18,17.4,16.9,16.4
"Sub-Saharan Africa","SSF",90.4,87.5,84.8,82.2,79.9,77.5
"Sub-Saharan Africa (excluding high income)","SSA",90.4642510880165,87.5065738964519,84.8053016469667,82.2212549297934,79.8414246074682,77.5026194892553
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",90.4311599825346,87.4757506294585,84.7764510975442,82.1942180173811,79.8160444108378,77.4789533817993
"Sudan","SDN",70.1,68.2,66.3,64.4,62.4,60.5
"Suriname","SUR",22.3,21.6,20.9,20.2,19.5,18.9
"Sweden","SWE",2.9,2.9,2.9,2.8,2.8,2.7
"Switzerland","CHE",4.4,4.4,4.3,4.3,4.2,4.1
"Syrian Arab Republic","SYR",17.7,17.6,17.3,17.6,17.1,16.7
"Tajikistan","TJK",39.7,38.7,37.8,36.9,35.9,34.8
"Tanzania","TZA",63.7,61.4,59.1,57,54.5,53
"Thailand","THA",11.5,11,10.5,10,9.5,9.1
"Timor-Leste","TLS",54.9,52.8,51,49.2,47.5,45.8
"Togo","TGO",81.8,79.3,76.8,74.4,72.1,69.8
"Tonga","TON",17.3,17.1,16.8,16.4,16.1,15.6
"Trinidad and Tobago","TTO",21.4,20.8,20.2,19.5,18.9,18.3
"Tunisia","TUN",17.5,17.3,17.2,17.1,17.1,17
"Turkey","TUR",14.2,13.4,12.6,11.9,11.2,10.6
"Turkmenistan","TKM",54.2,52.4,50.7,49,47.4,45.8
"Tuvalu","TUV",28.6,27.7,26.8,26,25.1,24.4
"Uganda","UGA",62.7,58.5,54.8,51.2,48.7,46.4
"Ukraine","UKR",10.2,9.8,9.5,9.2,9,8.7
"United Arab Emirates","ARE",8,7.9,7.8,7.8,7.7,7.6
"United Kingdom","GBR",4.6,4.5,4.5,4.4,4.3,4.3
"United States","USA",7,6.9,6.8,6.7,6.6,6.5
"Upper middle income","UMC",15.9,15.1,14.4,13.9,13.2,12.6
"Uruguay","URY",9.6,9.2,8.9,8.4,8,7.6
"Uzbekistan","UZB",29.8,27.8,25.9,24.2,22.7,21.4
"Vanuatu","VUT",29.5,29.1,28.6,27.9,27.2,26.4
"Venezuela, RB","VEN",17.3,17.3,19.4,24.5,24.5,24.5
"Vietnam","VNM",22.3,22.1,21.8,21.5,21.1,20.7
"West Bank and Gaza","PSE",22.4,22.1,21.7,21.3,20.8,20.3
"World","WLD",45.4,43.8,42.4,41.1,39.8,38.6
"Yemen, Rep.","YEM",55,55,55,55,55,55
"Zambia","ZMB",70.7,66.9,64.6,62,59.4,57.8
"Zimbabwe","ZWE",62.3,57.5,54.3,50.4,49.3,46.2
