"country","countryiso3","latest.year_SP.POP.65UP.TO.ZS","latest.value_SP.POP.65UP.TO.ZS"
"United Arab Emirates","ARE",2018,1.08500098484481
"United Kingdom","GBR",2018,18.3958656741466
"United States","USA",2018,15.8076540556035
"Upper middle income","UMC",2018,10.0379254456005
"Uruguay","URY",2018,14.8145195308593
"Uzbekistan","UZB",2018,4.4191378781364
"Vanuatu","VUT",2018,3.64015306819735
"Venezuela, RB","VEN",2018,7.26698662012597
"Vietnam","VNM",2018,7.2749782978793
"Virgin Islands (U.S.)","VIR",2018,19.2883072220099
"West Bank and Gaza","PSE",2018,3.13330573708009
"World","WLD",2018,8.87266207734234
"Yemen, Rep.","YEM",2018,2.87626975604452
"Zambia","ZMB",2018,2.09967802593266
"Zimbabwe","ZWE",2018,2.93952365300113
