"country","countryiso3","SL.UEM.TOTL.ZS_2013","SL.UEM.TOTL.ZS_2014","SL.UEM.TOTL.ZS_2015","SL.UEM.TOTL.ZS_2016","SL.UEM.TOTL.ZS_2017","SL.UEM.TOTL.ZS_2018","SL.UEM.TOTL.ZS_2019"
"Equatorial Guinea","GNQ",6.76100015640259,6.69199991226196,6.64400005340576,6.58500003814697,6.48299980163574,6.38299989700317,6.43300008773804
"Eritrea","ERI",5.44399976730347,5.38199996948242,5.33799982070923,5.28499984741211,5.19299983978271,5.10400009155273,5.14400005340576
"Estonia","EST",8.63099956512451,7.35200023651123,6.18699979782104,6.76200008392334,5.76000022888184,5.36600017547607,5.11499977111816
"Eswatini","SWZ",24.9710006713867,24.1870002746582,23.4549999237061,22.7180004119873,22.5380001068115,22.3610000610352,22.0830001831055
"Ethiopia","ETH",2.25099992752075,2.21799993515015,2.1949999332428,2.16799998283386,2.11999988555908,2.07500004768372,2.08100008964539
"Euro area","EMU",11.928658750734,11.6048663898634,10.8397460851025,10.0274040476421,9.06011736628989,8.18786216591896,7.49616993302557
"Europe & Central Asia","ECS",9.20288279128817,8.9573354501994,8.55822086763519,8.09610187877438,7.49187738824393,6.90387443217565,6.76318637591553
"Europe & Central Asia (excluding high income)","ECA",7.27109444342451,7.48665775054052,7.61080712489994,7.62423573610774,7.41955277945785,7.09256021215098,7.49186521698847
"Europe & Central Asia (IDA & IBRD countries)","TEC",7.61864630727318,7.67673889052462,7.64341477791986,7.47168393180768,7.12545073742846,6.70027442319067,6.99465123463036
"European Union","EUU",11.3230983572354,10.8433454111489,10.023739047815,9.1247851983594,8.13561804182206,7.26938482990298,6.66684856767525
"Fiji","FJI",4.44500017166138,4.39599990844727,4.36299991607666,4.31899976730347,4.23699998855591,4.15799999237061,4.10099983215332
"Finland","FIN",8.19299983978271,8.66300010681152,9.37600040435791,8.81799983978271,8.64000034332275,7.36100006103516,6.59499979019165
"Fragile and conflict affected situations","FCS",6.01909905671267,6.24090489020557,6.22634182322665,6.89807562223125,7.2912901493875,7.19398244021731,7.24919703233794
"France","FRA",9.92099952697754,10.2919998168945,10.3590002059937,10.0570001602173,9.39700031280518,9.05900001525879,8.42700004577637
"French Polynesia","PYF",14.8039999008179,14.293999671936,13.7449998855591,13.2559995651245,12.7740001678467,12.3140001296997,12.0959997177124
"Gabon","GAB",20.4599990844727,20.3430004119873,20.2600002288818,20.1590003967285,19.9820003509521,19.806999206543,20.003999710083
"Gambia, The","GMB",9.44099998474121,9.36499977111816,9.3129997253418,9.24899959564209,9.13599967956543,9.02700042724609,9.05599975585938
"Georgia","GEO",19.4160003662109,17.4379997253418,16.5060005187988,16.6040000915527,13.9390001296997,13.7849998474121,14.3979997634888
"Germany","DEU",5.23099994659424,4.98099994659424,4.62400007247925,4.12200021743774,3.74600005149841,3.3840000629425,3.04299998283386
"Ghana","GHA",6.26900005340576,6.52699995040894,6.80600023269653,5.44999980926514,4.22300004959106,4.15700006484985,4.33099985122681
"Greece","GRC",27.4659996032715,26.4909992218018,24.8969993591309,23.5389995574951,21.488000869751,19.2919998168945,17.238000869751
"Guam","GUM",11.5,7.59999990463257,6.90000009536743,5.40000009536743,5.15399980545044,4.92899990081787,5.31099987030029
"Guatemala","GTM",3.01699995994568,2.71700000762939,2.50600004196167,2.58299994468689,2.46199989318848,2.40199995040894,2.45900011062622
"Guinea","GIN",4.51800012588501,4.46799993515015,4.43400001525879,4.39200019836426,4.31799983978271,4.24700021743774,4.2960000038147
"Guinea-Bissau","GNB",2.6800000667572,2.63499999046326,2.60400009155273,2.56599998474121,2.5,2.43799996376038,2.46600008010864
"Guyana","GUY",11.8959999084473,11.9370002746582,12.003999710083,12.0550003051758,12.043999671936,11.9060001373291,11.8520002365112
"Haiti","HTI",14.1300001144409,14.0329999923706,13.9650001525879,13.8809995651245,13.7349996566772,13.5920000076294,13.7810001373291
"Heavily indebted poor countries (HIPC)","HPC",4.68326504288357,4.59301632693011,4.65490001599989,4.57763930272266,4.47497909444887,4.42163362978648,4.44717314580436
"High income","HIC",7.82791854821599,7.22689009754508,6.6234201982743,6.14540735469629,5.58346129208138,5.07433946914635,4.79325483693396
"Honduras","HND",4.09600019454956,5.48799991607666,6.14699983596802,6.72700023651123,5.52799987792969,5.64799976348877,5.38600015640259
"Hong Kong SAR, China","HKG",3.40000009536743,3.29999995231628,3.3199999332428,3.39000010490417,3.08999991416931,2.90300011634827,3.62899994850159
"Hungary","HUN",10.1759996414185,7.72499990463257,6.81300020217896,5.11499977111816,4.1560001373291,3.70799994468689,3.3989999294281
"IBRD only","IBD",5.66319561632554,5.63752004839272,5.75855007697349,5.86349419612772,5.82583845323178,5.69908228986858,5.77016457087044
"Iceland","ISL",5.37599992752075,4.89699983596802,3.97900009155273,2.9779999256134,2.74200010299683,2.7039999961853,2.84200000762939
"IDA & IBRD total","IBT",5.37201020720816,5.32959983089543,5.45918670016122,5.59184800395021,5.5832984934031,5.47006097700128,5.53023322337235
"IDA blend","IDB",3.57107687278112,3.41562990934985,3.97585807465191,4.87337859013712,5.37228007379957,5.35891883681089,5.45839453854287
