"country","countryiso3","SL.EMP.VULN.MA.ZS_2013","SL.EMP.VULN.MA.ZS_2014","SL.EMP.VULN.MA.ZS_2015","SL.EMP.VULN.MA.ZS_2016","SL.EMP.VULN.MA.ZS_2017","SL.EMP.VULN.MA.ZS_2018","SL.EMP.VULN.MA.ZS_2019"
"Cameroon","CMR",66.5169982910156,65.9630012512207,65.7180013656617,65.4989995956421,65.3029985427857,65.0789995193481,64.8889980316162
"Canada","CAN",12.10900028795,12.1230000555516,11.8980001583696,12.1719999834895,12.0709998607636,11.8790001347661,11.8620003461838
"Caribbean small states","CSS",29.4503464215265,29.3632455125965,29.2229268859913,29.4857122246451,29.5294392258702,29.5216044619049,29.6078930274113
"Central African Republic","CAF",88.3290004730225,88.1940002441406,88.1119995117187,88.029001235962,87.9420013427735,87.85599899292,87.7819976806641
"Central Europe and the Baltics","CEB",18.5967137694653,18.3533621912842,17.6811945369388,17.0197684682807,16.784988116162,16.5346250657841,16.3562983966451
"Chad","TCD",88.2740020751953,88.1199998855591,88.0569982528687,88.2110023498536,88.2759981155395,88.2140016555786,88.1889963150025
"Channel Islands","CHI",11.735999763012,11.70500010252,11.730000436306,11.733999967575,11.6949998140335,11.6779995560646,11.6659997701644
"Chile","CHL",20.1980007886886,20.5589997172356,20.5889993309975,21.5240003466606,22.4139998555183,22.6749995946884,22.5439997911453
"China","CHN",46.0260019302368,45.3640003204345,44.7070016860962,44.0669984817505,43.447998046875,42.8350014686584,42.6549987792968
"Colombia","COL",46.8830015659332,46.891001701355,46.7739996910096,47.537000656128,47.4110009670258,47.8029991388321,47.6350001096725
"Comoros","COM",54.5100002288818,54.3939990997315,54.306999206543,54.1759977340698,54.0150003433228,53.8459997177124,53.76699924469
"Congo, Dem. Rep.","COD",70.6100015640259,70.3759989738464,70.1999983787537,70.1169981956482,69.979998588562,69.7919998168945,69.6729984283447
"Congo, Rep.","COG",62.3129987716675,62.0840015411377,62.0680007934571,62.216999053955,62.2640008926392,62.1640005111695,62.0219993591309
"Costa Rica","CRI",23.971000790596,22.2800008058548,22.3850005865097,21.3369994163513,21.2220002412796,21.1029992103576,21.1559991836548
"Cote d'Ivoire","CIV",68.5419988632202,67.3479995727539,66.0500011444092,64.6500005722046,64.342001914978,63.9030017852784,63.4630002975464
"Croatia","HRV",14.2720001339912,11.3590000271797,11.6480003595352,10.0220002532005,8.26399981975556,7.99099993705749,7.91300016641617
"Cuba","CUB",24.8509997129441,25.1379997730255,26.9160004854203,28.8250000476838,30.508999824524,30.3709990978241,30.2359993457794
"Cyprus","CYP",16.3950004577637,16.6700000762939,14.3600000143051,14.892000079155,12.6559997797012,12.6579998135566,12.6069999933243
"Czech Republic","CZE",16.7059997022152,17.0959992259741,16.0659998655319,15.9189998954535,16.095999956131,16.2489993423224,16.1149996370078
"Denmark","DNK",7.03700015693904,6.74400000274181,6.42400014400482,6.95499980449677,6.31499975919723,6.0990002155304,6.07199981808662
"Djibouti","DJI",40.5719990730286,40.2379999160766,39.9149990081787,39.6310014724732,39.3829984664917,39.0840015411377,38.7869987487793
"Dominican Republic","DOM",47.8620008230209,49.2690015435219,47.9559986591339,46.1850016117096,48.1329990625381,47.965999007225,48.0909999608993
"Early-demographic dividend","EAR",58.2525732235061,57.7560425178672,57.0448765079202,56.54104857591,56.0196690166881,55.4772559194407,55.2726365478198
"East Asia & Pacific","EAS",43.3957322611445,42.75709901216,41.7394782596124,41.0863258921681,40.6242513790156,40.1908293486485,39.9551610536802
"East Asia & Pacific (excluding high income)","EAP",46.9149183548046,46.2237442821663,45.1260887422988,44.4206205183759,43.9157837003131,43.452134019818,43.1882500747562
"East Asia & Pacific (IDA & IBRD countries)","TEA",46.426568451473,45.7239154616466,44.6105484075865,43.889539472467,43.3811942031894,42.911370249989,42.6424108057996
"Ecuador","ECU",36.0820007324219,33.8029999732971,35.1040005683898,38.422999382019,39.0589995384216,40.1129999160766,40.0019998550415
"Egypt, Arab Rep.","EGY",21.2850003242493,19.91100025177,20.1209998130799,16.5969998836517,18.0710000991822,17.8100001811981,17.5539996623993
"El Salvador","SLV",31.4900002479553,30.0829992294311,30.1130003929138,29.6020007133484,30.2039995193482,27.9479994773865,27.797999382019
"Equatorial Guinea","GNQ",71.1070013046265,71.0859985351563,71.2250037193299,71.2869968414306,71.2880001068115,71.2999982833862,71.3260025978088
