"country","countryiso3","NE.IMP.GNFS.ZS_2013","NE.IMP.GNFS.ZS_2014","NE.IMP.GNFS.ZS_2015","NE.IMP.GNFS.ZS_2016","NE.IMP.GNFS.ZS_2017","NE.IMP.GNFS.ZS_2018","NE.IMP.GNFS.ZS_2019"
"Grenada","GRD",50.3528390259606,54.0787625409227,50.8600213958699,49.799928781854,53.1861746755063,55.986040158708,55.4987666085656
"Guam","GUM",60.0824587706147,59.2813289996389,53.2749562171629,51.3546160483175,51.717655101692,53.6824324324324,NA
"Guatemala","GTM",34.687065679544,33.338916431223,30.0635454198109,27.6196484233056,27.6179843395674,28.9373629304995,28.1695474102739
"Guinea","GIN",53.9558237924655,50.0834533856221,50.945854990371,80.8336901526394,68.5812747336483,77.1563927272727,66.4460787471487
"Guinea-Bissau","GNB",25.8231995734362,31.3856140517168,32.238492837062,31.3041101104292,33.0730442981032,32.4552944903751,33.5109169644693
"Guyana","GUY",62.7556289955398,58.2169168855656,46.6530400196296,41.3192994288131,46.2412313559899,47.1231768121411,46.0682205894299
"Haiti","HTI",52.090134086136,52.7383356780255,50.5443249520824,52.6200510377962,56.4808121871552,58.4729311857244,57.4572158793734
"Heavily indebted poor countries (HIPC)","HPC",37.2779737164545,35.8135857849657,34.8930176394209,32.6829602386873,31.9822203035228,33.6846391949315,32.4348265414029
"High income","HIC",30.8918670303131,30.9690181762479,30.1863856072771,29.2524154942732,30.2532269085375,30.8313079802849,NA
"Honduras","HND",68.3645589279634,65.4124425546899,62.097647897982,57.1016121691742,58.7192562426045,60.7989997265966,56.367436495052
"Hong Kong SAR, China","HKG",221.009958822525,212.885458218013,193.508347649149,184.733970490331,187.909305312809,188.573085335387,175.524925117784
"Hungary","HUN",78.5928161158511,81.071763536832,79.9918724064404,78.4037303647401,79.8541973019801,80.5650745438455,79.6524821127639
"IBRD only","IBD",27.2994462785595,26.8691126604755,25.1599501718218,24.4347667323533,25.23990332841,26.3619153021444,25.2977449006569
"Iceland","ISL",45.8132660509181,45.4728256486514,44.6710044976348,41.3936899003105,41.9627875536719,44.5010659994872,40.5967046854167
"IDA & IBRD total","IBT",27.3693538767265,26.8903803098735,25.2248414945426,24.468021780174,25.2514243613384,26.4480925278757,25.4849896394505
"IDA blend","IDB",19.9164233510745,19.1307676419561,17.456431681446,16.7536237528274,18.2041042377026,21.8608493172433,NA
"IDA only","IDX",35.9064319628143,34.2464697979832,33.8600971274867,32.2713264748615,31.8861800985044,33.4926159500679,32.5493399209827
"IDA total","IDA",28.4833759284055,27.2292938334097,26.2408509122027,24.9937450769581,25.4345391372031,27.8280088943599,NA
"India","IND",28.4132706461587,25.9542227389497,22.1097246755215,20.924250822892,21.940126113982,23.5523180674035,21.3565685053267
"Indonesia","IDN",24.7137962959288,24.414190988586,20.7774609817235,18.3323479486654,19.17819263535,22.0297235226097,18.8958822798066
"Iran, Islamic Rep.","IRN",23.4495407084631,21.4635588513507,19.2739145319547,20.810433434548,23.8384608001943,NA,NA
"Iraq","IRQ",36.0129719216843,36.9489035087719,41.4177606177606,39.9209511884799,35.6371495455494,35.9484339574437,39.2954816300492
"Ireland","IRL",84.8574430959743,91.9648488455117,93.1716019053451,105.226070680944,98.9557600863141,89.1849891528727,112.419653245149
"Israel","ISR",31.8824809682932,30.6017777153707,28.1780705819999,28.1131334285201,27.5215154198101,29.0185324309142,NA
"Italy","ITA",26.2343363170751,26.2132869642331,26.7021937892476,26.0397120675783,27.8704426276557,29.0597917004734,28.5337329311474
"Jamaica","JAM",52.6896491039392,53.4918203128142,46.1998924998132,44.6455750262377,48.8845117343982,51.0685283261114,51.0685283232471
"Japan","JPN",18.2321241332052,20.0054682452576,18.0300451818283,15.2754094393443,16.8215858877511,18.2915985454891,NA
"Jordan","JOR",70.9590565805262,68.7739447262092,59.6534355638568,55.3974108181062,56.3533292853597,54.5586978750823,50.38444201172
"Kazakhstan","KAZ",26.7905716146741,25.6302765606214,24.5330208000299,28.4677079441317,24.427637021828,25.9027338807413,27.8913261448318
"Kenya","KEN",33.2076103930589,33.0013241292445,27.6050852673033,23.3730076126984,24.1628732428849,22.9752487679838,21.3696454751159
"Kiribati","KIR",93.8594249534529,102.707623781745,107.39062671496,109.589058227173,103.897560137176,88.7620863303888,NA
"Korea, Rep.","KOR",46.6600338441855,42.7830210318588,36.142932861381,33.4711585544775,36.1867108656532,37.0294064368732,36.8835541072986
"Kosovo","XKX",49.6658281079863,51.2186798383475,50.3926295849836,50.9151414309484,52.532780367639,55.5760396069044,56.0596643878185
"Kuwait","KWT",26.7451677494984,31.5308016221273,44.9333252111054,48.5271829064276,46.6450881577689,43.7670247605056,NA
"Kyrgyz Republic","KGZ",91.7766316872636,87.6775294863412,75.7719702273738,69.9981651422372,66.3646044484224,67.2738298966465,65.6998378421619
"Lao PDR","LAO",60.0060432178517,58.3051916415507,51.8460643955753,41.8824634642904,NA,NA,NA
"Late-demographic dividend","LTE",28.4527457076972,28.2761304601298,26.9726602498772,26.5861037286468,26.9564171555286,27.33579701665,26.7566048152556
"Latin America & Caribbean","LCN",23.1426770158885,23.0347846803405,22.7097916768061,22.1237088941696,22.1617515198963,24.115591674248,23.2565556395355
"Latin America & Caribbean (excluding high income)","LAC",21.8788535578445,21.8720633921166,21.7286747822687,21.2714430211403,21.2948806898699,23.4030965911809,23.0238719032906
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",22.7033418279574,22.6528070277463,22.4035257592743,21.8385305941335,21.8394535000938,23.9216805150316,23.237417762371
"Latvia","LVA",63.8079318728626,63.2380824587094,61.6288228437622,59.4192226370126,61.9703055840373,61.6901815628759,59.8236446824686
"Least developed countries: UN classification","LDC",33.7412438359629,32.3113617421211,31.9269286457677,29.8101858686002,28.9844891850151,30.986871071717,NA
"Lebanon","LBN",59.4904786001486,56.0152519883063,48.689587131754,45.9455279425235,46.4295934881725,47.4326299929957,41.9482953835925
"Lesotho","LSO",92.9806675567133,86.071233196471,86.3702325196745,88.4040981980359,90.2107362160183,93.3237085559572,90.9901264880189
