"country","countryiso3","estimate_control_of_corru.364_2013","estimate_control_of_corru.364_2014","estimate_control_of_corru.364_2015","estimate_control_of_corru.364_2016","estimate_control_of_corru.364_2017","estimate_control_of_corru.364_2018","stderr_control_of_corrupt.366_2013","stderr_control_of_corrupt.366_2014","stderr_control_of_corrupt.366_2015","stderr_control_of_corrupt.366_2016","stderr_control_of_corrupt.366_2017","stderr_control_of_corrupt.366_2018","rank_control_of_corruptio.367_2013","rank_control_of_corruptio.367_2014","rank_control_of_corruptio.367_2015","rank_control_of_corruptio.367_2016","rank_control_of_corruptio.367_2017","rank_control_of_corruptio.367_2018","lower_control_of_corrupti.368_2013","lower_control_of_corrupti.368_2014","lower_control_of_corrupti.368_2015","lower_control_of_corrupti.368_2016","lower_control_of_corrupti.368_2017","lower_control_of_corrupti.368_2018","upper_control_of_corrupti.369_2013","upper_control_of_corrupti.369_2014","upper_control_of_corrupti.369_2015","upper_control_of_corrupti.369_2016","upper_control_of_corrupti.369_2017","upper_control_of_corrupti.369_2018","estimate_rule_of_law.370_2013","estimate_rule_of_law.370_2014","estimate_rule_of_law.370_2015","estimate_rule_of_law.370_2016","estimate_rule_of_law.370_2017","estimate_rule_of_law.370_2018","stderr_rule_of_law.372_2013","stderr_rule_of_law.372_2014","stderr_rule_of_law.372_2015","stderr_rule_of_law.372_2016","stderr_rule_of_law.372_2017","stderr_rule_of_law.372_2018","rank_rule_of_law.373_2013","rank_rule_of_law.373_2014","rank_rule_of_law.373_2015","rank_rule_of_law.373_2016","rank_rule_of_law.373_2017","rank_rule_of_law.373_2018","lower_rule_of_law.374_2013","lower_rule_of_law.374_2014","lower_rule_of_law.374_2015","lower_rule_of_law.374_2016","lower_rule_of_law.374_2017","lower_rule_of_law.374_2018","upper_rule_of_law.375_2013","upper_rule_of_law.375_2014","upper_rule_of_law.375_2015","upper_rule_of_law.375_2016","upper_rule_of_law.375_2017","upper_rule_of_law.375_2018","estimate_political_stabil.376_2013","estimate_political_stabil.376_2014","estimate_political_stabil.376_2015","estimate_political_stabil.376_2016","estimate_political_stabil.376_2017","estimate_political_stabil.376_2018","stderr_political_stabilit.378_2013","stderr_political_stabilit.378_2014","stderr_political_stabilit.378_2015","stderr_political_stabilit.378_2016","stderr_political_stabilit.378_2017","stderr_political_stabilit.378_2018","rank_political_stability_.379_2013","rank_political_stability_.379_2014","rank_political_stability_.379_2015","rank_political_stability_.379_2016","rank_political_stability_.379_2017","rank_political_stability_.379_2018","lower_political_stability.380_2013","lower_political_stability.380_2014","lower_political_stability.380_2015","lower_political_stability.380_2016","lower_political_stability.380_2017","lower_political_stability.380_2018","upper_political_stability.381_2013","upper_political_stability.381_2014","upper_political_stability.381_2015","upper_political_stability.381_2016","upper_political_stability.381_2017","upper_political_stability.381_2018","estimate_voice_and_accoun.382_2013","estimate_voice_and_accoun.382_2014","estimate_voice_and_accoun.382_2015","estimate_voice_and_accoun.382_2016","estimate_voice_and_accoun.382_2017","estimate_voice_and_accoun.382_2018","stderr_voice_and_accounta.384_2013","stderr_voice_and_accounta.384_2014","stderr_voice_and_accounta.384_2015","stderr_voice_and_accounta.384_2016","stderr_voice_and_accounta.384_2017","stderr_voice_and_accounta.384_2018","rank_voice_and_accountabi.385_2013","rank_voice_and_accountabi.385_2014","rank_voice_and_accountabi.385_2015","rank_voice_and_accountabi.385_2016","rank_voice_and_accountabi.385_2017","rank_voice_and_accountabi.385_2018","lower_voice_and_accountab.386_2013","lower_voice_and_accountab.386_2014","lower_voice_and_accountab.386_2015","lower_voice_and_accountab.386_2016","lower_voice_and_accountab.386_2017","lower_voice_and_accountab.386_2018","upper_voice_and_accountab.387_2013","upper_voice_and_accountab.387_2014","upper_voice_and_accountab.387_2015","upper_voice_and_accountab.387_2016","upper_voice_and_accountab.387_2017","upper_voice_and_accountab.387_2018","estimate_government_effec.388_2013","estimate_government_effec.388_2014","estimate_government_effec.388_2015","estimate_government_effec.388_2016","estimate_government_effec.388_2017","estimate_government_effec.388_2018","stderr_government_effecti.390_2013","stderr_government_effecti.390_2014","stderr_government_effecti.390_2015","stderr_government_effecti.390_2016","stderr_government_effecti.390_2017","stderr_government_effecti.390_2018","rank_government_effective.391_2013","rank_government_effective.391_2014","rank_government_effective.391_2015","rank_government_effective.391_2016","rank_government_effective.391_2017","rank_government_effective.391_2018","lower_government_effectiv.392_2013","lower_government_effectiv.392_2014","lower_government_effectiv.392_2015","lower_government_effectiv.392_2016","lower_government_effectiv.392_2017","lower_government_effectiv.392_2018","upper_government_effectiv.393_2013","upper_government_effectiv.393_2014","upper_government_effectiv.393_2015","upper_government_effectiv.393_2016","upper_government_effectiv.393_2017","upper_government_effectiv.393_2018","estimate_regulatory_quali.394_2013","estimate_regulatory_quali.394_2014","estimate_regulatory_quali.394_2015","estimate_regulatory_quali.394_2016","estimate_regulatory_quali.394_2017","estimate_regulatory_quali.394_2018","stderr_regulatory_quality.396_2013","stderr_regulatory_quality.396_2014","stderr_regulatory_quality.396_2015","stderr_regulatory_quality.396_2016","stderr_regulatory_quality.396_2017","stderr_regulatory_quality.396_2018","rank_regulatory_quality.397_2013","rank_regulatory_quality.397_2014","rank_regulatory_quality.397_2015","rank_regulatory_quality.397_2016","rank_regulatory_quality.397_2017","rank_regulatory_quality.397_2018","lower_regulatory_quality.398_2013","lower_regulatory_quality.398_2014","lower_regulatory_quality.398_2015","lower_regulatory_quality.398_2016","lower_regulatory_quality.398_2017","lower_regulatory_quality.398_2018","upper_regulatory_quality.399_2013","upper_regulatory_quality.399_2014","upper_regulatory_quality.399_2015","upper_regulatory_quality.399_2016","upper_regulatory_quality.399_2017","upper_regulatory_quality.399_2018"
"Latvia","LVA",0.3284156,0.4153654,0.4681761,0.4311383,0.5358248,0.3285871,0.1389998,0.1376296,0.1361686,0.142851,0.1294508,0.1411197,66.82465,67.78846,67.78846,66.82692,69.71154,64.42308,61.13744,61.05769,63.46154,62.01923,64.90385,59.61538,70.61611,74.03846,75.48077,73.07692,77.40385,70.67308,0.7678499,0.8723829,0.7945901,0.9589826,0.9313785,0.9569856,0.1373972,0.1442147,0.1439474,0.1665098,0.1552485,0.1484249,73.23943,78.36539,76.44231,80.28846,80.28846,79.32692,66.19718,74.51923,70.19231,75,75.48077,75,80.75117,83.65385,81.25,86.53846,85.57692,85.09615,0.5936353,0.4872684,0.4437472,0.4790692,0.4620957,0.4215345,0.2291728,0.1957394,0.2017246,0.2095633,0.2166968,0.2161918,65.40285,61.90476,60.47619,62.38095,62.85714,60.95238,54.9763,52.38095,51.90476,49.04762,50.95238,48.57143,80.56872,74.28571,70.95238,73.33334,74.7619,73.80952,0.7704234,0.8494349,0.8465344,0.8424898,0.7965319,0.8133246,0.1287289,0.1382434,0.1373589,0.1325004,0.1332975,0.1394906,71.3615,72.4138,73.39902,73.89162,73.89162,74.87685,65.25822,68.47291,68.96552,67.48769,66.99507,68.47291,77.46479,81.7734,83.25123,82.75862,80.78818,81.28078,0.8890268,0.9585503,1.089444,1.005264,0.9037945,1.043452,0.2077521,0.2216189,0.21994,0.2106452,0.2133012,0.2132453,76.30331,78.36539,83.65385,78.84615,78.84615,79.80769,69.19431,72.59615,73.55769,73.07692,70.19231,75,84.83412,87.01923,89.42308,88.94231,85.57692,88.94231,1.043866,1.171654,1.0888,1.080243,1.154456,1.189894,0.1934251,0.2006214,0.1955554,0.2006105,0.2118216,0.2138331,80.56872,85.57692,81.25,83.65385,82.69231,85.57692,73.45972,75.96154,74.51923,75.48077,75.96154,77.40385,89.57346,91.82692,91.34615,89.90385,91.34615,90.86539
"Macao SAR, China","MAC",0.5533845,0.8486614,0.6117634,0.8461854,0.6420048,0.7156818,0.2460459,0.2389696,0.2259118,0.2621583,0.2425189,0.2530471,70.61611,77.40385,70.19231,78.36539,72.11539,76.92308,62.55924,68.26923,63.46154,66.34615,62.98077,63.46154,80.56872,87.01923,80.28846,88.94231,82.21154,82.69231,0.6436772,0.9519196,0.9236724,0.8557392,0.8484679,1.009767,0.2008729,0.2212185,0.2150484,0.2481301,0.2239518,0.2096753,70.42254,79.80769,79.80769,78.84615,77.88461,81.25,61.50235,73.55769,70.19231,66.82692,68.26923,75,80.28169,86.05769,85.57692,87.01923,86.05769,87.01923,0.7577229,1.206169,1.202256,1.417062,1.430438,1.262964,0.3197596,0.2583826,0.2644217,0.2737383,0.2953578,0.2831305,69.19431,93.80952,92.85714,97.61905,97.61905,92.85714,55.45024,72.85714,70.95238,80,80.47619,74.7619,92.41706,99.52381,99.52381,99.52381,99.52381,99.52381,-0.2676533,-0.3305532,-0.0673604,-0.0614022,-0.0549383,-0.0506621,0.2033096,0.2671471,0.2764198,0.291442,0.2823006,0.2493472,38.96714,37.43842,45.3202,44.82759,43.84237,42.85714,28.16901,25.61576,29.55665,31.52709,32.0197,32.51231,51.64319,49.7537,58.62069,61.08374,60.09852,59.60591,1.064194,1.468456,1.450002,1.182226,1.38082,1.204366,0.301569,0.3515804,0.3306262,0.3207268,0.3347294,0.3318715,81.51659,90.38461,89.42308,85.09615,88.94231,85.57692,69.19431,75.48077,76.44231,73.07692,75.48077,74.51923,92.41706,99.03846,99.03846,93.75,97.59615,95.19231,1.34744,1.73222,1.77244,1.781477,1.756899,1.609498,0.2913714,0.3041928,0.2939512,0.3195847,0.3131021,0.3168955,89.57346,94.71154,95.67308,95.67308,94.71154,93.26923,77.25118,87.01923,88.46154,86.05769,86.05769,81.73077,97.63033,99.51923,99.51923,100,100,99.03846
"Morocco","MAR",-0.3711136,-0.2656817,-0.2203408,-0.129715,-0.1394774,-0.2164034,0.1335064,0.1315395,0.1351994,0.1372727,0.1255465,0.1279012,44.07583,50,52.40385,53.84615,52.40385,47.59615,34.12322,36.53846,40.86538,43.26923,44.23077,39.90385,54.02843,55.28846,57.21154,59.61538,58.65385,57.21154,-0.2479497,-0.0651447,-0.0889452,-0.1583126,-0.1621543,-0.1384849,0.1283461,0.1383345,0.1402691,0.1533629,0.143516,0.1387609,46.94836,54.32692,54.80769,48.55769,48.55769,49.51923,41.31455,44.23077,44.71154,36.05769,39.42308,40.38462,53.52113,62.98077,60.09615,56.73077,56.25,56.73077,-0.4930176,-0.4462656,-0.3414874,-0.3125735,-0.3739561,-0.3318862,0.2280198,0.1963862,0.2029834,0.2077957,0.2159105,0.2157381,28.90995,29.52381,33.80952,34.28571,30.95238,33.80952,19.43128,20.95238,21.90476,22.85714,20,21.42857,41.70616,40.95238,45.23809,47.61905,45.71429,46.66667,-0.6985801,-0.6862711,-0.6283067,-0.6263164,-0.6695588,-0.6630427,0.103857,0.1201542,0.1219766,0.1197392,0.1198608,0.1243278,27.23005,27.58621,28.57143,29.55665,28.57143,29.55665,23.94366,22.16749,24.63054,23.64532,23.15271,23.64532,30.51643,31.52709,31.03448,32.51231,32.0197,32.51231,-0.0351245,-0.0745343,-0.06205,-0.1062014,-0.1935492,-0.2092959,0.170496,0.1801673,0.1772969,0.1726222,0.1768257,0.1805988,54.02843,50.48077,50.96154,49.51923,45.19231,46.63462,45.49763,40.86538,41.34615,39.42308,34.13462,34.13462,61.61137,62.01923,62.5,60.57692,57.21154,55.28846,-0.116067,-0.1303917,-0.1707448,-0.2349505,-0.2281133,-0.2429393,0.1585471,0.1632062,0.1587758,0.1608084,0.1658562,0.1665556,48.34123,49.51923,49.03846,45.19231,44.71154,42.78846,37.44076,37.5,36.53846,32.21154,32.21154,32.21154,56.87204,55.28846,54.80769,53.84615,57.21154,56.25
"Monaco","MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9354892,NA,NA,NA,NA,NA,0.6541734,NA,NA,NA,NA,NA,78.87324,NA,NA,NA,NA,NA,51.17371,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,1.056244,1.023348,0.9918019,1.014577,1.630004,1.612102,0.4145102,0.3821031,0.401143,0.3929124,0.3807155,0.4116422,86.25592,84.7619,83.80952,86.66666,99.52381,99.52381,60.18958,59.04762,57.61905,59.04762,85.2381,81.90476,99.52607,99.52381,99.52381,99.52381,100,100,0.8198217,0.9939128,1.017158,0.8368296,0.8354939,0.660958,0.2697326,0.2684391,0.2528068,0.2340358,0.2474758,0.2962991,73.23943,77.3399,79.80296,73.39902,74.38424,71.42857,59.15493,66.50246,68.47291,62.06897,60.59113,51.72414,90.14085,95.56651,95.56651,89.65517,89.65517,87.68473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova","MDA",-0.7546401,-0.8506176,-0.9112523,-0.9516894,-0.7986267,-0.7267502,0.1314122,0.1321106,0.1337268,0.1323917,0.1219921,0.1267872,23.22275,20.67308,18.26923,14.90385,21.15385,25.96154,16.11374,12.98077,11.05769,11.05769,14.90385,16.34615,35.54502,29.80769,26.92308,24.51923,30.76923,35.57692,-0.3721325,-0.2478368,-0.3534472,-0.4949887,-0.4142126,-0.413572,0.1301958,0.1366378,0.1397291,0.1544615,0.1438618,0.1381013,43.19249,46.63462,42.78846,33.17308,37.5,37.01923,33.80282,37.01923,31.73077,25,28.84615,28.36539,50.23474,56.73077,51.92308,45.19231,48.07692,48.07692,0.0008086,-0.1589878,-0.3274402,-0.3035599,-0.318968,-0.3490165,0.2363927,0.2007135,0.2076401,0.2077957,0.2159105,0.2157381,45.97157,39.04762,34.76191,34.76191,33.33333,32.85714,35.07109,29.04762,22.38095,23.33333,23.33333,20.47619,60.18958,52.38095,45.23809,48.09524,46.66667,45.71429,-0.0713248,0.0115453,0.028593,-0.0212144,-0.0296293,-0.1066419,0.1223485,0.1301855,0.1327829,0.1237359,0.1250914,0.1281803,46.00939,49.26109,48.76847,46.79803,45.3202,40.8867,38.49765,39.90148,40.39409,38.91626,38.42365,35.96059,54.46009,55.66502,55.66502,52.70936,52.70936,50.73891,-0.4090807,-0.4184042,-0.6547017,-0.6268807,-0.5276804,-0.4665205,0.2035181,0.2128312,0.2177126,0.1994496,0.2006858,0.208406,41.70616,38.94231,28.36539,30.28846,33.17308,35.57692,24.64455,22.11539,14.90385,16.82692,18.75,18.75,51.18483,51.44231,43.26923,41.82692,44.23077,48.07692,-0.0732874,0.0194689,-0.0662931,-0.1148862,-0.0380251,-0.0490203,0.1715312,0.1780547,0.1736213,0.1742801,0.1794266,0.1817735,49.76303,54.32692,51.44231,50.48077,54.32692,51.92308,38.38863,44.23077,41.34615,37.5,38.94231,37.98077,57.34597,62.98077,59.61538,60.09615,63.94231,61.53846
"Madagascar","MDG",-0.7539618,-0.8404085,-0.851298,-0.9073029,-1.050954,-1.000727,0.1335064,0.1315395,0.1336183,0.1354613,0.1251366,0.132053,23.69668,21.63461,20.19231,16.34615,13.46154,14.90385,16.11374,13.46154,12.98077,12.01923,9.615385,10.57692,35.54502,30.76923,31.25,26.92308,18.26923,23.55769,-0.9128277,-0.7401275,-0.6872614,-0.8134044,-0.8600482,-0.8139714,0.1283461,0.1383345,0.1395979,0.1526877,0.143516,0.1435532,19.24883,26.92308,29.32692,19.71154,19.71154,21.15385,11.73709,14.42308,17.78846,12.5,12.01923,13.46154,29.57747,34.13462,37.98077,31.25,29.80769,30.76923,-0.6599934,-0.5572358,-0.4273629,-0.2900946,-0.3012637,-0.5190363,0.2280198,0.1963862,0.2029834,0.2077957,0.2159105,0.2195558,24.64455,26.66667,30.47619,35.23809,33.80952,28.09524,17.06161,16.66667,21.42857,23.33333,23.33333,16.19048,36.49289,36.66667,42.38095,48.09524,48.09524,40.95238,-0.7633572,-0.5003059,-0.3806107,-0.3130772,-0.341079,-0.3094514,0.1046801,0.1215127,0.1229717,0.1203883,0.120779,0.1255846,25.8216,31.52709,34.48276,35.46798,34.97537,36.4532,22.06573,27.0936,28.57143,32.0197,32.0197,31.03448,28.6385,37.43842,40.8867,41.87192,41.37931,40.8867,-1.131114,-1.299322,-1.285604,-1.167727,-1.139607,-1.153121,0.170496,0.1801673,0.1755285,0.1711018,0.1768257,0.1907385,13.27014,8.653846,8.653846,10.57692,12.01923,11.05769,6.161138,3.365385,5.288462,6.730769,7.211538,7.211538,21.32701,15.38461,15.38461,17.78846,19.23077,18.26923,-0.6486014,-0.6921741,-0.7651789,-0.6897418,-0.694037,-0.7334517,0.1685729,0.1729697,0.1666885,0.169555,0.1658562,0.1686924,27.96209,27.88461,25.96154,25.96154,26.44231,23.55769,19.90521,16.82692,12.5,14.42308,14.90385,12.5,37.44076,36.05769,35.09615,37.01923,35.57692,34.61538
"Maldives","MDV",-0.7477764,-0.3766125,-0.4793896,-0.6661988,-0.7875925,-0.8930011,0.2551644,0.272707,0.2667123,0.267707,0.2698677,0.2663879,24.17062,43.75,37.98077,28.84615,21.63461,17.30769,9.952606,22.59615,17.30769,12.01923,10.09615,8.173077,45.97157,58.65385,56.25,50,44.23077,38.94231,-0.7466154,-0.5301722,-0.5762654,-0.4075964,-0.6152321,-0.5495973,0.1998663,0.2189916,0.2187153,0.2938334,0.2927846,0.2909903,27.69953,33.65385,32.21154,36.53846,30.76923,31.73077,13.61502,18.26923,16.34615,17.30769,12.01923,15.86539,41.31455,49.51923,47.59615,56.25,50.48077,51.44231,0.1250374,0.6790962,0.4206715,0.4209928,0.2319618,0.0950901,0.2972529,0.2380577,0.252858,0.256322,0.2673005,0.2638418,51.65877,69.04762,59.52381,61.42857,54.76191,50.47619,35.54502,57.61905,45.23809,47.14286,38.57143,32.85714,65.40285,88.57143,72.38095,73.80952,69.52381,63.33333,-0.4596337,-0.3722163,-0.5179126,-0.7330725,-0.741136,-0.6604531,0.2044441,0.2182357,0.2089161,0.1946112,0.2024414,0.2298527,33.33333,34.97537,30.04926,26.60098,25.12315,30.04926,25.35211,26.60098,23.64532,19.70443,18.71921,19.21182,43.19249,48.27586,40.8867,34.48276,33.99015,36.94581,-0.3222612,-0.3616644,-0.3758673,-0.3214063,-0.4515913,-0.4884941,0.2823346,0.329998,0.3317723,0.3223223,0.3398683,0.3397982,45.0237,42.30769,40.86538,41.34615,35.57692,35.09615,24.17062,17.30769,17.78846,18.75,15.38461,13.94231,59.24171,60.57692,60.09615,61.53846,57.21154,55.28846,-0.4310798,-0.3442715,-0.4149505,-0.457905,-0.4224218,-0.4830082,0.2373964,0.2775016,0.2632769,0.2886552,0.2797653,0.2906961,36.01896,40.38462,37.5,34.61538,35.57692,33.65385,23.22275,25.48077,21.63461,16.34615,16.82692,14.90385,52.60664,54.80769,53.84615,53.84615,57.21154,55.76923
"Mexico","MEX",-0.5120105,-0.7617088,-0.7659356,-0.7196069,-0.927987,-0.8628517,0.1334404,0.130378,0.1310062,0.1319515,0.1245468,0.1182229,37.44076,24.51923,24.03846,25.96154,16.34615,18.75,26.06635,14.90385,14.42308,14.90385,12.01923,12.98077,46.91943,34.61538,32.69231,35.09615,25,27.40385,-0.5444897,-0.4228251,-0.447092,-0.5562108,-0.5666723,-0.6737109,0.1334336,0.143883,0.1407954,0.1518412,0.1555101,0.1397771,35.68075,37.98077,38.46154,31.73077,31.73077,27.40385,26.76056,29.32692,29.32692,19.71154,21.15385,17.78846,45.53991,48.55769,47.59615,42.78846,41.34615,34.61538,-0.7142238,-0.8539188,-0.7986991,-0.6290694,-0.715323,-0.572437,0.2257874,0.1922474,0.1981644,0.2049565,0.211684,0.211271,23.22275,17.61905,21.42857,23.80952,20.47619,25.71428,15.63981,10,10.95238,14.28571,13.33333,15.71429,36.01896,27.61905,28.57143,34.76191,31.42857,38.09524,0.1083923,0.0003161,-0.0753589,-0.069213,-0.0780927,-0.0059178,0.1102582,0.1269193,0.1288175,0.1253172,0.1257042,0.1280941,53.05164,48.76847,44.33498,43.84237,42.85714,45.81281,45.53991,39.40887,36.94581,36.94581,36.4532,37.93103,57.277,55.17241,50.2463,49.7537,50.2463,52.70936,0.345396,0.1962345,0.2095713,0.1319136,-0.0299037,-0.153388,0.1896839,0.194905,0.1965327,0.1889718,0.2017073,0.1831254,63.03318,61.53846,61.53846,58.65385,52.40385,47.59615,56.39811,47.59615,49.03846,45.67308,38.94231,35.57692,70.61611,71.63461,72.59615,68.75,65.86539,58.65385,0.4689431,0.4259591,0.3577256,0.2871219,0.1962538,0.1509804,0.1749033,0.1804529,0.1737436,0.1785568,0.1907341,0.1753201,67.29858,66.82692,64.90385,64.42308,61.53846,60.57692,56.87204,55.28846,54.32692,53.36538,50.96154,47.59615,73.93365,74.03846,72.59615,70.19231,71.15385,66.82692
"Marshall Islands","MHL",-0.0378926,-0.1077498,-0.1151361,-0.051144,0.001559,-0.0740994,0.421622,0.4799596,0.4310222,0.4295779,0.4451522,0.4364688,58.76777,54.32692,54.80769,56.25,57.21154,54.80769,26.06635,17.78846,20.67308,23.07692,24.51923,23.55769,72.98578,74.03846,69.71154,72.59615,75.96154,74.51923,0.1331547,-0.2220787,-0.2126315,-0.0981705,0.1434264,-0.0471537,0.3014342,0.3227168,0.3211947,0.3620667,0.3727941,0.3723488,57.277,47.59615,48.07692,51.44231,59.61538,52.88462,43.66197,25.48077,25.96154,26.92308,33.17308,27.88461,69.48357,65.38461,64.90385,68.75,76.44231,72.59615,1.054115,0.9895858,0.9194738,0.2077492,0.8743516,0.8627383,0.5989777,0.511646,0.5485966,0.5705906,0.5808476,0.5967359,85.78199,82.85714,79.52381,53.33333,78.09524,77.61905,48.81517,51.90476,47.14286,20.95238,40.95238,42.38095,100,99.52381,99.52381,90.95238,99.52381,99.52381,1.186989,1.154828,1.178826,1.191398,1.188697,1.146016,0.2697326,0.2684391,0.2528068,0.2340358,0.2474758,0.2962991,88.26291,86.69951,86.69951,88.17734,88.17734,87.68473,70.42254,70.44335,71.92118,71.92118,72.9064,70.44335,98.12206,99.01478,99.50739,99.50739,99.50739,99.50739,-1.5658,-1.558409,-1.601155,-1.566244,-1.553341,-1.554391,0.475022,0.4491756,0.4712977,0.4634001,0.5001897,0.4794844,2.843602,4.807693,4.326923,4.807693,5.769231,6.25,0,0,0,0,0,0,24.17062,20.19231,19.71154,19.71154,22.11539,19.71154,-1.088059,-0.9499308,-1.121721,-0.9765467,-1.034138,-1.138546,0.3230451,0.3727938,0.3566428,0.3899506,0.3772381,0.4021414,13.74408,17.30769,12.5,14.42308,13.46154,10.09615,2.843602,4.326923,2.403846,4.326923,3.365385,2.884615,31.27962,40.38462,31.25,40.86538,35.57692,33.65385
"Macedonia, FYR","MKD",-0.0454067,-0.0220428,-0.2560722,-0.2853013,-0.3068783,NA,0.1448589,0.1500347,0.1507062,0.1476211,0.1498331,NA,57.34597,56.73077,50,46.63462,45.19231,NA,46.91943,49.51923,36.53846,33.17308,33.17308,NA,63.03318,62.01923,57.21154,56.25,54.80769,NA,-0.1996228,-0.052509,-0.1888088,-0.2775566,-0.2419224,NA,0.1333037,0.1402585,0.1425355,0.1575407,0.1515894,NA,48.82629,55.76923,49.51923,44.23077,46.63462,NA,41.31455,45.19231,38.94231,31.73077,33.17308,NA,54.46009,63.46154,57.69231,53.36538,53.36538,NA,-0.4160764,0.2563829,-0.2870161,-0.3512047,-0.2490147,NA,0.2479616,0.2079586,0.2169023,0.2159673,0.2234727,NA,33.17535,56.66667,35.71429,32.85714,37.14286,NA,19.90521,42.38095,22.85714,21.42857,24.28572,NA,45.49763,65.71429,49.52381,47.14286,50.47619,NA,-0.0575456,-0.141482,-0.1819001,-0.2360894,-0.1403402,NA,0.1248651,0.1330404,0.1356824,0.1264323,0.1287977,NA,46.94836,43.84237,40.8867,38.91626,41.87192,NA,38.96714,35.46798,33.00492,32.0197,34.48276,NA,55.39906,49.7537,48.76847,45.81281,48.27586,NA,-0.0528186,0.1316635,0.1184931,0.0979802,0.1400139,NA,0.2266838,0.2459578,0.2456238,0.2196873,0.2455149,NA,53.08057,59.61538,58.65385,57.21154,58.17308,NA,40.28436,43.75,43.75,42.78846,41.82692,NA,62.55924,72.11539,72.11539,69.23077,70.19231,NA,0.3300218,0.4827735,0.4317179,0.4409401,0.504985,NA,0.1808781,0.1894174,0.183158,0.1846782,0.1979086,NA,62.08531,67.30769,67.78846,68.26923,71.15385,NA,53.5545,56.73077,56.25,58.65385,61.05769,NA,72.03792,75.48077,73.55769,75.48077,76.44231,NA
"Mali","MLI",-0.7861145,-0.7453915,-0.6828474,-0.6547985,-0.6403126,-0.695331,0.148871,0.1460747,0.1438764,0.146818,0.1335913,0.1366014,22.27488,26.44231,27.88461,30.28846,29.32692,26.92308,14.69194,14.90385,17.30769,16.34615,18.26923,16.34615,35.54502,36.05769,40.86538,40.38462,41.82692,38.46154,-0.7491195,-0.6442962,-0.7351909,-0.7821617,-0.778186,-0.7977482,0.1325625,0.143557,0.1446032,0.1607129,0.1510227,0.1458903,27.23005,31.25,26.92308,22.11539,23.07692,21.63461,17.37089,18.75,15.38461,13.46154,14.90385,14.90385,36.61972,38.94231,36.05769,32.21154,32.69231,30.76923,-1.722162,-1.713989,-1.685664,-1.617233,-1.90659,-2.05126,0.2315082,0.2001131,0.2068148,0.2126011,0.2212373,0.2209855,6.161138,6.666667,7.619048,8.571428,6.190476,5.238095,3.317536,5.238095,4.761905,5.714286,3.333333,2.380952,8.530806,8.095238,9.047619,10.47619,8.571428,6.666667,-0.284508,-0.1614028,-0.1979358,-0.1835062,-0.2527208,-0.3091827,0.1084734,0.126964,0.1261592,0.1241323,0.1245539,0.1301037,38.49765,42.36453,40.39409,40.39409,38.42365,36.94581,32.39437,34.97537,33.00492,34.48276,32.0197,31.03448,43.66197,49.7537,47.78325,47.78325,43.84237,40.8867,-0.9028686,-1.099088,-0.9310304,-0.9927511,-0.936722,-1.004638,0.170496,0.1801673,0.1755285,0.1711018,0.1768257,0.1805988,19.90521,14.90385,17.78846,15.38461,16.82692,15.38461,11.37441,7.211538,10.57692,8.653846,9.615385,9.134615,31.27962,21.15385,29.80769,23.55769,25.96154,22.59615,-0.4960637,-0.6023568,-0.577987,-0.5908752,-0.5726805,-0.5496903,0.1765834,0.1803933,0.1746268,0.1784318,0.1747203,0.1755035,33.64929,29.80769,30.28846,28.36539,30.28846,30.76923,23.69668,18.26923,21.15385,18.26923,17.30769,18.75,45.49763,42.78846,43.75,42.30769,41.34615,41.34615
