"country","countryiso3","SP.URB.TOTL.IN.ZS_2013","SP.URB.TOTL.IN.ZS_2014","SP.URB.TOTL.IN.ZS_2015","SP.URB.TOTL.IN.ZS_2016","SP.URB.TOTL.IN.ZS_2017","SP.URB.TOTL.IN.ZS_2018","SP.URB.TOTL.IN.ZS_2019"
"Greece","GRC",77.355,77.702,78.046,78.387,78.724,79.058,79.388
"Greenland","GRL",85.551,85.813,86.071,86.326,86.574,86.816,87.052
"Grenada","GRD",35.896,35.938,35.997,36.072,36.164,36.272,36.396
"Guam","GUM",94.364,94.449,94.534,94.617,94.699,94.78,94.859
"Guatemala","GTM",49.311,49.634,49.971,50.319,50.68,51.054,51.439
"Guinea","GIN",34.545,34.836,35.141,35.46,35.793,36.14,36.5
"Guinea-Bissau","GNB",41.31,41.715,42.123,42.533,42.945,43.36,43.777
"Guyana","GUY",26.4,26.414,26.441,26.482,26.538,26.606,26.689
"Haiti","HTI",50.46,51.444,52.427,53.396,54.346,55.278,56.192
"Heavily indebted poor countries (HIPC)","HPC",33.7688407539185,34.201294634656,34.641468801197,35.0890803997939,35.5443922880076,36.0084652627508,36.4812814139963
"High income","HIC",79.9790807147434,80.1470360459108,80.3209288211683,80.4976873286236,80.6776731698646,80.8599477138482,81.047440101991
"Honduras","HND",53.858,54.514,55.165,55.813,56.457,57.096,57.73
"Hong Kong SAR, China","HKG",100,100,100,100,100,100,100
"Hungary","HUN",69.953,70.227,70.5,70.779,71.062,71.351,71.644
"IBRD only","IBD",51.9156529937678,52.541004907962,53.1640484118948,53.7856451357554,54.4049215343653,55.0150589509323,55.6162724512813
"Iceland","ISL",93.633,93.667,93.7,93.735,93.773,93.813,93.855
"IDA & IBRD total","IBT",47.7245403517291,48.2646506618119,48.8081266758971,49.3503022869676,49.8904355201344,50.4230972658376,50.9487702560582
"IDA blend","IDB",39.9205198016073,40.3767287717861,40.8358353894326,41.2962864779961,41.7578858702445,42.2283515216553,42.7071864597635
"IDA only","IDX",31.9467500906982,32.3754635055031,32.8469868705746,33.3274338420681,33.8165006946649,34.31598307609,34.8275525372493
"IDA total","IDA",34.6230292809668,35.063568848158,35.5329814716957,36.0081435581674,36.4887875251201,36.9787540214703,37.4789822444632
"India","IND",32.003,32.384,32.777,33.182,33.6,34.03,34.472
"Indonesia","IDN",51.955,52.635,53.313,53.989,54.659,55.325,55.985
"Iran, Islamic Rep.","IRN",72.295,72.83,73.358,73.88,74.394,74.898,75.391
"Iraq","IRQ",69.595,69.758,69.921,70.094,70.278,70.473,70.678
"Ireland","IRL",62.141,62.34,62.538,62.737,62.947,63.17,63.405
"Isle of Man","IMN",52.096,52.162,52.245,52.343,52.458,52.588,52.735
"Israel","ISR",92.031,92.104,92.179,92.256,92.336,92.418,92.501
"Italy","ITA",68.979,69.272,69.565,69.855,70.144,70.438,70.736
"Jamaica","JAM",54.35,54.584,54.833,55.098,55.378,55.674,55.985
"Japan","JPN",91.226,91.304,91.381,91.457,91.535,91.616,91.698
"Jordan","JOR",89.125,90,90.256,90.506,90.747,90.979,91.203
"Kazakhstan","KAZ",57.046,57.118,57.191,57.264,57.336,57.428,57.54
"Kenya","KEN",24.794,25.221,25.658,26.105,26.562,27.03,27.507
"Kiribati","KIR",49.927,50.773,51.619,52.45,53.262,54.057,54.835
"Korea, Dem. People’s Rep.","PRK",60.918,61.098,61.277,61.471,61.678,61.899,62.134
"Korea, Rep.","KOR",81.779,81.707,81.634,81.562,81.503,81.459,81.43
"Kuwait","KWT",100,100,100,100,100,100,100
"Kyrgyz Republic","KGZ",35.517,35.635,35.777,35.944,36.135,36.351,36.591
"Lao PDR","LAO",31.872,32.487,33.108,33.736,34.368,35.004,35.645
"Late-demographic dividend","LTE",58.0427021466599,58.9372243663568,59.8281238914958,60.7148318185549,61.5931271125892,62.4522886609957,63.2931502422037
"Latin America & Caribbean","LCN",79.3674922659871,79.6300893046273,79.8869106937601,80.1373748689217,80.3827436307377,80.6247918347603,80.8705590286188
"Latin America & Caribbean (excluding high income)","LAC",79.1299420027748,79.4057005410665,79.6747571007899,79.9363527289376,80.1921610370628,80.445101086925,80.6991177643297
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",79.3484602635683,79.6192458366803,79.8838582298547,80.141795150382,80.3943316657402,80.6440236823732,80.8943503672615
"Latvia","LVA",67.925,67.952,67.98,68.021,68.075,68.142,68.222
"Least developed countries: UN classification","LDC",30.9807349547645,31.4886994868221,32.0012686241627,32.5185151687389,33.0405321715901,33.568060082099,34.1013508108868
"Lebanon","LBN",87.79,87.947,88.106,88.266,88.429,88.593,88.758
"Lesotho","LSO",26.101,26.502,26.908,27.317,27.73,28.153,28.585
"Liberia","LBR",48.985,49.397,49.82,50.254,50.697,51.151,51.615
"Libya","LBY",78.756,79.009,79.27,79.54,79.817,80.102,80.393
"Liechtenstein","LIE",14.334,14.313,14.303,14.303,14.315,14.338,14.371
"Lithuania","LTU",66.986,67.108,67.23,67.366,67.516,67.679,67.855
"Low & middle income","LMY",47.590856493045,48.1379296228591,48.6879601768285,49.2360722100397,49.7815737404805,50.3192883292259,50.8498286596221
"Low income","LIC",31.1242222701476,31.397288513966,31.7448492397769,32.1102151812826,32.4925620250318,32.8944178848608,33.3182661742934
"Lower middle income","LMC",36.9618609502291,37.3963293614341,37.8390274634109,38.2876526048215,38.7440249617069,39.210048948767,39.6858508422573
"Luxembourg","LUX",89.574,89.884,90.179,90.46,90.727,90.981,91.223
"Macao SAR, China","MAC",100,100,100,100,100,100,100
"Madagascar","MDG",33.878,34.534,35.193,35.856,36.522,37.191,37.861
"Malawi","MWI",15.966,16.132,16.313,16.506,16.714,16.937,17.174
"Malaysia","MYS",72.93,73.577,74.213,74.84,75.447,76.036,76.607
"Maldives","MDV",37.685,38.106,38.529,38.954,39.38,39.808,40.238
"Mali","MLI",38.398,39.196,39.991,40.783,41.572,42.356,43.136
"Malta","MLT",94.279,94.347,94.414,94.48,94.546,94.612,94.678
"Marshall Islands","MHL",74.946,75.384,75.811,76.228,76.634,77.031,77.417
"Mauritania","MRT",49.306,50.203,51.089,51.962,52.824,53.672,54.507
"Mauritius","MUS",41.222,41.111,41,40.91,40.841,40.793,40.766
"Mexico","MEX",78.699,78.993,79.285,79.577,79.867,80.156,80.444
"Micronesia, Fed. Sts.","FSM",22.355,22.399,22.456,22.526,22.608,22.703,22.812
"Middle East & North Africa","MEA",63.6743225698801,64.0000694921524,64.3709008106138,64.7195476678184,65.0525797076706,65.3719859554066,65.6786148250796
"Middle East & North Africa (excluding high income)","MNA",59.9402257031459,60.2416638836733,60.6016305470766,60.9416846531516,61.2705251900232,61.5905475175283,61.9034003740813
"Middle East & North Africa (IDA & IBRD countries)","TMN",59.7650187508709,60.0660759466011,60.4263378050077,60.7664050996666,61.095448226652,61.4145429982845,61.7263904659042
"Middle income","MIC",49.3412664042151,49.9416880713572,50.5389641302324,51.1336147152815,51.7249310693443,52.3075008774737,52.8817659456963
"Moldova","MDA",42.527,42.496,42.49,42.511,42.557,42.629,42.726
"Monaco","MCO",100,100,100,100,100,100,100
"Mongolia","MNG",68.097,68.163,68.23,68.297,68.363,68.445,68.543
"Montenegro","MNE",65.137,65.471,65.806,66.141,66.477,66.813,67.15
"Morocco","MAR",59.7,60.256,60.809,61.36,61.908,62.453,62.994
"Mozambique","MOZ",33.36,33.878,34.4,34.926,35.455,35.988,36.528
"Myanmar","MMR",29.457,29.65,29.858,30.082,30.322,30.579,30.852
"Namibia","NAM",44.756,45.826,46.9,47.961,49.005,50.032,51.042
"Nauru","NRU",100,100,100,100,100,100,100
"Nepal","NPL",17.815,18.182,18.557,18.942,19.336,19.74,20.153
"Netherlands","NLD",89.187,89.69,90.173,90.635,91.077,91.49,91.876
"New Caledonia","NCL",68.479,68.931,69.379,69.821,70.256,70.683,71.104
"New Zealand","NZL",86.221,86.281,86.341,86.4,86.466,86.538,86.615
