"retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","country","countryiso3"
-24,-15,NA,NA,-29,NA,"Izard County",NA
-10,-12,NA,NA,-14,NA,"Jackson County",NA
-30,4,NA,-14,-26,11,"Jefferson County",NA
-24,12,-28,NA,-14,-2,"Johnson County",NA
-19,-6,NA,NA,-30,NA,"Lawrence County",NA
-60,-16,NA,NA,-23,NA,"Lincoln County",NA
-7,5,NA,NA,-34,NA,"Little River County",NA
-5,13,NA,NA,-18,NA,"Logan County",NA
-23,-5,NA,NA,-27,15,"Lonoke County",NA
-10,17,NA,NA,-11,NA,"Madison County",NA
4,5,NA,NA,-26,NA,"Marion County",NA
-33,-10,-35,-24,-32,12,"Miller County",NA
-11,-1,NA,-18,-15,10,"Mississippi County",NA
-26,-8,NA,NA,-34,NA,"Monroe County",NA
NA,NA,NA,NA,-33,NA,"Montgomery County",NA
-61,NA,NA,-23,-21,NA,"Nevada County",NA
NA,NA,NA,NA,-38,NA,"Newton County",NA
-9,-21,NA,NA,-16,NA,"Ouachita County",NA
NA,NA,NA,NA,-35,NA,"Perry County",NA
-1,-6,NA,NA,-32,NA,"Phillips County",NA
-30,13,NA,NA,-33,NA,"Pike County",NA
2,-5,NA,NA,-15,NA,"Poinsett County",NA
-17,3,NA,NA,-25,NA,"Polk County",NA
-32,-9,NA,-11,-22,12,"Pope County",NA
NA,NA,NA,NA,-26,NA,"Prairie County",NA
-35,-9,73,-38,-30,9,"Pulaski County",NA
-22,12,NA,NA,-23,NA,"Randolph County",NA
-26,-13,-52,-10,-33,7,"Saline County",NA
-39,NA,NA,NA,-27,NA,"Scott County",NA
NA,NA,NA,NA,-39,NA,"Searcy County",NA
-36,-11,45,-41,-27,7,"Sebastian County",NA
-24,-11,NA,NA,-19,NA,"Sevier County",NA
-17,-7,NA,NA,-26,NA,"Sharp County",NA
-16,10,NA,-22,-25,NA,"St  Francis County",NA
-11,-29,NA,NA,-26,NA,"Stone County",NA
-33,-8,NA,NA,-24,8,"Union County",NA
-20,NA,NA,NA,-39,NA,"Van Buren County",NA
-37,-16,37,-10,-34,8,"Washington County",NA
-27,-12,-19,4,-21,9,"White County",NA
-11,13,16,NA,-19,NA,"Yell County",NA
-50,-24,-38,-54,-39,15,"California",NA
-58,-27,-14,-64,-44,17,"Alameda County",NA
-41,-20,-50,NA,-44,0,"Amador County",NA
-45,-16,-23,-45,-34,11,"Butte County",NA
-42,-12,-28,NA,-39,10,"Calaveras County",NA
-37,-1,NA,-32,-37,NA,"Colusa County",NA
-48,-21,-15,-49,-41,15,"Contra Costa County",NA
-31,-11,-26,NA,-29,NA,"Del Norte County",NA
-58,-37,-35,-50,-48,13,"El Dorado County",NA
-40,-14,-27,-43,-31,11,"Fresno County",NA
-23,-14,-11,-20,-36,2,"Glenn County",NA
-48,-23,-10,-48,-35,11,"Humboldt County",NA
-53,-31,-65,-62,-32,16,"Imperial County",NA
-75,-37,-35,NA,-39,NA,"Inyo County",NA
-43,-17,-16,-37,-30,11,"Kern County",NA
-34,-14,-12,-43,-27,10,"Kings County",NA
-38,-13,-42,-42,-33,16,"Lake County",NA
-30,-8,NA,NA,-22,NA,"Lassen County",NA
-51,-27,-48,-54,-41,17,"Los Angeles County",NA
-39,-25,-20,-30,-30,11,"Madera County",NA
-61,-30,-59,-61,-42,17,"Marin County",NA
-75,-23,-72,NA,-45,NA,"Mariposa County",NA
-47,-29,-39,-44,-32,17,"Mendocino County",NA
-34,-18,-1,-37,-26,11,"Merced County",NA
-59,-9,NA,NA,-26,NA,"Modoc County",NA
-100,-60,-57,NA,-73,NA,"Mono County",NA
-46,-19,-48,-45,-43,14,"Monterey County",NA
-53,-34,-24,-45,-51,18,"Napa County",NA
-56,-26,-48,-73,-41,15,"Nevada County 1",NA
-52,-24,-31,-55,-44,17,"Orange County",NA
-52,-27,-2,-55,-44,13,"Placer County",NA
-30,-8,NA,NA,-25,NA,"Plumas County",NA
-43,-20,-44,-41,-39,14,"Riverside County",NA
-45,-21,-1,-57,-37,13,"Sacramento County",NA
-45,-25,-36,NA,-32,23,"San Benito County",NA
-45,-23,-36,-42,-34,14,"San Bernardino County",NA
-50,-26,-51,-64,-41,15,"San Diego County",NA
-75,-37,-55,-66,-53,21,"San Francisco County",NA
-41,-16,-16,-31,-30,12,"San Joaquin County",NA
-56,-29,-27,-58,-45,13,"San Luis Obispo County",NA
-60,-26,-35,-83,-46,19,"San Mateo County",NA
-47,-17,-30,-51,-40,13,"Santa Barbara County",NA
-62,-33,-22,-71,-48,17,"Santa Clara County",NA
-55,-27,-40,-57,-41,15,"Santa Cruz County 1",NA
-39,-15,-21,-22,-31,9,"Shasta County",NA
-35,-20,-6,9,-25,13,"Siskiyou County",NA
-45,-21,-18,-37,-34,13,"Solano County",NA
-53,-22,-58,-54,-41,15,"Sonoma County",NA
-44,-19,-12,-28,-29,11,"Stanislaus County",NA
-41,-18,-28,-43,-34,13,"Sutter County",NA
-34,-9,-9,-22,-27,15,"Tehama County",NA
-65,-20,NA,NA,-28,NA,"Trinity County",NA
-39,-13,-27,-28,-25,11,"Tulare County",NA
-48,-17,-67,NA,-38,14,"Tuolumne County",NA
-46,-24,-24,-40,-39,14,"Ventura County",NA
-43,-23,2,-34,-37,13,"Yolo County",NA
-34,-12,24,-34,-38,13,"Yuba County",NA
-51,-27,-12,-60,-40,13,"Colorado",NA
-49,-25,-12,-30,-36,13,"Adams County",NA
-44,-28,NA,NA,-28,NA,"Alamosa County",NA
-52,-30,14,-36,-40,14,"Arapahoe County",NA
-60,-28,NA,NA,-44,NA,"Archuleta County",NA
-59,-32,-7,-44,-47,15,"Boulder County",NA
-57,-30,9,-46,-41,30,"Broomfield County",NA
-56,-31,-36,NA,-45,NA,"Chaffee County",NA
-88,-55,-42,NA,-40,NA,"Clear Creek County",NA
NA,NA,NA,NA,-29,NA,"Conejos County",NA
-41,-20,-40,NA,-19,5,"Delta County",NA
