"country","countryiso3","latest.year_healthexpenditures.2225","latest.value_healthexpenditures.2225"
"Saint Vincent and the Grenadines","VCT",2020,8.6
"Samoa","WSM",2020,7.2
"San Marino","SMR",2020,6.1
"Sao Tome and Principe","STP",2020,8.4
"Saudi Arabia","SAU",2020,4.7
"Senegal","SEN",2020,4.7
"Serbia","SRB",2020,10.4
"Seychelles","SYC",2020,3.4
"Sierra Leone","SLE",2020,11.1
"Singapore","SGP",2020,4.9
"Slovakia","SVK",2020,8.1
"Slovenia","SVN",2020,9.2
"Solomon Islands","SLB",2020,5.1
"South Africa","ZAF",2020,8.8
"South Sudan","SSD",2020,2.7
"Spain","ESP",2020,9
"Sri Lanka","LKA",2020,3.5
"Sudan","SDN",2020,8.4
"Suriname","SUR",2020,5.7
"Sweden","SWE",2020,11.9
"Switzerland","CHE",2020,11.7
"Syria","SYR",2020,3.3
"Tajikistan","TJK",2020,6.9
"Tanzania","TZA",2020,5.6
"Thailand","THA",2020,6.5
"Timor-Leste","TLS",2020,1.5
"Togo","TGO",2020,5.2
"Tonga","TON",2020,5.2
"Trinidad and Tobago","TTO",2020,5.9
"Tunisia","TUN",2020,7
"Turkey","TUR",2020,5.4
"Turkmenistan","TKM",2020,2.1
"Tuvalu","TUV",2020,16.5
"Uganda","UGA",2020,7.2
"Ukraine","UKR",2020,7.1
"United Arab Emirates","ARE",2020,3.6
"United Kingdom","GBR",2020,9.1
"United States","USA",2020,17.1
"Uruguay","URY",2020,8.6
"Uzbekistan","UZB",2020,5.8
"Vanuatu","VUT",2020,5
"Venezuela","VEN",2020,5.3
"Vietnam","VNM",2020,7.1
"Yemen","YEM",2020,5.6
"Zambia","ZMB",2020,5
"Zimbabwe","ZWE",2020,6.4
