country,countryiso3,hospital_data_yr_rec,hospitals_per_1mil,total_n_of_hospitals,total_n_of_hospital_beds,hospital_beds_per_1000,doctors_data_yr_rec,doctors_per_10k,total_n_of_doctors,nurses_data_yr_rec,nurses_and_midwifery_per_10k,total_n_of_nurses_and_midwifery,total_n_of_nurses,total_n_of_midwifery,che_perc_of_gdp_2017,che_perc_of_gdp_2016,world_pop_2016_thousands
Rwanda,RWA,NA,NA,NA,NA,NA,2018,1.34,1648,2018,12.044,14816,13345,1471,6.6,6.8,11918
Saudi Arabia,SAU,2013,10.4,335,NA,NA,2018,26.117,88023,2018,54.763,184565,180571,3994,5.2,5.8,32276
Sudan,SDN,2013,13.5,534,NA,NA,2017,2.618,10683,2017,6.952,28372,12234,16138,6.3,6.4,39579
Senegal,SEN,2013,1.6,24,NA,NA,2017,0.691,1066,2017,3.127,4822,2820,2002,4.1,4.3,15412
Singapore,SGP,2013,5,28,NA,NA,2016,22.936,12967,2017,62.432,35636,35636,NA,4.4,4.4,5622
Solomon Islands,SLB,NA,NA,NA,NA,NA,2016,1.937,120,2018,21.642,1413,1413,NA,4.7,5.2,599
Sierra Leone,SLE,NA,NA,NA,NA,NA,2011,0.251,165,2016,2.239,1641,1328,313,13.4,16.5,7396
El Salvador,SLV,2013,4.699999999999999,29,NA,NA,2016,15.662,9955,2018,18.344,11778,11778,NA,7.2,7.7,6345
San Marino,SMR,2013,31.8,1,NA,NA,2014,61.094,201,2014,82.067,270,253,17,7.4,6.8,33
Somalia,SOM,NA,NA,NA,NA,NA,2014,0.23,309,2014,1.119,1502,825,677,NA,NA,14318
Serbia,SRB,2013,10.9,96,NA,NA,2016,31.131,27563,2016,60.855,53881,53881,NA,8.4,8.6,8820
South Sudan,SSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,12231
Sao Tome and Principe,STP,NA,NA,NA,NA,NA,2017,0.531,11,2018,19.242,406,406,NA,6.2,6.2,200
Suriname,SUR,2013,3.7,2,NA,NA,2018,12.101,697,2018,27.569,1588,1588,NA,6.2,6.3,558
Slovakia,SVK,2017,24.08,131,31659,5.82,2017,34.156,18608,2017,3.187,1736,NA,1736,6.7,7.1,5444
Slovenia,SVN,2018,14.03,29,9294,4.5,2017,30.861,6408,2017,99.745,20711,20505,206,8.2,8.5,2078
Sweden,SWE,2003,9.04,81,22376.69,2.22,2016,39.84,39187,2017,118.164,117040,109463,7577,11,11,9838
Eswatini,SWZ,2013,8,10,NA,NA,2017,NA,NA,2018,41.415,4706,4706,NA,6.9,6.8,1343
Seychelles,SYC,2013,10.8,1,NA,NA,2016,21.212,203,2016,80.773,773,684,89,5,5.2,94
Syrian Arab Republic,SYR,NA,NA,NA,NA,NA,2016,12.874,22485,2016,15.406,26908,26908,NA,NA,NA,18430
Chad,TCD,2013,6.5,93,NA,NA,2017,0.434,651,2017,2.322,3487,3487,NA,4.5,5,14453
Togo,TGO,2013,6,45,NA,NA,2018,0.774,611,2018,4.102,3236,1951,1285,6.2,6.6,7606
Thailand,THA,2013,18.400000000000002,1267,NA,NA,2018,8.05,55890,2018,27.593,191575,191575,NA,3.7,3.8,68864
Tajikistan,TJK,2013,46.8,408,NA,NA,2014,21.026,17352,2014,47.534,39229,34696,4533,7.2,7,8735
Turkmenistan,TKM,NA,NA,NA,NA,NA,2014,22.247,12161,2014,44.273,24201,23090,1111,6.9,6.6,5663
Timor-Leste,TLS,NA,NA,NA,NA,NA,2018,7.224,916,2018,16.68,2115,1497,618,3.9,4,1269
Tonga,TON,2013,38,4,NA,NA,2013,5.403,55,2018,41.57,429,429,NA,5.3,5.2,107
Trinidad and Tobago,TTO,NA,NA,NA,NA,NA,2018,41.675,5792,2018,40.934,5689,5689,NA,7,6.9,1365
Tunisia,TUN,2013,23.3,265,NA,NA,2017,13.025,14892,2017,25.136,28739,28739,NA,7.2,7,11403
Turkey,TUR,2017,18.9,1518,225863,2.81,2017,18.492,149997,2017,27.107,219883,166142,53741,4.2,4.3,79512
Tuvalu,TUV,2014,0.2,0,NA,NA,NA,NA,NA,2018,42.609,49,49,NA,17.1,16.9,11
United Republic of Tanzania,TZA,NA,NA,NA,NA,NA,2016,0.14,742,2017,5.843,31940,31940,NA,3.6,4,55572
Uganda,UGA,2013,4,165,NA,NA,2017,1.68,6918,2018,12.382,52907,52907,NA,6.3,6.4,41488
Ukraine,UKR,NA,NA,NA,NA,NA,2014,29.923,134986,2014,66.61,300489,284207,16282,7,6.8,44439
Uruguay,URY,2013,39.300000000000004,135,NA,NA,2017,50.794,17456,2017,19.412,6671,6671,NA,9.3,9.2,3444
United States,USA,2016,17.11,5534,894574,2.77,2017,26.12,849126,2017,145.48,4729338,4729338,NA,17.1,17.2,322180
Uzbekistan,UZB,NA,NA,NA,NA,NA,2014,23.742,72237,2014,112.804,343223,318196,25027,6.4,6.3,31447
Saint Vincent and the Grenadines,VCT,2013,0,0,NA,NA,2010,6.648,72,2018,70.145,773,773,NA,4.5,4.3,110
Venezuela (Bolivarian Republic of),VEN,NA,NA,NA,NA,NA,2001,19.475,48000,2018,9.416,27200,27200,NA,1.2,3.2,31568
Viet Nam,VNM,NA,NA,NA,NA,NA,2016,8.281,77539,2016,14.463,135432,106654,28778,5.5,5.7,94569
Vanuatu,VUT,2013,23.700000000000003,6,NA,NA,2016,1.653,46,2018,14.247,417,417,NA,3.3,3.7,270
Samoa,WSM,2013,42,8,NA,NA,2016,3.445,67,2018,24.885,488,488,NA,5.5,5.5,195
Yemen,YEM,2013,29.700000000000003,819,NA,NA,2014,5.251,13560,2018,7.852,22377,22377,NA,NA,NA,27584
South Africa,ZAF,2013,6.7,375,117841,2.32,2017,9.054,51616,2017,13.078,74556,74556,NA,8.1,8.1,56015
Zambia,ZMB,2013,4.5,74,NA,NA,2018,11.867,20591,2018,13.376,23210,22722,488,4.5,4.5,16591
Zimbabwe,ZWE,2013,5.2,83,NA,NA,2018,2.096,3026,2018,19.346,27934,27934,NA,6.6,7.7,16150
