"country","countryiso3","latest.year_airports.2053","latest.value_airports.2053"
"Sao Tome and Principe","STP",2020,2
"Saudi Arabia","SAU",2020,214
"Senegal","SEN",2020,20
"Serbia","SRB",2020,26
"Seychelles","SYC",2020,14
"Sierra Leone","SLE",2020,8
"Singapore","SGP",2020,9
"Sint Maarten","SXM",2020,1
"Slovakia","SVK",2020,35
"Slovenia","SVN",2020,16
"Solomon Islands","SLB",2020,36
"Somalia","SOM",2020,61
"South Africa","ZAF",2020,566
"South Sudan","SSD",2020,85
"Spain","ESP",2020,150
"Sri Lanka","LKA",2020,19
"Sudan","SDN",2020,74
"Suriname","SUR",2020,55
"Svalbard","SJM",2020,4
"Sweden","SWE",2020,231
"Switzerland","CHE",2020,63
"Syria","SYR",2020,90
"Taiwan","TWN",2020,37
"Tajikistan","TJK",2020,24
"Tanzania","TZA",2020,166
"Thailand","THA",2020,101
"Timor-Leste","TLS",2020,6
"Togo","TGO",2020,8
"Tonga","TON",2020,6
"Trinidad and Tobago","TTO",2020,4
"Tunisia","TUN",2020,29
"Turkey","TUR",2020,98
"Turkmenistan","TKM",2020,26
"Turks and Caicos Islands","TCA",2020,8
"Tuvalu","TUV",2020,1
"Uganda","UGA",2020,47
"Ukraine","UKR",2020,187
"United Arab Emirates","ARE",2020,43
"United Kingdom","GBR",2020,460
"United States","USA",2020,13513
"Uruguay","URY",2020,133
"Uzbekistan","UZB",2020,53
"Vanuatu","VUT",2020,31
"Venezuela","VEN",2020,444
"Vietnam","VNM",2020,45
"Virgin Islands","VIR",2020,2
"Wallis and Futuna","WLF",2020,2
"West Bank","PSE",2020,2
"Western Sahara","ESH",2020,6
"Yemen","YEM",2020,57
"Zambia","ZMB",2020,88
"Zimbabwe","ZWE",2020,196
