"country","countryiso3","latest.year_score_logistics_performan.321","latest.value_score_logistics_performan.321","latest.year_score_logistics_performan.40212","latest.value_score_logistics_performan.40212","latest.year_score (lower bound)_logis.322","latest.value_score (lower bound)_logis.322","latest.year_score (upper bound)_logis.323","latest.value_score (upper bound)_logis.323","latest.year_rank_logistics_performanc.324","latest.value_rank_logistics_performanc.324","latest.year_rank_logistics_performanc.40213","latest.value_rank_logistics_performanc.40213","latest.year_rank (lower bound)_logist.325","latest.value_rank (lower bound)_logist.325","latest.year_rank (upper bound)_logist.326","latest.value_rank (upper bound)_logist.326","latest.year_% of highest performer_lo.327","latest.value_% of highest performer_lo.327","latest.year_score_customs.329","latest.value_score_customs.329","latest.year_rank_customs.330","latest.value_rank_customs.330","latest.year_score_infrastructure.331","latest.value_score_infrastructure.331","latest.year_rank_infrastructure.332","latest.value_rank_infrastructure.332","latest.year_score_international_shipm.333","latest.value_score_international_shipm.333","latest.year_rank_international_shipme.334","latest.value_rank_international_shipme.334","latest.year_score_logistics_competenc.335","latest.value_score_logistics_competenc.335","latest.year_rank_logistics_competence.336","latest.value_rank_logistics_competence.336","latest.year_score_tracking_and_tracin.337","latest.value_score_tracking_and_tracin.337","latest.year_rank_tracking_and_tracing.338","latest.value_rank_tracking_and_tracing.338","latest.year_score_timeliness_on_intl_.339","latest.value_score_timeliness_on_intl_.339","latest.year_rank_timeliness_on_intl_s.340","latest.value_rank_timeliness_on_intl_s.340"
"Canada","CAN",2018,3.73,2018,3.81,2018,3.56,2018,3.89,2018,20,2018,17,2018,14,2018,27,2018,85.17,2018,3.6,2018,18,2018,3.75,2018,21,2018,3.38,2018,30,2018,3.9,2018,14,2018,3.81,2018,21,2018,3.96,2018,22
"Switzerland","CHE",2018,3.9,2018,3.91,2018,3.8,2018,4,2018,13,2018,13,2018,7,2018,17,2018,90.63,2018,3.63,2018,16,2018,4.02,2018,9,2018,3.51,2018,20,2018,3.97,2018,11,2018,4.1,2018,5,2018,4.24,2018,13
"Chile","CHL",2018,3.32,2018,3.28,2018,3.21,2018,3.43,2018,34,2018,40,2018,31,2018,41,2018,72.38,2018,3.27,2018,32,2018,3.21,2018,34,2018,3.27,2018,38,2018,3.13,2018,43,2018,3.2,2018,44,2018,3.8,2018,31
"China","CHN",2018,3.61,2018,3.6,2018,3.55,2018,3.66,2018,26,2018,27,2018,23,2018,27,2018,81.37,2018,3.29,2018,31,2018,3.75,2018,20,2018,3.54,2018,18,2018,3.59,2018,27,2018,3.65,2018,27,2018,3.84,2018,27
"Cote d'Ivoire","CIV",2018,3.08,NA,NA,2018,2.86,2018,3.3,2018,50,NA,NA,2018,38,2018,63,2018,65.04,2018,2.78,2018,51,2018,2.89,2018,56,2018,3.21,2018,45,2018,3.23,2018,37,2018,3.14,2018,49,2018,3.23,2018,71
"Cameroon","CMR",2018,2.6,2018,2.43,2018,2.38,2018,2.81,2018,95,2018,125,2018,73,2018,129,2018,49.84,2018,2.46,2018,90,2018,2.57,2018,76,2018,2.87,2018,63,2018,2.6,2018,87,2018,2.47,2018,118,2018,2.57,2018,142
"Congo, Dem. Rep.","COD",2018,2.43,2018,2.33,2018,2.28,2018,2.57,2018,120,2018,143,2018,104,2018,138,2018,44.62,2018,2.37,2018,108,2018,2.12,2018,132,2018,2.37,2018,127,2018,2.49,2018,100,2018,2.51,2018,114,2018,2.69,2018,133
"Congo, Rep.","COG",2018,2.49,2018,2.38,2018,2.12,2018,2.85,2018,115,2018,133,2018,65,2018,151,2018,46.41,2018,2.27,2018,123,2018,2.07,2018,138,2018,2.87,2018,64,2018,2.28,2018,127,2018,2.38,2018,125,2018,2.95,2018,103
"Colombia","COL",2018,2.94,2018,2.81,2018,2.77,2018,3.11,2018,58,2018,71,2018,49,2018,74,2018,60.65,2018,2.61,2018,75,2018,2.67,2018,72,2018,3.19,2018,46,2018,2.87,2018,56,2018,3.08,2018,53,2018,3.17,2018,81
"Comoros","COM",2018,2.56,2018,2.51,2018,2.2,2018,2.91,2018,107,2018,114,2018,60,2018,144,2018,48.64,2018,2.63,2018,72,2018,2.25,2018,113,2018,2.49,2018,116,2018,2.21,2018,138,2018,2.93,2018,68,2018,2.8,2018,120
