"country","countryiso3","median.2177_2020"
"Indonesia","IDN",30.2
"Colombia","COL",30
"Israel","ISR",29.9
"Suriname","SUR",29.8
"Kuwait","KWT",29.3
"Morocco","MAR",29.3
"Panama","PAN",29.2
"Kosovo","XKS",29.1
"Guam","GUM",29
"Fiji","FJI",28.9
"Libya","LBY",28.9
"Uzbekistan","UZB",28.6
"Malaysia","MYS",28.5
"Mexico","MEX",28.3
"Mongolia","MNG",28.3
"Venezuela","VEN",28.3
"Burma","MMR",28.2
"Maldives","MDV",28.2
"Paraguay","PRY",28.2
"Algeria","DZA",28.1
"Dominican Republic","DOM",28.1
"Peru","PER",28
"India","IND",27.9
"Turkmenistan","TKM",27.9
"Ecuador","ECU",27.7
"Bhutan","BTN",27.6
"Saudi Arabia","SAU",27.5
"El Salvador","SLV",27.1
"South Africa","ZAF",27.1
"Bangladesh","BGD",26.7
"Kyrgyzstan","KGZ",26.5
"Nauru","NRU",26.4
"Guyana","GUY",26.2
"Jamaica","JAM",26
"Tuvalu","TUV",25.7
"Nicaragua","NIC",25.7
"Oman","OMN",25.6
"American Samoa","ASM",25.5
"Cabo Verde","CPV",25.4
"Cambodia","KHM",25.3
"Micronesia, Federated States of","FSM",25.1
"Kiribati","KIR",24.6
"Botswana","BWA",24.5
"Tajikistan","TJK",24.5
"Samoa","WSM",24.4
"Bolivia","BOL",24.3
"Syria","SYR",24.3
"Lesotho","LSO",24.2
"Nepal","NPL",24.1
"Egypt","EGY",23.9
"Djibouti","DJI",23.9
"Pakistan","PAK",23.8
"Philippines","PHL",23.5
"Papua New Guinea","PNG",23.1
"Tonga","TON",23
"Honduras","HND",23
"Haiti","HTI",23
"Laos","LAO",23
"Marshall Islands","MHL",22.9
"Belize","BLZ",22.7
"Solomon Islands","SLB",22.5
"Jordan","JOR",22.5
"Guatemala","GTM",22.1
"Vanuatu","VUT",22
"Western Sahara","ESH",21.3
"Namibia","NAM",21.2
"West Bank","PSE",21.1
"Ghana","GHA",21.1
"Gambia, The","GMB",21
"Cote d'Ivoire","CIV",20.9
"Mauritania","MRT",20.5
"Guinea-Bissau","GNB",20.1
"Zimbabwe","ZWE",20
"Iraq","IRQ",20
"Sudan","SDN",19.9
"Comoros","COM",19.9
"Equatorial Guinea","GNQ",19.8
"Togo","TGO",19.8
"Madagascar","MDG",19.7
"Eritrea","ERI",19.7
"Central African Republic","CAF",19.7
"Congo, Republic of the","COG",19.7
"Kenya","KEN",19.7
"Yemen","YEM",19.5
"Rwanda","RWA",19
"Sierra Leone","SLE",19
"Guinea","GIN",18.9
"Timor-Leste","TLS",18.9
"Senegal","SEN",18.8
"Afghanistan","AFG",18.8
"Gabon","GAB",18.6
"Congo, Democratic Republic of the","COD",18.6
"Cameroon","CMR",18.5
"Sao Tome and Principe","STP",18.4
"Nigeria","NGA",18.4
"Benin","BEN",18.2
"Somalia","SOM",18.1
"Ethiopia","ETH",17.9
"Chad","TCD",17.8
"Liberia","LBR",17.8
"Tanzania","TZA",17.7
"Burkina Faso","BFA",17.3
"South Sudan","SSD",17.3
"Gaza Strip","PSE",17.2
"Mozambique","MOZ",17.2
"Burundi","BDI",17
"Zambia","ZMB",16.8
"Malawi","MWI",16.5
"Angola","AGO",15.9
"Uganda","UGA",15.8
"Mali","MLI",15.8
"Niger","NER",15.4
