"country","countryiso3","SP.RUR.TOTL.ZS_2013","SP.RUR.TOTL.ZS_2014","SP.RUR.TOTL.ZS_2015","SP.RUR.TOTL.ZS_2016","SP.RUR.TOTL.ZS_2017","SP.RUR.TOTL.ZS_2018","SP.RUR.TOTL.ZS_2019"
"Least developed countries: UN classification","LDC",69.0192650452355,68.5113005131779,67.9987313758373,67.4814848312611,66.9594678284099,66.431939917901,65.8986491891132
"Lebanon","LBN",12.21,12.053,11.894,11.734,11.571,11.407,11.242
"Lesotho","LSO",73.899,73.498,73.092,72.683,72.27,71.847,71.415
"Liberia","LBR",51.015,50.603,50.18,49.746,49.303,48.849,48.385
"Libya","LBY",21.244,20.991,20.73,20.46,20.183,19.898,19.607
"Liechtenstein","LIE",85.666,85.687,85.697,85.697,85.685,85.662,85.629
"Lithuania","LTU",33.014,32.892,32.77,32.634,32.484,32.321,32.145
"Low & middle income","LMY",52.409143506955,51.8620703771409,51.3120398231716,50.7639277899603,50.2184262595195,49.6807116707742,49.1501713403779
"Low income","LIC",68.8757777298524,68.602711486034,68.2551507602231,67.8897848187174,67.5074379749682,67.1055821151392,66.6817338257066
"Lower middle income","LMC",63.0381390497709,62.6036706385659,62.1609725365891,61.7123473951785,61.2559750382931,60.789951051233,60.3141491577427
"Luxembourg","LUX",10.426,10.116,9.821,9.54000000000001,9.273,9.01900000000001,8.777
"Macao SAR, China","MAC",0,0,0,0,0,0,0
"Madagascar","MDG",66.122,65.466,64.807,64.144,63.478,62.809,62.139
"Malawi","MWI",84.034,83.868,83.687,83.494,83.286,83.063,82.826
"Malaysia","MYS",27.07,26.423,25.787,25.16,24.553,23.964,23.393
"Maldives","MDV",62.315,61.894,61.471,61.046,60.62,60.192,59.762
"Mali","MLI",61.602,60.804,60.009,59.217,58.428,57.644,56.864
"Malta","MLT",5.721,5.65300000000001,5.586,5.52,5.45399999999999,5.38800000000001,5.322
"Marshall Islands","MHL",25.054,24.616,24.189,23.772,23.366,22.969,22.583
"Mauritania","MRT",50.694,49.797,48.911,48.038,47.176,46.328,45.493
"Mauritius","MUS",58.778,58.889,59,59.09,59.159,59.207,59.234
"Mexico","MEX",21.301,21.007,20.715,20.423,20.133,19.844,19.556
"Micronesia, Fed. Sts.","FSM",77.645,77.601,77.544,77.474,77.392,77.297,77.188
"Middle East & North Africa","MEA",36.3256774301199,35.9999305078476,35.6290991893862,35.2804523321816,34.9474202923294,34.6280140445934,34.3213851749204
"Middle East & North Africa (excluding high income)","MNA",40.0597742968541,39.7583361163267,39.3983694529234,39.0583153468484,38.7294748099768,38.4094524824717,38.0965996259187
"Middle East & North Africa (IDA & IBRD countries)","TMN",40.2349812491291,39.9339240533989,39.5736621949923,39.2335949003334,38.904551773348,38.5854570017155,38.2736095340958
"Middle income","MIC",50.6587335957849,50.0583119286428,49.4610358697676,48.8663852847185,48.2750689306557,47.6924991225263,47.1182340543037
"Moldova","MDA",57.473,57.504,57.51,57.489,57.443,57.371,57.274
"Monaco","MCO",0,0,0,0,0,0,0
"Mongolia","MNG",31.903,31.837,31.77,31.703,31.637,31.555,31.457
"Montenegro","MNE",34.863,34.529,34.194,33.859,33.523,33.187,32.85
"Morocco","MAR",40.3,39.744,39.191,38.64,38.092,37.547,37.006
"Mozambique","MOZ",66.64,66.122,65.6,65.074,64.545,64.012,63.472
"Myanmar","MMR",70.543,70.35,70.142,69.918,69.678,69.421,69.148
"Namibia","NAM",55.244,54.174,53.1,52.039,50.995,49.968,48.958
"Nauru","NRU",0,0,0,0,0,0,0
"Nepal","NPL",82.185,81.818,81.443,81.058,80.664,80.26,79.847
"Netherlands","NLD",10.813,10.31,9.827,9.36499999999999,8.923,8.51000000000001,8.124
"New Caledonia","NCL",31.521,31.069,30.621,30.179,29.744,29.317,28.896
"New Zealand","NZL",13.779,13.719,13.659,13.6,13.534,13.462,13.385
"Nicaragua","NIC",42.495,42.3,42.105,41.91,41.701,41.478,41.24
"Niger","NER",83.792,83.781,83.753,83.71,83.65,83.575,83.483
"Nigeria","NGA",53.882,53.018,52.162,51.317,50.481,49.656,48.843
"North America","NAC",18.7096274401241,18.5401336265898,18.3669173504276,18.1912493282047,18.0103826295314,17.826954516011,17.6383059124822
"North Macedonia","MKD",42.811,42.716,42.592,42.437,42.252,42.037,41.792
"Northern Mariana Islands","MNP",8.81,8.727,8.643,8.557,8.47,8.38200000000001,8.292
"Norway","NOR",19.714,19.308,18.909,18.515,18.129,17.752,17.384
"OECD members","OED",20.38282969219,20.1933058220456,19.99933329913,19.8029607892929,19.6032678099882,19.4010716837373,19.1954271466344
"Oman","OMN",21.118,19.855,18.65,17.5,16.44,15.461,14.557
"Other small states","OSS",40.5026128178518,39.9452307718722,39.4046345386412,38.8820096312888,38.3753645108926,37.8814565122456,37.4034971261055
"Pacific island small states","PSS",62.4364137130727,62.1973824842934,61.958740396371,61.7092642583219,61.4695313865817,61.2186558820884,60.9616093280817
"Pakistan","PAK",64.387,64.181,63.974,63.766,63.558,63.334,63.093
"Palau","PLW",23.138,22.483,21.841,21.225,20.635,20.07,19.53
"Panama","PAN",33.948,33.629,33.304,32.973,32.635,32.291,31.941
"Papua New Guinea","PNG",87.022,87.012,86.988,86.95,86.898,86.831,86.75
"Paraguay","PRY",39.803,39.526,39.25,38.974,38.7,38.415,38.121
"Peru","PER",23.011,22.827,22.643,22.461,22.28,22.093,21.901
"Philippines","PHL",54.097,53.907,53.716,53.525,53.318,53.093,52.851
"Poland","POL",39.471,39.597,39.722,39.822,39.895,39.942,39.963
"Portugal","PRT",37.648,37.064,36.486,35.914,35.348,34.789,34.236
"Post-demographic dividend","PST",19.5951009330349,19.4270322305535,19.254106780401,19.0795316939865,18.9014107867485,18.7201466574153,18.5342731967197
"Pre-demographic dividend","PRE",61.4947914658395,60.9502572695047,60.4061098749883,59.8631618018274,59.3191859208554,58.7730484857523,58.2235460640257
"Puerto Rico","PRI",6.31399999999999,6.349,6.376,6.398,6.413,6.422,6.42400000000001
"Qatar","QAT",1.215,1.13200000000001,1.05500000000001,0.984999999999999,0.921999999999997,0.864999999999995,0.811999999999998
"Romania","ROU",46.063,46.1,46.113,46.1,46.064,46.002,45.916
"Russian Federation","RUS",26.137,26.05,25.95,25.836,25.708,25.567,25.413
"Rwanda","RWA",83.053,83.033,82.996,82.944,82.875,82.789,82.687
"Samoa","WSM",80.615,80.851,81.086,81.319,81.548,81.757,81.944
"San Marino","SMR",3.63,3.441,3.261,3.09,2.928,2.774,2.63200000000001
"Sao Tome and Principe","STP",31.792,30.787,29.826,28.908,28.032,27.197,26.402
"Saudi Arabia","SAU",17.26,17.04,16.82,16.599,16.378,16.156,15.935
"Senegal","SEN",54.981,54.564,54.138,53.704,53.26,52.808,52.347
"Serbia","SRB",44.531,44.417,44.304,44.19,44.058,43.908,43.74
"Seychelles","SYC",45.463,45.031,44.6,44.169,43.739,43.309,42.881
"Sierra Leone","SLE",59.964,59.568,59.171,58.772,58.364,57.945,57.516
"Singapore","SGP",0,0,0,0,0,0,0
"Sint Maarten (Dutch part)","SXM",0,0,0,0,0,0,0
"Slovak Republic","SVK",45.86,46,46.111,46.194,46.249,46.274,46.271
"Slovenia","SVN",46.668,46.443,46.219,45.98,45.727,45.459,45.178
"Small states","SST",43.5606836499397,43.0878148133925,42.6227852308499,42.1664142040581,41.7181205650341,41.2750906399542,40.8415395978387
"Solomon Islands","SLB",78.567,78.104,77.64,77.177,76.714,76.251,75.79
"Somalia","SOM",57.883,57.321,56.755,56.184,55.609,55.029,54.446
"South Africa","ZAF",36.207,35.688,35.172,34.659,34.15,33.645,33.144
"South Asia","SAS",68.0555543235686,67.6631540821271,67.2624387081595,66.8536749076722,66.4358628594987,66.0076387543573,65.5681026430702
"South Asia (IDA & IBRD)","TSA",68.0555543235686,67.6631540821271,67.2624387081595,66.8536749076722,66.4358628594987,66.0076387543573,65.5681026430702
"South Sudan","SSD",81.585,81.374,81.148,80.908,80.654,80.385,80.101
"Spain","ESP",20.867,20.634,20.398,20.16,19.92,19.679,19.435
"Sri Lanka","LKA",81.802,81.782,81.744,81.689,81.616,81.524,81.415
"St. Kitts and Nevis","KNA",69.036,69.115,69.173,69.21,69.227,69.224,69.201
"St. Lucia","LCA",81.539,81.518,81.485,81.442,81.388,81.322,81.246
"St. Vincent and the Grenadines","VCT",49.846,49.442,49.036,48.627,48.216,47.802,47.386
"Sub-Saharan Africa","SSF",62.4488873699043,61.9308959695332,61.4089272637537,60.8838353868069,60.3553379932818,59.8231766270485,59.2872212046948
"Sub-Saharan Africa (excluding high income)","SSA",62.4554162922359,61.9364556491364,61.413566420176,60.887604572263,60.3582989814095,59.8253843499097,59.2887308177724
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",62.4488873699043,61.9308959695331,61.4089272637537,60.8838353868068,60.3553379932818,59.8231766270485,59.2872212046948
"Sudan","SDN",66.493,66.311,66.106,65.879,65.63,65.358,65.064
"Suriname","SUR",33.86,33.911,33.944,33.96,33.959,33.94,33.905
"Sweden","SWE",14.064,13.753,13.447,13.148,12.854,12.569,12.292
"Switzerland","CHE",26.326,26.304,26.282,26.261,26.239,26.203,26.151
"Syrian Arab Republic","SYR",47.471,48.5,47.832,47.165,46.5,45.838,45.179
"Tajikistan","TJK",73.411,73.345,73.258,73.149,73.018,72.866,72.691
"Tanzania","TZA",69.804,69.096,68.383,67.667,66.947,66.224,65.5
"Thailand","THA",53.807,53.057,52.306,51.552,50.8,50.051,49.308
"Timor-Leste","TLS",71.221,70.867,70.51,70.15,69.788,69.422,69.053
"Togo","TGO",60.939,60.421,59.9,59.372,58.838,58.298,57.752
"Tonga","TON",76.618,76.672,76.725,76.778,76.831,76.869,76.893
"Trinidad and Tobago","TTO",46.47,46.587,46.681,46.75,46.795,46.816,46.813
"Tunisia","TUN",32.505,32.228,31.944,31.654,31.358,31.055,30.746
"Turkey","TUR",27.469,26.923,26.389,25.866,25.356,24.857,24.37
"Turkmenistan","TKM",50.459,50.079,49.683,49.272,48.847,48.407,47.952
"Turks and Caicos Islands","TCA",8.517,8.149,7.80500000000001,7.483,7.18300000000001,6.902,6.64
"Tuvalu","TUV",42.186,41.214,40.27,39.355,38.47,37.613,36.785
"Uganda","UGA",79.042,78.496,77.94,77.376,76.804,76.226,75.639
"Ukraine","UKR",31.125,31.032,30.939,30.846,30.754,30.648,30.527
"United Arab Emirates","ARE",14.934,14.625,14.326,14.035,13.752,13.478,13.211
"United Kingdom","GBR",17.898,17.635,17.374,17.114,16.857,16.602,16.348
"United States","USA",18.701,18.517,18.329,18.138,17.942,17.744,17.541
"Upper middle income","UMC",38.5441096446892,37.6976858841321,36.8620861359408,36.0362217789924,35.2227745162961,34.4264596967038,33.6481665276027
"Uruguay","URY",5.157,5.05500000000001,4.955,4.85599999999999,4.76000000000001,4.666,4.574
"Uzbekistan","UZB",49.05,49.15,49.25,49.35,49.45,49.522,49.567
"Vanuatu","VUT",75.239,75.139,75.039,74.938,74.837,74.726,74.606
"Venezuela, RB","VEN",11.867,11.856,11.846,11.835,11.817,11.792,11.76
"Vietnam","VNM",67.571,66.885,66.191,65.49,64.787,64.081,63.372
"Virgin Islands (U.S.)","VIR",4.93000000000001,4.78700000000001,4.65000000000001,4.52,4.39700000000001,4.279,4.16800000000001
"West Bank and Gaza","PSE",25.137,24.887,24.632,24.372,24.106,23.836,23.56
"World","WLD",46.9944006722791,46.5420540263625,46.0857524485818,45.6297311846395,45.1769515180887,44.7295739607251,44.2857152845525
"Yemen, Rep.","YEM",66.441,65.835,65.223,64.606,63.984,63.358,62.727
"Zambia","ZMB",59.135,58.618,58.093,57.562,57.024,56.479,55.928
"Zimbabwe","ZWE",67.346,67.496,67.615,67.704,67.763,67.791,67.79
