"country","countryiso3","latest.year_total_population.40942","latest.value_total_population.40942","latest.year_%_poverty_gap_at_national.40916","latest.value_%_poverty_gap_at_national.40916","latest.year_%_poverty_headcount_ratio.40918","latest.value_%_poverty_headcount_ratio.40918","latest.year_%_poverty_headcount_ratio.40925","latest.value_%_poverty_headcount_ratio.40925","latest.year_%_rural_poverty_gap_at_na.40921","latest.value_%_rural_poverty_gap_at_na.40921","latest.year_% of rural population_rur.40923","latest.value_% of rural population_rur.40923","latest.year_%_urban_poverty_gap_at_na.40930","latest.value_%_urban_poverty_gap_at_na.40930","latest.year_% of urban population_urb.40932","latest.value_% of urban population_urb.40932","latest.year_second 20%_income_share_h.40899","latest.value_second 20%_income_share_h.40899","latest.year_third 20%_income_share_he.40900","latest.value_third 20%_income_share_he.40900","latest.year_fourth 20%_income_share_h.40901","latest.value_fourth 20%_income_share_h.40901","latest.year_highest 20%_income_share_.40902","latest.value_highest 20%_income_share_.40902","latest.year_highest 10%_income_share_.40903","latest.value_highest 10%_income_share_.40903","latest.year_lowest 10%_income_share_h.40904","latest.value_lowest 10%_income_share_h.40904","latest.year_lowest 20%_income_share_h.40905","latest.value_lowest 20%_income_share_h.40905","latest.year_ratio_poverty_headcount_r.40906","latest.value_ratio_poverty_headcount_r.40906","latest.year_%_poverty_gap_at_$1.90","latest.value_%_poverty_gap_at_$1.90","latest.year_world bank estimate_gini_.40910","latest.value_world bank estimate_gini_.40910","latest.year_% of population_poverty_h.40911","latest.value_% of population_poverty_h.40911","latest.year_%_poverty_gap_at_$3.20","latest.value_%_poverty_gap_at_$3.20","latest.year_millions_number_of_poor_a.40920","latest.value_millions_number_of_poor_a.40920","latest.year_%_poverty_gap_at_$5.50","latest.value_%_poverty_gap_at_$5.50","latest.year_mean_survey_mean_consumpt.40934","latest.value_mean_survey_mean_consumpt.40934","latest.year_mean_survey_mean_consumpt.40936","latest.value_mean_survey_mean_consumpt.40936","latest.year_%_annualized_average_grow.40935","latest.value_%_annualized_average_grow.40935","latest.year_%_annualized_average_grow.40937","latest.value_%_annualized_average_grow.40937"
"Aruba","ABW",2017,105264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG",2017,35530081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO",2017,29784193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","ALB",2017,2873457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra","AND",2017,76965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates","ARE",2017,9400145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","ARG",2017,44271041,NA,NA,2017,25.7,2016,7.8,NA,NA,NA,NA,NA,NA,NA,NA,2016,9.6,2016,15,2016,22.7,2016,47.6,2016,30.9,2016,1.8,2016,5,2016,0.6,NA,NA,2016,42.4,2016,2.4,NA,NA,2016,0.2,NA,NA,2016,8.51,2016,23.26,2016,0.15,2016,0
"Armenia","ARM",2017,2930450,2014,4.5,2016,29.4,2016,43.5,2014,4.5,2014,29.9,2014,4.5,2014,30,2016,12.1,2016,17,2016,22.8,2016,40.2,2016,25.3,2016,3.3,2016,7.9,2016,1.8,NA,NA,2016,32.5,2016,14.1,NA,NA,2016,0.1,NA,NA,2016,3.53,2016,7.08,2016,2.25,2016,4.58
"American Samoa","ASM",2017,55641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",2017,102012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","AUS",2017,24598933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","AUT",2017,8809212,NA,NA,NA,NA,2015,0.9,NA,NA,NA,NA,NA,NA,NA,NA,2015,13.2,2015,17.6,2015,22.9,2015,38.4,2015,23.8,2015,3,2015,7.9,2015,0.7,NA,NA,2015,30.5,2015,0.7,NA,NA,2015,0.1,NA,NA,2015,29.07,2015,55.26,2015,-0.47,2015,-0.28
"Azerbaijan","AZE",2017,9862429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burundi","BDI",2017,10864245,2014,25.1,2014,64.9,NA,NA,2014,26.9,2014,68.8,2014,9.2,2014,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","BEL",2017,11372068,NA,NA,NA,NA,2015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,14,2015,18.1,2015,22.7,2015,36.5,2015,22.2,2015,3.4,2015,8.6,2015,0,NA,NA,2015,27.7,2015,0.2,NA,NA,2015,0,NA,NA,2015,27.5,2015,48.89,2015,0.57,2015,0.48
"Benin","BEN",2017,11175692,NA,NA,2015,40.1,2015,90.6,NA,NA,NA,NA,NA,NA,NA,NA,2015,9.6,2015,14.2,2015,20.8,2015,52.1,2015,37.6,2015,1,2015,3.2,2015,49.6,NA,NA,2015,47.8,2015,76.2,NA,NA,2015,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkina Faso","BFA",2017,19193382,2014,9.7,2014,40.1,2014,92.3,2014,11.6,2014,47.5,2014,2.9,2014,13.7,2014,11.7,2014,15,2014,20.6,2014,44.3,2014,29.6,2014,3.6,2014,8.3,2014,43.7,NA,NA,2014,35.3,2014,76.4,NA,NA,2014,7.7,NA,NA,2014,1.38,2014,2.76,2014,5.84,2014,2.93
"Bangladesh","BGD",2017,164669751,NA,NA,2016,24.3,2016,84.5,NA,NA,NA,NA,NA,NA,NA,NA,2016,12.4,2016,16.1,2016,21.4,2016,41.4,2016,26.8,2016,3.7,2016,8.6,2016,14.8,NA,NA,2016,32.4,2016,52.9,NA,NA,2016,24.1,NA,NA,2016,2.03,2016,3.86,2016,1.35,2016,1.54
"Bulgaria","BGR",2017,7075991,NA,NA,2016,23.4,2014,8.7,NA,NA,NA,NA,NA,NA,NA,NA,2014,11.8,2014,16.2,2014,22.1,2014,43.9,2014,28.8,2014,2,2014,6,2014,1.5,NA,NA,2014,37.4,2014,3.7,NA,NA,2014,0.1,NA,NA,2014,8.32,2014,18.72,2014,0.43,2014,2.11
"Bahrain","BHR",2017,1492584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The","BHS",2017,395361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",2017,3507017,NA,NA,2015,16.9,2015,3.8,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.4,2015,16.6,2015,22.8,2015,40.5,2015,25.1,2015,3,2015,7.7,2015,0.2,NA,NA,2015,32.7,2015,0.8,NA,NA,2015,0,NA,NA,2015,9.34,2015,18.65,2015,-0.45,2015,-0.79
"Belarus","BLR",2017,9507875,NA,NA,2016,5.7,2016,0.7,NA,NA,2015,8.7,NA,NA,2015,3.7,2016,14.1,2016,17.5,2016,21.9,2016,36.9,2016,22.9,2016,4.1,2016,9.6,2016,0,NA,NA,2016,27,2016,0,NA,NA,2016,0,NA,NA,2016,11.47,2016,19.37,2016,4.06,2016,3.46
"Belize","BLZ",2017,374681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bermuda","BMU",2017,65441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","BOL",2017,11051600,2015,16.8,2016,39.5,2016,25,2014,30.5,2014,57.6,2014,10.5,2014,30.6,2016,9.5,2016,14.9,2016,22.8,2016,49,2016,32.1,2016,1.1,2016,3.9,2016,7.1,NA,NA,2016,44.6,2016,12.6,NA,NA,2016,0.8,NA,NA,2016,4.42,2016,13.24,2016,1.67,2016,1.06
"Brazil","BRA",2017,209288278,NA,NA,2015,8.7,2015,19.4,NA,NA,NA,NA,NA,NA,NA,NA,2015,7.9,2015,12.7,2015,19.7,2015,56.1,2015,40.4,2015,1.2,2015,3.6,2015,3.4,NA,NA,2015,51.3,2015,8,NA,NA,2015,6.9,NA,NA,2015,5.54,2015,19.25,2015,3.8,2015,2.19
"Barbados","BRB",2017,285719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam","BRN",2017,428697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan","BTN",2017,807610,NA,NA,2017,8.2,2017,38.6,NA,NA,NA,NA,NA,NA,NA,NA,2017,10.8,2017,15.5,2017,22.7,2017,44.4,2017,27.9,2017,2.7,2017,6.7,2017,1.5,NA,NA,2017,37.4,2017,12,NA,NA,2017,0,NA,NA,2017,3.83,2017,8.78,2017,1.63,2017,1.67
"Botswana","BWA",2017,2291661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic","CAF",2017,4659080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","CAN",2017,36708083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland","CHE",2017,8466017,NA,NA,NA,NA,2015,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.5,2015,16.8,2015,22.6,2015,40.2,2015,25.2,2015,3.2,2015,7.8,2015,0,NA,NA,2015,32.3,2015,0,NA,NA,2015,0,NA,NA,2015,33.59,2015,66.35,2015,0.98,2015,0.84
"Channel Islands","CHI",2017,165314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","CHL",2017,18054726,NA,NA,2017,8.6,2015,10.1,NA,NA,NA,NA,NA,NA,NA,NA,2015,8.9,2015,13,2015,19.7,2015,53.6,2015,38,2015,1.7,2015,4.8,2015,1.3,NA,NA,2015,47.7,2015,3.1,NA,NA,2015,0.2,NA,NA,2015,7.37,2015,21.63,2015,5.97,2015,5.49
"China","CHN",2017,1386395000,NA,NA,2017,3.1,2015,27.2,NA,NA,2014,7.2,NA,NA,NA,NA,2015,0,2015,0,2015,0,2015,0,2015,0,2015,0,2015,0,2015,0.7,NA,NA,NA,NA,2015,7,NA,NA,2015,10,NA,NA,2015,4.65,2015,10.9,2015,9.11,2015,7.37
"Cote d'Ivoire","CIV",2017,24294750,2015,16.3,2015,46.3,2015,82.2,2015,21.5,2015,56.8,2015,11.2,2015,35.9,2015,10.2,2015,14.6,2015,21.6,2015,47.8,2015,31.9,2015,2.1,2015,5.7,2015,28.2,NA,NA,2015,41.5,2015,57.4,NA,NA,2015,6.5,NA,NA,2015,1.53,2015,3.84,2015,0.74,2015,-0.22
"Cameroon","CMR",2017,24053727,2014,14.4,2014,37.5,2014,69,2014,22.9,2014,56.8,2014,1.8,2014,8.9,2014,8.5,2014,13.7,2014,21.6,2014,51.7,2014,35,2014,1.7,2014,4.5,2014,23.8,NA,NA,2014,46.6,2014,44.8,NA,NA,2014,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Dem. Rep.","COD",2017,81339988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.","COG",2017,5260750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","COL",2017,49065615,2015,10.3,2017,26.9,2016,28.5,2015,15.7,2015,40.3,2015,8.7,2015,24.1,2016,8,2016,12.6,2016,19.9,2016,55.7,2016,40,2016,1.3,2016,3.9,2016,4.5,NA,NA,2016,50.8,2016,11.8,NA,NA,2016,2.2,NA,NA,2016,4.24,2016,14.28,2016,3.49,2016,1.48
"Comoros","COM",2017,813912,NA,NA,2014,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabo Verde","CPV",2017,546388,NA,NA,2015,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica","CRI",2017,4905769,2015,8.8,2017,20,2016,10.7,2015,11.9,2015,27.9,2015,7.6,2015,19.4,2016,8.3,2016,12.8,2016,20.6,2016,54,2016,37.3,2016,1.5,2016,4.2,2016,1.3,NA,NA,2016,48.7,2016,3.8,NA,NA,2016,0.1,NA,NA,2016,7.39,2016,23.59,2016,2,2016,1.95
"Cuba","CUB",2017,11484636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curacao","CUW",2017,161014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands","CYM",2017,61559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","CYP",2017,1179551,NA,NA,NA,NA,2015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.1,2015,16.2,2015,21.7,2015,42.1,2015,27.4,2015,3.2,2015,7.9,2015,0,NA,NA,2015,34,2015,0,NA,NA,2015,0,NA,NA,2015,21.66,2015,43.38,2015,-4.34,2015,-3.04
"Czech Republic","CZE",2017,10591323,NA,NA,NA,NA,2015,0.4,NA,NA,NA,NA,NA,NA,NA,NA,2015,14.7,2015,17.8,2015,21.9,2015,35.9,2015,22.1,2015,3.9,2015,9.7,2015,0,NA,NA,2015,25.9,2015,0,NA,NA,2015,0,NA,NA,2015,17.15,2015,28.2,2015,1.42,2015,1.03
"Germany","DEU",2017,82695000,NA,NA,NA,NA,2015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.9,2015,17,2015,22.6,2015,39.7,2015,24.8,2015,3.1,2015,7.8,2015,0,NA,NA,2015,31.7,2015,0,NA,NA,2015,0,NA,NA,2015,27.88,2015,53.88,2015,-0.18,2015,0.59
"Djibouti","DJI",2017,956985,NA,NA,2017,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominica","DMA",2017,73925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark","DNK",2017,5769603,NA,NA,NA,NA,2015,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2015,13.9,2015,17.2,2015,21.8,2015,37.7,2015,23.8,2015,3.7,2015,9.4,2015,0.2,NA,NA,2015,28.2,2015,0.2,NA,NA,2015,0,NA,NA,2015,29.8,2015,51.93,2015,0.57,2015,0.45
"Dominican Republic","DOM",2017,10766998,NA,NA,2016,30.5,2016,21,NA,NA,NA,NA,NA,NA,NA,NA,2016,9.1,2016,13.9,2016,20.9,2016,51.1,2016,35,2016,1.9,2016,4.9,2016,1.6,NA,NA,2016,45.3,2016,6.2,NA,NA,2016,0.2,NA,NA,2016,5.24,2016,14.92,2016,4.46,2016,3.53
"Algeria","DZA",2017,41318142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador","ECU",2017,16624858,2015,8.5,2017,21.5,2016,23.9,2014,13.6,2014,35.3,2014,5.1,2014,16.4,2016,9.4,2016,14.1,2016,21.4,2016,50.5,2016,34.3,2016,1.6,2016,4.7,2016,3.6,NA,NA,2016,45,2016,9.4,NA,NA,2016,0.6,NA,NA,2016,4.74,2016,13.49,2016,2.95,2016,1.92
"Egypt, Arab Rep.","EGY",2017,97553151,NA,NA,2015,27.8,2015,61.9,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.8,2015,16,2015,20.6,2015,41.5,2015,27.8,2015,3.9,2015,9.1,2015,1.3,NA,NA,2015,31.8,2015,16.1,NA,NA,2015,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eritrea","ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","ESP",2017,46572028,NA,NA,NA,NA,2015,3.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,11.7,2015,17,2015,23.5,2015,42.1,2015,26.2,2015,1.9,2015,5.8,2015,1,NA,NA,2015,36.2,2015,1.5,NA,NA,2015,0.5,NA,NA,2015,15.9,2015,36.58,2015,-2.16,2015,-1.53
"Estonia","EST",2017,1315480,NA,NA,NA,NA,2015,2,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.5,2015,16.4,2015,23.2,2015,40.4,2015,24.4,2015,2.7,2015,7.5,2015,0.5,NA,NA,2015,32.7,2015,1,NA,NA,2015,0,NA,NA,2015,14.44,2015,29.04,2015,6.15,2015,6.62
"Ethiopia","ETH",2017,104957438,NA,NA,2015,23.5,2015,84.7,NA,NA,NA,NA,NA,NA,NA,NA,2015,11,2015,15,2015,20.6,2015,46.7,2015,31.4,2015,2.6,2015,6.6,2015,26.7,NA,NA,2015,39.1,2015,61.4,NA,NA,2015,27.4,NA,NA,2015,1.61,2015,3.66,2015,1.67,2015,4.91
"Finland","FIN",2017,5511303,NA,NA,NA,NA,2015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,14,2015,17.5,2015,22.4,2015,36.7,2015,22.4,2015,3.9,2015,9.4,2015,0,NA,NA,2015,27.1,2015,0,NA,NA,2015,0,NA,NA,2015,28.89,2015,49.36,2015,0.53,2015,0.17
"Fiji","FJI",2017,905502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France","FRA",2017,67118648,NA,NA,NA,NA,2015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.8,2015,16.7,2015,21.7,2015,40.9,2015,26.6,2015,3.1,2015,7.9,2015,0,NA,NA,2015,32.7,2015,0.2,NA,NA,2015,0,NA,NA,2015,27.4,2015,53.23,2015,0.74,2015,0.21
"Faroe Islands","FRO",2017,49290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micronesia, Fed. Sts.","FSM",2017,105544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","GAB",2017,2025137,NA,NA,2017,33.4,2017,32.4,NA,NA,NA,NA,NA,NA,NA,NA,2017,10.8,2017,15.7,2017,23,2017,44.4,2017,27.7,2017,2.2,2017,6,2017,3.4,NA,NA,2017,38,2017,11.3,NA,NA,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","GBR",2017,66022273,NA,NA,NA,NA,2015,0.7,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.2,2015,16.8,2015,23,2015,40.6,2015,25.4,2015,2.9,2015,7.5,2015,0.2,NA,NA,2015,33.2,2015,0.2,NA,NA,2015,0.1,NA,NA,2015,22.29,2015,46.6,2015,0.26,2015,0.11
"Georgia","GEO",2017,3717100,NA,NA,2017,21.9,2016,45.5,NA,NA,NA,NA,NA,NA,NA,NA,2016,11.5,2016,16,2016,22.2,2016,43.6,2016,28.1,2016,2.6,2016,6.7,2016,4.2,NA,NA,2016,36.5,2016,17.1,NA,NA,2016,0.2,NA,NA,2016,3.36,2016,7.38,2016,6.44,2016,4.32
"Ghana","GHA",2017,28833629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gibraltar","GIB",2017,34571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","GIN",2017,12717176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gambia, The","GMB",2017,2100568,NA,NA,2015,48.6,2015,72.5,NA,NA,NA,NA,NA,NA,NA,NA,2015,11.6,2015,15.7,2015,21.8,2015,43.6,2015,28.7,2015,3,2015,7.4,2015,10.1,NA,NA,2015,35.9,2015,37.8,NA,NA,2015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
