"country","countryiso3","total_population.40942_2014","total_population.40942_2015","total_population.40942_2016","total_population.40942_2017","%_poverty_gap_at_national.40916_2014","%_poverty_gap_at_national.40916_2015","%_poverty_headcount_ratio.40918_2014","%_poverty_headcount_ratio.40918_2015","%_poverty_headcount_ratio.40918_2016","%_poverty_headcount_ratio.40918_2017","%_rural_poverty_gap_at_na.40921_2014","%_rural_poverty_gap_at_na.40921_2015","% of rural population_rur.40923_2014","% of rural population_rur.40923_2015","%_urban_poverty_gap_at_na.40930_2014","%_urban_poverty_gap_at_na.40930_2015","% of urban population_urb.40932_2014","% of urban population_urb.40932_2015","second 20%_income_share_h.40899_2014","second 20%_income_share_h.40899_2015","second 20%_income_share_h.40899_2016","second 20%_income_share_h.40899_2017","third 20%_income_share_he.40900_2014","third 20%_income_share_he.40900_2015","third 20%_income_share_he.40900_2016","third 20%_income_share_he.40900_2017","fourth 20%_income_share_h.40901_2014","fourth 20%_income_share_h.40901_2015","fourth 20%_income_share_h.40901_2016","fourth 20%_income_share_h.40901_2017","highest 20%_income_share_.40902_2014","highest 20%_income_share_.40902_2015","highest 20%_income_share_.40902_2016","highest 20%_income_share_.40902_2017","highest 10%_income_share_.40903_2014","highest 10%_income_share_.40903_2015","highest 10%_income_share_.40903_2016","highest 10%_income_share_.40903_2017","lowest 10%_income_share_h.40904_2014","lowest 10%_income_share_h.40904_2015","lowest 10%_income_share_h.40904_2016","lowest 10%_income_share_h.40904_2017","lowest 20%_income_share_h.40905_2014","lowest 20%_income_share_h.40905_2015","lowest 20%_income_share_h.40905_2016","lowest 20%_income_share_h.40905_2017","ratio_poverty_headcount_r.40906_2014","ratio_poverty_headcount_r.40906_2015","ratio_poverty_headcount_r.40906_2016","ratio_poverty_headcount_r.40906_2017","%_poverty_gap_at_$1.90_a_.40909_2014","%_poverty_gap_at_$1.90_a_.40909_2015","%_poverty_gap_at_$1.90_a_.40909_2016","%_poverty_gap_at_$1.90_a_.40909_2017","world bank estimate_gini_.40910_2014","world bank estimate_gini_.40910_2015","world bank estimate_gini_.40910_2016","world bank estimate_gini_.40910_2017","% of population_poverty_h.40911_2014","% of population_poverty_h.40911_2015","% of population_poverty_h.40911_2016","% of population_poverty_h.40911_2017","%_poverty_gap_at_$3.20_a_.40912_2014","%_poverty_gap_at_$3.20_a_.40912_2015","%_poverty_gap_at_$3.20_a_.40912_2016","%_poverty_gap_at_$3.20_a_.40912_2017","millions_number_of_poor_a.40920_2014","millions_number_of_poor_a.40920_2015","millions_number_of_poor_a.40920_2016","millions_number_of_poor_a.40920_2017","%_poverty_headcount_ratio.40925_2014","%_poverty_headcount_ratio.40925_2015","%_poverty_headcount_ratio.40925_2016","%_poverty_headcount_ratio.40925_2017","%_poverty_gap_at_$5.50_a_.40926_2014","%_poverty_gap_at_$5.50_a_.40926_2015","%_poverty_gap_at_$5.50_a_.40926_2016","%_poverty_gap_at_$5.50_a_.40926_2017","mean_survey_mean_consumpt.40934_2014","mean_survey_mean_consumpt.40934_2015","mean_survey_mean_consumpt.40934_2016","mean_survey_mean_consumpt.40934_2017","%_annualized_average_grow.40935_2014","%_annualized_average_grow.40935_2015","%_annualized_average_grow.40935_2016","%_annualized_average_grow.40935_2017","mean_survey_mean_consumpt.40936_2014","mean_survey_mean_consumpt.40936_2015","mean_survey_mean_consumpt.40936_2016","mean_survey_mean_consumpt.40936_2017","%_annualized_average_grow.40937_2014","%_annualized_average_grow.40937_2015","%_annualized_average_grow.40937_2016","%_annualized_average_grow.40937_2017"
"Congo, Dem. Rep.","COD",73722860,76196619,78736153,81339988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.","COG",4871101,4995648,5125821,5260750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","COL",47791911,48228697,48653419,49065615,10.8,10.3,28.5,27.8,28,26.9,16.6,15.7,41.4,40.3,9.1,8.7,24.6,24.1,7.5,7.9,8,NA,12,12.5,12.6,NA,19.5,20,19.9,NA,57.5,55.9,55.7,NA,41.6,40,40,NA,1.2,1.3,1.3,NA,3.5,3.8,3.9,NA,5,4.5,4.5,NA,2,1.7,1.8,NA,52.8,51.1,50.8,NA,13.2,11.9,11.8,NA,4.8,4.3,4.3,NA,2.4,2.2,2.2,NA,29.8,28.7,28.5,NA,11.7,11,10.9,NA,NA,NA,4.24,NA,NA,NA,3.49,NA,NA,NA,14.28,NA,NA,NA,1.48,NA
"Comoros","COM",759385,777424,795601,813912,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabo Verde","CPV",526437,532913,539560,546388,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica","CRI",4757575,4807852,4857274,4905769,8.8,8.8,22.4,21.7,20.5,20,12.3,11.9,30.3,27.9,7.5,7.6,19.5,19.4,8.3,8.4,8.3,NA,12.8,12.8,12.8,NA,20.8,20.6,20.6,NA,53.9,53.9,54,NA,36.9,36.8,37.3,NA,1.5,1.5,1.5,NA,4.2,4.3,4.2,NA,1.4,1.5,1.3,NA,0.6,0.6,0.5,NA,48.6,48.4,48.7,NA,3.8,4,3.8,NA,1.4,1.4,1.3,NA,0.1,0.1,0.1,NA,11.9,11.5,10.7,NA,3.9,3.9,3.6,NA,NA,NA,7.39,NA,NA,NA,2,NA,NA,NA,23.59,NA,NA,NA,1.95,NA
"Cuba","CUB",11439767,11461432,11475982,11484636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curacao","CUW",155909,157980,159663,161014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands","CYM",59172,59963,60765,61559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","CYP",1152309,1160985,1170125,1179551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,12.1,NA,NA,15.8,16.2,NA,NA,21.3,21.7,NA,NA,43.6,42.1,NA,NA,28.8,27.4,NA,NA,3,3.2,NA,NA,7.6,7.9,NA,NA,0,0,NA,NA,0,0,NA,NA,35.6,34,NA,NA,0.2,0,NA,NA,0.1,0,NA,NA,0,0,NA,NA,0.2,0.2,NA,NA,0.1,0,NA,NA,NA,21.66,NA,NA,NA,-4.34,NA,NA,NA,43.38,NA,NA,NA,-3.04,NA,NA
"Czech Republic","CZE",10525347,10546059,10566332,10591323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,14.7,NA,NA,17.8,17.8,NA,NA,21.9,21.9,NA,NA,36,35.9,NA,NA,22.1,22.1,NA,NA,3.9,3.9,NA,NA,9.7,9.7,NA,NA,0,0,NA,NA,0,0,NA,NA,25.9,25.9,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.7,0.4,NA,NA,0.1,0,NA,NA,NA,17.15,NA,NA,NA,1.42,NA,NA,NA,28.2,NA,NA,NA,1.03,NA,NA
"Germany","DEU",80982500,81686611,82348669,82695000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,NA,NA,NA,17,NA,NA,NA,22.6,NA,NA,NA,39.7,NA,NA,NA,24.8,NA,NA,NA,3.1,NA,NA,NA,7.8,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,31.7,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.2,NA,NA,NA,0.1,NA,NA,NA,27.88,NA,NA,NA,-0.18,NA,NA,NA,53.88,NA,NA,NA,0.59,NA,NA
"Djibouti","DJI",912164,927414,942333,956985,NA,NA,NA,NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominica","DMA",72778,73162,73543,73925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark","DNK",5643475,5683483,5728010,5769603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,13.9,NA,NA,17.3,17.2,NA,NA,22,21.8,NA,NA,37.7,37.7,NA,NA,23.5,23.8,NA,NA,3.5,3.7,NA,NA,9.1,9.4,NA,NA,0.2,0.2,NA,NA,0.1,0.1,NA,NA,28.4,28.2,NA,NA,0.2,0.2,NA,NA,0.1,0.2,NA,NA,0,0,NA,NA,0.7,0.5,NA,NA,0.2,0.2,NA,NA,NA,29.8,NA,NA,NA,0.57,NA,NA,NA,51.93,NA,NA,NA,0.45,NA,NA
"Dominican Republic","DOM",10405844,10528394,10648791,10766998,NA,NA,36.3,32.3,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,9.4,9.1,NA,14,13.9,13.9,NA,21.5,21,20.9,NA,50,50.6,51.1,NA,33.3,34.5,35,NA,1.9,1.9,1.9,NA,5.1,5.1,4.9,NA,2.3,1.9,1.6,NA,0.6,0.5,0.4,NA,44.1,44.7,45.3,NA,8.3,7,6.2,NA,2.5,2,1.7,NA,0.2,0.2,0.2,NA,26.5,22.7,21,NA,8.7,7.2,6.6,NA,NA,NA,5.24,NA,NA,NA,4.46,NA,NA,NA,14.92,NA,NA,NA,3.53,NA
"Algeria","DZA",39113313,39871528,40606052,41318142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador","ECU",15903112,16144368,16385068,16624858,7.9,8.5,22.5,23.3,22.9,21.5,13.6,NA,35.3,NA,5.1,NA,16.4,NA,9.3,9.1,9.4,NA,14,13.8,14.1,NA,21.2,21.3,21.4,NA,50.6,51.3,50.5,NA,34.4,34.9,34.3,NA,1.7,1.6,1.6,NA,4.8,4.6,4.7,NA,2.6,3.4,3.6,NA,0.8,1.2,1.2,NA,45,46,45,NA,8.6,9.4,9.4,NA,2.6,3.3,3.3,NA,0.4,0.6,0.6,NA,23.8,24.7,23.9,NA,8.2,8.8,8.7,NA,NA,NA,4.74,NA,NA,NA,2.95,NA,NA,NA,13.49,NA,NA,NA,1.92,NA
"Egypt, Arab Rep.","EGY",91812566,93778172,95688681,97553151,NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,16,NA,NA,NA,20.6,NA,NA,NA,41.5,NA,NA,NA,27.8,NA,NA,NA,3.9,NA,NA,NA,9.1,NA,NA,NA,1.3,NA,NA,NA,0.2,NA,NA,NA,31.8,NA,NA,NA,16.1,NA,NA,NA,3,NA,NA,NA,1.3,NA,NA,NA,61.9,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eritrea","ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","ESP",46480882,46444832,46484062,46572028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.7,NA,NA,17,17,NA,NA,23.6,23.5,NA,NA,41.9,42.1,NA,NA,26,26.2,NA,NA,1.8,1.9,NA,NA,5.7,5.8,NA,NA,0.7,1,NA,NA,0.5,0.6,NA,NA,36.1,36.2,NA,NA,1.5,1.5,NA,NA,0.7,0.9,NA,NA,0.3,0.5,NA,NA,2.9,3.2,NA,NA,1.4,1.5,NA,NA,NA,15.9,NA,NA,NA,-2.16,NA,NA,NA,36.58,NA,NA,NA,-1.53,NA,NA
"Estonia","EST",1314545,1315407,1315790,1315480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,12.5,NA,NA,16.1,16.4,NA,NA,22.6,23.2,NA,NA,42.1,40.4,NA,NA,26.2,24.4,NA,NA,2.4,2.7,NA,NA,7,7.5,NA,NA,0.7,0.5,NA,NA,0.5,0.4,NA,NA,34.6,32.7,NA,NA,1.2,1,NA,NA,0.7,0.5,NA,NA,0,0,NA,NA,3.2,2,NA,NA,1.4,0.9,NA,NA,NA,14.44,NA,NA,NA,6.15,NA,NA,NA,29.04,NA,NA,NA,6.62,NA,NA
"Ethiopia","ETH",97366774,99873033,102403196,104957438,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,15,NA,NA,NA,20.6,NA,NA,NA,46.7,NA,NA,NA,31.4,NA,NA,NA,2.6,NA,NA,NA,6.6,NA,NA,NA,26.7,NA,NA,NA,7.7,NA,NA,NA,39.1,NA,NA,NA,61.4,NA,NA,NA,22.7,NA,NA,NA,27.4,NA,NA,NA,84.7,NA,NA,NA,45,NA,NA,NA,1.61,NA,NA,NA,1.67,NA,NA,NA,3.66,NA,NA,NA,4.91,NA,NA
"Finland","FIN",5461512,5479531,5495303,5511303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,14,NA,NA,17.6,17.5,NA,NA,22.5,22.4,NA,NA,36.4,36.7,NA,NA,22,22.4,NA,NA,3.9,3.9,NA,NA,9.4,9.4,NA,NA,0,0,NA,NA,0,0,NA,NA,26.8,27.1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.2,0.2,NA,NA,0,0.1,NA,NA,NA,28.89,NA,NA,NA,0.53,NA,NA,NA,49.36,NA,NA,NA,0.17,NA,NA
"Fiji","FJI",885806,892149,898760,905502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France","FRA",66316092,66593366,66859768,67118648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,12.8,NA,NA,16.7,16.7,NA,NA,22,21.7,NA,NA,40.6,40.9,NA,NA,26.1,26.6,NA,NA,3.2,3.1,NA,NA,8,7.9,NA,NA,0,0,NA,NA,0,0,NA,NA,32.3,32.7,NA,NA,0,0.2,NA,NA,0,0.1,NA,NA,0,0,NA,NA,0.2,0.2,NA,NA,0,0.2,NA,NA,NA,27.4,NA,NA,NA,0.74,NA,NA,NA,53.23,NA,NA,NA,0.21,NA,NA
"Faroe Islands","FRO",48842,48965,49117,49290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micronesia, Fed. Sts.","FSM",104015,104433,104937,105544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","GAB",1875713,1930175,1979786,2025137,NA,NA,NA,NA,NA,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,15.7,NA,NA,NA,23,NA,NA,NA,44.4,NA,NA,NA,27.7,NA,NA,NA,2.2,NA,NA,NA,6,NA,NA,NA,3.4,NA,NA,NA,0.8,NA,NA,NA,38,NA,NA,NA,11.3,NA,NA,NA,3.2,NA,NA,NA,0.1,NA,NA,NA,32.4,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","GBR",64613160,65128861,65595565,66022273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12.2,NA,NA,16.6,16.8,NA,NA,22.9,23,NA,NA,41.2,40.6,NA,NA,26.1,25.4,NA,NA,2.9,2.9,NA,NA,7.3,7.5,NA,NA,0.2,0.2,NA,NA,0.1,0.1,NA,NA,34,33.2,NA,NA,0.2,0.2,NA,NA,0.1,0.1,NA,NA,0.2,0.1,NA,NA,0.5,0.7,NA,NA,0.3,0.3,NA,NA,NA,22.29,NA,NA,NA,0.26,NA,NA,NA,46.6,NA,NA,NA,0.11,NA,NA
"Georgia","GEO",3727000,3717100,3719300,3717100,NA,NA,23.5,21.6,22,21.9,NA,NA,NA,NA,NA,NA,NA,NA,11.2,11.4,11.5,NA,15.9,15.9,16,NA,22.4,22.6,22.2,NA,44.1,43.4,43.6,NA,28.4,27.8,28.1,NA,2.5,2.6,2.6,NA,6.4,6.8,6.7,NA,5.3,4,4.2,NA,1.3,1,1,NA,37.3,36.4,36.5,NA,18.7,16.7,17.1,NA,5.4,4.6,4.6,NA,0.2,0.1,0.2,NA,47.2,46.7,45.5,NA,17,16.1,15.8,NA,NA,NA,3.36,NA,NA,NA,6.44,NA,NA,NA,7.38,NA,NA,NA,4.32,NA
"Ghana","GHA",26962563,27582821,28206728,28833629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gibraltar","GIB",34038,34228,34408,34571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","GIN",11805509,12091533,12395924,12717176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gambia, The","GMB",1917852,1977590,2038501,2100568,NA,NA,NA,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,15.7,NA,NA,NA,21.8,NA,NA,NA,43.6,NA,NA,NA,28.7,NA,NA,NA,3,NA,NA,NA,7.4,NA,NA,NA,10.1,NA,NA,NA,2.2,NA,NA,NA,35.9,NA,NA,NA,37.8,NA,NA,NA,10.8,NA,NA,NA,0.2,NA,NA,NA,72.5,NA,NA,NA,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea-Bissau","GNB",1725744,1770526,1815698,1861283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equatorial Guinea","GNQ",1129424,1175389,1221490,1267689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece","GRC",10892413,10820883,10775971,10760421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,11.8,NA,NA,17,17,NA,NA,23.3,23.5,NA,NA,41.8,41.8,NA,NA,26.1,26.2,NA,NA,2,1.9,NA,NA,5.9,5.9,NA,NA,1.5,1.5,NA,NA,0.8,0.8,NA,NA,35.8,36,NA,NA,3,2.7,NA,NA,1.4,1.3,NA,NA,0.2,0.2,NA,NA,7,6.7,NA,NA,2.8,2.8,NA,NA,NA,9.41,NA,NA,NA,-8.35,NA,NA,NA,21.65,NA,NA,NA,-6.98,NA,NA
"Grenada","GRD",106360,106823,107317,107825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
