"country","countryiso3","Q1.1.1a","Q1.1.1b","Q1.1.1c","Q1.1.2a","Q1.1.2b","Q1.2.1a","Q1.2.1b","Q1.2.1c","Q1.2.2a","Q1.2.2b","Q1.2.2c","Q1.2.3a","Q1.2.4a","Q1.2.4b","Q1.2.5a","Q1.3.1a","Q1.3.1b","Q1.3.1c","Q1.3.1d","Q1.3.1e","Q1.3.2a","Q1.3.3a","Q1.3.4a","Q1.3.5a","Q1.4.1a","Q1.4.1b","Q1.4.2a","Q1.5.1a","Q1.5.1b","Q1.5.1c","Q1.5.2a","Q1.6.1a","Q1.6.1b","Q2.1.1a","Q2.1.1b","Q2.1.2a","Q2.1.2b","Q2.1.3a","Q2.1.3b","Q2.2.1a","Q2.2.1b","Q2.2.2a","Q2.2.2b","Q2.2.2c","Q2.2.3a","Q2.2.4a","Q2.2.4b","Q2.2.5a","Q2.2.5b","Q2.2.5c","Q2.3.1a","Q2.3.1b","Q2.3.2a","Q2.4.1a","Q3.1.1a","Q3.1.1b","Q3.1.1c","Q3.1.1d","Q3.1.2a","Q3.2.1a","Q3.2.1b","Q3.3.1a","Q3.3.1b","Q3.3.1c","Q3.4.1a","Q3.5.1a","Q3.5.2a","Q3.5.2b","Q3.6.1a","Q3.6.2a","Q3.6.3a","Q3.6.4a","Q3.7.1a","Q3.7.1b","Q3.7.2a","Q3.7.2b","Q4.1.1a","Q4.1.1b","Q4.1.1c","Q4.1.2a","Q4.1.2b","Q4.2.1a","Q4.2.2a","Q4.2.3a","Q4.3.1a","Q4.3.1b","Q4.3.1c","Q4.3.2a","Q4.4.1a","Q4.4.1b","Q4.5.1a","Q4.5.2a","Q4.6.1a","Q4.6.1b","Q4.6.2a","Q4.6.2b","Q5.1.1a","Q5.1.2a","Q5.2.1a","Q5.2.1b","Q5.3.1a","Q5.3.1b","Q5.3.1c","Q5.3.1d","Q5.3.2a","Q5.4.1a","Q5.4.1b","Q5.4.2a","Q5.4.2b","Q5.5.1a","Q5.5.1b","Q5.5.2a","Q5.5.3a","Q5.5.3b","Q5.6.1a","Q5.6.1b","Q5.6.1c","Q6.1.1a","Q6.1.2a","Q6.1.3a","Q6.1.4a","Q6.1.5a","Q6.1.6a","Q6.1.7a","Q6.2.1a","Q6.2.2a","Q6.2.3a","Q6.2.4a","Q6.2.5a","Q6.3.1a","Q6.3.2a","Q6.3.3a","Q6.4.1a","Q6.4.2a","Q6.4.3a","Q6.5.1a","Q6.5.1b","Q6.5.2a","Q6.5.2b","Q6.5.3a"
"Azerbaijan","AZE",0,1,0,0,0,1,0,0,1,0,0,1,20,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,98,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79,103,20,10,0,1,1,1,340.2,687.1,0,470,0,0,0,0,0,99.8,941.5,0,0,0,0,0,1,0,1,1,1,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,3,2,0,1,99.8,0.6824,0,1,0,2,3,3,55.3,3.17,3,72.03,65.6,84.4,89.3,238
"Bahamas","BHS",0,0,0,1,0,0,0,0,1,1,0,0,33,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,80,89.4,4,6,1,1,1,1,226.3,397.6,0,290,0,0,0,0,0,99.6,397.9,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,3,4,4,2,3,99.9,0.66,0.4,1,1,3,3,2,82.9,0,0,75.68,66.4,97.8,92,716
"Bahrain","BHR",2,1,0,1,1,0,0,0,0,0,0,1,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,95.9,130,0,0,1,1,1,1,92.2,248.5,0,200,0,1,0,0,0,99.7,522.3,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,2,2,1,94.9,0.7778,0.2,1,0,3,3,2,89.2,0.16,4,76.9,72,100,100,1145
"Bangladesh","BGD",1,1,0,0,0,1,0,1,0,0,0,1,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,18.2,88.1,17,20,1,1,1,1,47.2,26.7,0,80,1,1,0,0,0,49.8,65.1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,2,1,2,3,2,3,72.9,0.4577,2.7,2,1,1,1,0,35.9,-0.2,0,72.49,47.6,97.3,46.9,16
"Barbados","BRB",2,0,0,1,1,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79.5,118.2,4,6,1,1,1,1,181.1,485.6,0,580,0,0,0,0,0,99,597.7,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,2,4,4,2,4,99.6,0.7161,0.4,1,2,3,3,3,31.2,0,0,75.91,70.8,98.1,96.5,607
"Belarus","BLR",0,1,0,0,0,1,1,0,1,0,1,0,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,97,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,74.4,120.6,3,2,1,1,1,1,407,1141.9,0,1100,1,1,0,0,1,99.8,412.2,0,0,0,0,1,1,0,1,0,0,0,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,4,2,1,99.6,0.8697,0,1,0,1,1,2,78.1,0.96,3,73.83,79,98,94.3,707
"Belgium","BEL",2,2,0,1,1,1,0,0,1,0,1,1,95,NA,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,96,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,87.7,104.7,0,2,1,1,1,1,301.1,1108.8,0,620,1,1,1,0,1,99.3,740.3,0,1,1,0,1,1,0,1,0,1,0,1,1,2,1,1,3,1,1,0,0,0,0,0,0,1,1,0,1,1,3,3,2,2,4,2,3,99.9,0.9525,0,2,2,3,4,3,98,0.27,4,80.99,92.9,100,99.5,3926
"Belize","BLZ",1,1,0,1,1,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,44.6,61.9,4,6,0,1,1,1,82.8,195.9,1,130,0,0,0,0,0,96.8,123.8,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,2,4,3,2,2,94.2,0.6142,1,1,1,2,2,1,45.6,-2.2,0,70.38,55.7,97.1,87.2,359
"Benin","BEN",0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,12,78.5,10,14,1,1,1,1,15.3,59.8,0,50,0,0,0,0,0,77.2,36.3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,2,2,3,4,2,2,32.9,0.3885,22.4,1,1,1,2,1,46.8,-4.43,4,60.91,30.8,67,13.9,17
"Bhutan","BTN",1,1,0,1,0,1,0,0,1,0,1,1,10,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,1,1,0,0,0,1,0,41.8,90.5,0,1,1,1,1,1,38.1,151.1,1,170,0,0,0,0,1,89,59,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,2,3,4,4,4,2,3,57,0.524,0.2,2,0,1,1,4,40.2,2.55,0,70.2,47.3,97.6,62.9,217
