"country","countryiso3","Q1.1.1a","Q1.1.1b","Q1.1.1c","Q1.1.2a","Q1.1.2b","Q1.2.1a","Q1.2.1b","Q1.2.1c","Q1.2.2a","Q1.2.2b","Q1.2.2c","Q1.2.3a","Q1.2.4a","Q1.2.4b","Q1.2.5a","Q1.3.1a","Q1.3.1b","Q1.3.1c","Q1.3.1d","Q1.3.1e","Q1.3.2a","Q1.3.3a","Q1.3.4a","Q1.3.5a","Q1.4.1a","Q1.4.1b","Q1.4.2a","Q1.5.1a","Q1.5.1b","Q1.5.1c","Q1.5.2a","Q1.6.1a","Q1.6.1b","Q2.1.1a","Q2.1.1b","Q2.1.2a","Q2.1.2b","Q2.1.3a","Q2.1.3b","Q2.2.1a","Q2.2.1b","Q2.2.2a","Q2.2.2b","Q2.2.2c","Q2.2.3a","Q2.2.4a","Q2.2.4b","Q2.2.5a","Q2.2.5b","Q2.2.5c","Q2.3.1a","Q2.3.1b","Q2.3.2a","Q2.4.1a","Q3.1.1a","Q3.1.1b","Q3.1.1c","Q3.1.1d","Q3.1.2a","Q3.2.1a","Q3.2.1b","Q3.3.1a","Q3.3.1b","Q3.3.1c","Q3.4.1a","Q3.5.1a","Q3.5.2a","Q3.5.2b","Q3.6.1a","Q3.6.2a","Q3.6.3a","Q3.6.4a","Q3.7.1a","Q3.7.1b","Q3.7.2a","Q3.7.2b","Q4.1.1a","Q4.1.1b","Q4.1.1c","Q4.1.2a","Q4.1.2b","Q4.2.1a","Q4.2.2a","Q4.2.3a","Q4.3.1a","Q4.3.1b","Q4.3.1c","Q4.3.2a","Q4.4.1a","Q4.4.1b","Q4.5.1a","Q4.5.2a","Q4.6.1a","Q4.6.1b","Q4.6.2a","Q4.6.2b","Q5.1.1a","Q5.1.2a","Q5.2.1a","Q5.2.1b","Q5.3.1a","Q5.3.1b","Q5.3.1c","Q5.3.1d","Q5.3.2a","Q5.4.1a","Q5.4.1b","Q5.4.2a","Q5.4.2b","Q5.5.1a","Q5.5.1b","Q5.5.2a","Q5.5.3a","Q5.5.3b","Q5.6.1a","Q5.6.1b","Q5.6.1c","Q6.1.1a","Q6.1.2a","Q6.1.3a","Q6.1.4a","Q6.1.5a","Q6.1.6a","Q6.1.7a","Q6.2.1a","Q6.2.2a","Q6.2.3a","Q6.2.4a","Q6.2.5a","Q6.3.1a","Q6.3.2a","Q6.3.3a","Q6.4.1a","Q6.4.2a","Q6.4.3a","Q6.5.1a","Q6.5.1b","Q6.5.2a","Q6.5.2b","Q6.5.3a"
"Fiji","FJI",2,0,0,0,0,1,1,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,46.5,114.2,3,4,1,1,1,1,83.7,293.8,0,230,0,0,0,0,0,99.9,64.6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,4,4,2,4,83.3,0.6483,0.2,1,1,1,3,2,55.7,1.41,1,70.27,47.9,93.7,95.7,200
"Finland","FIN",2,1,0,1,1,1,1,1,1,1,1,1,44,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,94,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,0,2,1,1,1,1,0,0,1,0,0,1,1,1,1,87.5,130,0,0,0,0,1,1,319.6,1503.2,1,440,1,1,0,0,1,99.9,837,0,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,4,1,1,0,0,0,0,0,1,1,1,0,1,1,4,4,2,3,3,2,2,99.9,0.9421,0,2,2,4,3,4,85.3,0.25,4,81.78,95.9,100,99.4,3181
"France","FRA",2,2,1,1,1,1,0,0,1,1,1,1,85,6,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,90,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,80.5,106.2,4,4,0,1,1,1,323.8,1060.5,0,650,1,1,1,0,1,97.4,466.6,0,1,1,0,1,1,0,1,0,1,0,1,1,2,1,1,4,1,0,0,0,0,0,0,0,0,1,1,1,1,4,4,2,2,4,2,3,99.9,0.9171,0,1,2,4,4,4,80.2,2.06,4,82.27,91.7,100,98.7,3964
"Gabon","GAB",0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,63,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1,130,4,9,1,1,1,1,40.6,289.8,0,630,0,0,0,0,1,89.3,125.1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,4,4,2,3,82.3,0.4664,0.8,1,0,0,1,1,89,4.66,2,66.11,40.4,87.5,40.9,359
"Gambia","GMB",0,1,0,0,0,1,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,18.5,130,6,3,1,1,1,1,10.7,161.8,1,110,0,0,0,0,0,57.2,17.5,0,0,0,1,0,1,0,1,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,2,3,3,2,3,42,0.3772,2.2,1,1,1,2,1,60.6,1.66,4,61.19,35.7,80.1,41.7,14
"Georgia","GEO",2,1,0,1,0,1,0,0,0,0,0,1,108,13,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,95,1,2,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,60.5,130,5,10,1,1,1,1,477.6,397.1,0,260,0,1,1,0,1,99.9,443.2,1,0,0,0,0,1,0,1,0,1,1,0,0,2,1,1,3,1,1,0,0,0,0,0,1,0,1,0,1,1,2,2,2,3,2,0,1,99.6,0.6502,1,1,1,1,2,3,58.2,0.57,1,73.26,67.1,93.3,84.9,291
"Germany","DEU",2,2,0,1,1,1,1,0,1,1,1,1,37,NA,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,97,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,84.4,129.1,3,1,1,1,1,1,419.1,1379.4,1,830,1,1,1,0,1,98.7,678,0,0,0,0,1,1,0,1,0,1,0,1,1,2,1,1,4,1,0,0,0,0,0,0,0,1,1,1,1,1,4,4,3,3,4,2,2,99.9,0.9279,0,2,2,3,4,3,77.3,0.03,4,80.64,92,100,99.2,4626
"Ghana","GHA",2,1,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,34.7,127.5,12,14,1,1,1,1,9.6,92.6,0,90,0,1,0,0,1,70.8,71.6,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,2,3,3,2,3,2,3,71.5,0.4619,3.5,1,1,1,2,2,55.4,1.25,3,62.74,39.3,77.8,14.3,73
"Greece","GRC",1,2,0,0,1,1,1,0,1,0,0,0,31,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,97,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,69.1,115.9,3,6,1,1,1,1,625.5,340.7,0,430,1,1,0,0,1,99.1,776.6,0,0,0,0,1,1,0,1,0,0,1,1,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,2,4,2,2,97.4,0.8802,0.8,0,1,2,2,2,78.7,2.34,0,81.04,90.4,100,99,1374
"Grenada","GRD",0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55.9,105,4,6,1,1,1,1,66.8,385.4,1,370,0,0,0,0,0,99.3,430.5,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,3,4,4,2,3,98.6,0.6543,1,1,1,3,2,3,36.2,0,0,73.66,58.5,95.6,78.3,308
"Guatemala","GTM",0,1,0,0,0,0,0,0,1,0,1,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.5,118.2,10,10,1,1,1,1,89.7,86.4,0,60,0,0,0,0,1,65.5,246.6,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,1,3,3,0,3,81.3,0.5068,2.5,0,1,1,3,1,50.7,-3.65,4,73.41,51.5,93.6,67.4,172
"Guinea","GIN",0,1,0,1,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.8,87.1,9,14,1,1,1,1,7.5,36.8,0,30,0,0,0,0,1,62.7,53.6,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,2,1,2,3,2,3,32,0.3976,10.3,0,0,0,0,0,35.8,-1.47,3,60.02,26.4,67.4,22,13
"Guinea-Bissau","GNB",0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,77.1,8,8,1,1,1,1,4.5,55.1,0,100,0,0,0,0,0,45,34.7,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,3,2,0,2,45.6,0.3976,30.5,1,1,0,1,0,42.9,-3.56,0,57.4,23.4,69.2,21.5,43
"Guyana","GUY",0,0,0,1,1,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,35.7,82.7,4,6,1,1,1,1,21.4,53,0,160,0,0,0,0,0,85.7,116.6,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2,4,4,2,2,85.6,0.4961,1,0,2,1,2,1,26.5,-0.41,0,66.65,49.8,95.1,86.2,196
"Haiti","HTI",1,1,0,1,1,1,1,0,1,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.2,59.1,4,18,1,1,1,1,23.6,10.1,0,70,0,0,0,0,1,41.7,39.8,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,3,3,2,2,48.7,0.3988,7.5,0,1,0,0,0,54.3,-0.29,0,63.33,32.1,64.2,30.5,15
"Honduras","HND",0,1,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,30,88.9,3,10,1,1,1,1,39,113.3,0,70,0,0,0,0,1,82.8,180.2,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,4,3,0,3,89,0.5391,6.3,1,1,1,2,0,56.5,-10.72,0,73.58,46.5,92.2,79.8,184
"Hungary","HUN",0,2,0,1,1,1,0,0,1,1,0,1,34,7,0,0,1,1,0,1,0,2,1,1,1,1,0,0,0,0,0,99,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,76.8,123.8,4,6,1,1,1,1,309.3,663.3,1,700,0,1,0,0,1,99.2,583,0,0,0,0,1,1,0,1,0,1,0,1,1,2,1,1,3,1,0,0,0,0,0,0,1,0,1,0,1,1,2,3,3,4,4,2,2,99.1,0.7414,0.3,1,1,3,3,3,71.1,0.64,2,75.57,82.1,100,98,1293
"Iceland","ISL",0,1,0,1,1,1,0,0,1,0,1,1,59,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,98.2,122.6,0,0,1,1,1,1,379.1,1517.6,0,320,1,1,0,0,1,97.9,716.1,0,1,0,0,1,1,0,1,0,1,0,1,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,4,4,4,4,4,2,3,99.9,0.9381,0,1,2,3,3,4,93.8,0.13,4,82.47,97.1,100,98.8,3460
"India","IND",2,1,0,1,0,1,1,0,1,0,1,0,6,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,90,1,2,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,1,29.5,87.3,19,12,1,1,1,1,75.8,209.4,0,70,1,0,0,0,0,85.7,155.9,0,1,1,0,1,1,0,1,0,1,0,0,0,2,1,1,4,1,0,0,1,0,0,0,1,0,1,0,1,1,1,4,2,3,3,2,2,69.3,0.4759,4.3,2,2,1,2,1,33.6,0.92,2,68.56,41.2,87.6,44.2,61
"Indonesia","IDN",2,1,0,1,1,1,1,1,0,0,0,1,3,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,90,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,1,1,1,0,32.3,130,4,3,1,1,1,1,20.1,130.3,0,120,1,1,0,1,1,92.6,135.4,0,1,0,0,0,1,0,1,0,1,1,1,1,2,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,2,3,2,2,3,2,2,95.4,0.5466,0.9,2,1,1,2,2,54.7,-3.78,2,69.19,44.5,89.5,67.9,162
"Iran","IRN",2,2,0,1,0,1,1,0,1,0,0,0,14,10,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,99,1,2,1,1,0,0,1,1,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,60.4,107.3,6,0,1,1,1,1,149.1,155.1,0,150,1,0,0,0,1,99,606.6,0,1,0,0,1,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,2,2,0,85.5,0.539,0,2,1,2,2,1,74.4,0,2,75.95,71.8,94.9,88.3,853
"Iraq","IRQ",0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,87.1,0,11,1,1,1,1,85.4,181,0,140,0,0,0,0,1,70.4,377.5,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,43.7,0.494,0.4,1,1,0,1,0,70.3,0.01,1,69.86,51.1,86.1,85.7,154
"Ireland","IRL",2,2,1,1,1,1,1,0,1,1,1,1,83,NA,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,92,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,2,1,0,0,0,0,0,1,0,0,0,1,1,0,84.5,102.9,0,0,1,1,1,1,296.1,1239.8,1,280,1,1,0,0,0,99.7,688.5,0,0,0,0,1,1,1,1,0,1,0,1,1,2,1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,1,3,4,2,3,3,2,3,99.9,0.8906,0.2,1,2,3,3,3,62.9,0.85,4,81.61,94.6,98.9,92.2,3819
"Israel","ISR",0,1,0,1,1,0,0,0,1,0,1,1,20,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,98,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,81.6,126.7,0,0,1,1,1,1,357.6,507.2,0,310,1,1,1,0,1,99.1,653.1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,1,3,3,3,2,3,1,0,99.9,0.9022,0.3,1,2,2,3,4,92.3,0.57,4,82.41,84.8,100,100,1777
"Italy","ITA",2,1,0,1,1,1,1,0,1,0,1,0,38,6,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,92,1,2,1,1,0,1,1,0,1,1,1,1,1,1,1,2,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,61.3,130,9,10,1,1,1,1,402.1,571.8,0,340,1,1,0,0,1,99.9,791.9,0,0,0,0,1,1,0,1,0,1,0,1,1,2,1,1,4,1,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,4,2,3,98.8,0.9133,1.4,0,1,3,2,2,70.1,1.83,3,82.54,94.9,100,99.3,2552
"Jamaica","JAM",0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44.4,107,1,7,1,1,1,1,47.2,166.6,0,170,0,0,0,0,0,99.1,120,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,3,4,4,2,3,88.1,0.5884,0.4,1,2,2,2,2,55.4,-0.37,1,75.97,62,92.9,85.4,324
"Japan","JPN",2,1,1,1,1,1,1,0,1,0,1,0,31,NA,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,99,1,2,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,1,1,1,0,90.9,130,5,10,1,1,1,1,236.7,1124.1,0,1340,1,1,0,0,1,99.9,617.8,0,0,0,0,1,1,1,1,1,1,0,1,1,2,1,1,4,1,1,0,1,0,0,0,0,1,1,1,1,1,3,4,3,3,4,2,2,99.9,0.8966,0.2,1,1,3,3,3,91.5,0.03,2,83.98,94.1,98.9,100,3839
"Jordan","JOR",2,1,1,1,0,1,1,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,62.3,103.8,6,0,1,1,1,1,342.6,311.4,0,140,1,0,0,0,0,99.6,138.4,0,0,0,0,1,1,0,1,0,1,0,1,0,2,1,1,3,1,1,0,0,0,0,0,0,0,1,0,1,1,2,1,2,2,3,2,0,97.9,0.5404,0,1,1,2,3,2,90.7,-0.01,3,74.33,70.2,98.6,96.7,313
"Kazakhstan","KAZ",0,1,0,1,1,1,1,0,0,0,1,1,229,84,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,99,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,76.4,130,0,0,1,1,1,1,327.4,854.2,1,670,0,1,0,0,1,99.4,305.4,0,0,0,0,0,1,0,1,0,1,1,1,0,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,4,2,2,99.8,0.8033,0,1,0,2,3,3,57.3,-0.01,3,72.3,69.1,91.1,97.8,505
"Kenya","KEN",2,0,0,1,1,1,1,1,1,0,1,1,4,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,68,1,2,1,1,0,1,1,2,1,1,0,1,1,1,1,0,0,1,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,16.6,86.1,1,12,1,1,1,1,20.4,158.2,1,140,0,0,0,0,1,61.8,39.8,0,0,0,0,0,1,1,1,0,1,1,1,0,2,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,2,3,1,2,2,1,78.7,0.4506,11.6,1,1,0,1,0,26.6,0.64,3,67.03,39.5,58.5,29.8,52
"Kiribati","KIR",0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.7,39.6,3,4,1,1,1,1,20.3,461.6,0,190,0,0,0,0,0,98.3,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3,4,4,4,2,4,74.3,0.5239,3.3,1,1,0,1,1,53.3,0,0,66.32,26.5,64.4,39.8,154
"Kuwait","KWT",0,1,0,1,0,1,1,0,1,0,0,1,8,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,99,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,98,124.2,0,0,0,0,1,1,260.8,704.8,0,200,1,1,0,0,1,99.9,467.1,0,0,0,0,1,1,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,2,2,4,2,2,96.1,0.7303,0.2,1,1,3,3,1,100,0.03,4,74.69,80.7,100,100,2432
"Kyrgyz Republic","KGZ",0,1,0,0,0,1,1,0,0,0,0,0,44,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95,1,2,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,2,1,0,0,0,1,1,0,0,0,0,1,1,1,34.5,121.9,6,7,0,0,1,1,185.4,636.1,0,450,0,1,0,0,1,98.4,138.3,0,0,0,0,1,0,0,1,0,1,1,1,0,2,1,1,2,0,1,0,1,1,0,0,1,0,1,0,1,1,0,2,2,3,3,2,2,99.2,0.6079,0.2,1,1,1,2,2,36.1,-1.05,3,70.95,60.6,87.3,96.6,94
"Laos","LAO",0,0,0,0,0,0,0,0,1,0,0,0,6,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,1,2,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,21.9,54.1,6,3,1,1,1,1,49.1,95.9,1,150,0,1,0,0,1,40.1,71.8,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,3,3,3,2,3,84.7,0.5391,5.3,1,0,0,2,2,34.4,8.2,0,66.68,36.6,80.4,72.6,50
"Latvia","LVA",1,2,0,1,1,1,1,0,1,0,1,1,97,2,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,96,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,1,1,1,0,81.3,126.4,0,0,1,1,1,1,320.9,490.3,1,580,0,1,0,0,1,99.9,708.3,0,1,0,0,1,1,0,1,1,1,0,1,0,2,1,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,3,3,2,2,4,2,1,99.9,0.8041,0.4,1,2,2,3,3,68.1,0.79,3,74.53,80.7,98.6,92.9,868
"Lebanon","LBN",0,2,0,1,0,1,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,2,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,1,0,0,1,0,1,0,76.1,81.4,2,1,1,1,1,1,238,256.2,0,290,1,1,0,0,0,98.2,368.7,0,0,0,0,0,1,0,1,0,1,1,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,91.2,0.6193,0,1,1,1,3,0,88.4,0.08,4,79.58,85.6,92.3,95.4,598
"Lesotho","LSO",0,0,0,1,1,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.4,106.6,0,0,1,1,1,1,4.7,59.1,0,130,0,1,0,0,0,77.9,45.8,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,3,1,4,3,2,1,76.6,0.4562,31.8,1,1,2,2,1,27.7,0.22,1,54.17,32,71.6,43.8,155
"Liberia","LBR",0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,7.3,67.6,7,8,1,1,1,1,2.3,45.6,0,80,0,1,0,0,0,61.1,62.9,0,0,0,0,0,1,0,1,1,1,1,1,0,2,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,2,2,2,3,2,3,42.9,0.3444,11.7,0,2,0,1,0,50.7,-3.11,3,62.51,32.2,69.9,16.9,19
"Libya","LBY",2,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,121.7,0,16,1,1,1,1,209.2,690.5,0,370,0,0,0,0,0,99.9,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,94.2,0.8298,0.1,0,1,1,1,1,79.8,0,4,71.93,71.1,96.8,99.7,NA
