"country","countryiso3","score","category"
"Chad","TCD",28.8,"least_prepared"
"Zambia","ZMB",28.7,"least_prepared"
"Mozambique","MOZ",28.1,"least_prepared"
"Malawi","MWI",28,"least_prepared"
"Papua New Guinea","PNG",27.8,"least_prepared"
"Honduras","HND",27.6,"least_prepared"
"Grenada","GRD",27.5,"least_prepared"
"Mauritania","MRT",27.5,"least_prepared"
"Central African Republic","CAF",27.3,"least_prepared"
"Comoros","COM",27.2,"least_prepared"
"Congo (Democratic Republic)","COD",26.5,"least_prepared"
"Samoa","WSM",26.4,"least_prepared"
"St Kitts and Nevis","KNA",26.2,"least_prepared"
"Sudan","SDN",26.2,"least_prepared"
"Vanuatu","VUT",26.1,"least_prepared"
"Timor-Leste","TLS",26,"least_prepared"
"Iraq","IRQ",25.8,"least_prepared"
"Fiji","FJI",25.7,"least_prepared"
"Libya","LBY",25.7,"least_prepared"
"Angola","AGO",25.2,"least_prepared"
"Tonga","TON",25.1,"least_prepared"
"Dominica","DMA",24,"least_prepared"
"Algeria","DZA",23.6,"least_prepared"
"Congo (Brazzaville)","COG",23.6,"least_prepared"
"Djibouti","DJI",23.2,"least_prepared"
"Venezuela","VEN",23,"least_prepared"
"Burundi","BDI",22.8,"least_prepared"
"Eritrea","ERI",22.4,"least_prepared"
"Palau","PLW",21.9,"least_prepared"
"South Sudan","SSD",21.7,"least_prepared"
"Tuvalu","TUV",21.6,"least_prepared"
"Nauru","NRU",20.8,"least_prepared"
"Solomon Islands","SLB",20.7,"least_prepared"
"Niue","NIU",20.5,"least_prepared"
"Cook Islands","COK",20.4,"least_prepared"
"Gabon","GAB",20,"least_prepared"
"Guinea-Bissau","GNB",20,"least_prepared"
"Syria","SYR",19.9,"least_prepared"
"Kiribati","KIR",19.2,"least_prepared"
"Yemen","YEM",18.5,"least_prepared"
"Marshall Islands","MHL",18.2,"least_prepared"
"São Tomé and Príncipe","STP",17.7,"least_prepared"
"North Korea","PRK",17.5,"least_prepared"
"Somalia","SOM",16.6,"least_prepared"
"Equatorial Guinea","GNQ",16.2,"least_prepared"
