"country","countryiso3","SP.ADO.TFRT_2013","SP.ADO.TFRT_2014","SP.ADO.TFRT_2015","SP.ADO.TFRT_2016","SP.ADO.TFRT_2017","SP.ADO.TFRT_2018"
"Micronesia, Fed. Sts.","FSM",17.6296,16.7032,15.7768,14.8504,13.924,13.2274
"Middle East & North Africa","MEA",40.6395043735482,40.6017724457825,40.4988228269663,40.2426989322918,39.9706780005772,39.7044596608902
"Middle East & North Africa (excluding high income)","MNA",44.3373209634979,44.3414938287599,44.2590157602852,44.0989025813747,43.8906160685692,43.6236748642431
"Middle East & North Africa (IDA & IBRD countries)","TMN",44.116299898181,44.1411924432457,44.0797034922147,43.9409738193076,43.754576149965,43.497200602414
"Middle income","MIC",42.8567595144726,41.8735951399885,40.8901294777046,39.8632735334039,38.8212231841586,38.3596957932278
"Moldova","MDA",25.0966,24.4262,23.7558,23.0854,22.415,22.1802
"Mongolia","MNG",27.4634,28.3458,29.2282,30.1106,30.993,31.4384
"Montenegro","MNE",12.5266,11.7232,10.9198,10.1164,9.313,8.781
"Morocco","MAR",33.1012,32.5844,32.0676,31.5508,31.034,30.681
"Mozambique","MOZ",157.0412,154.9374,152.8336,150.7298,148.626,146.2508
"Myanmar","MMR",29.5626,29.2992,29.0358,28.7724,28.509,28.2066
"Namibia","NAM",75.911,72.84,69.769,66.698,63.627,61.632
"Nepal","NPL",73.8794,71.6898,69.5002,67.3106,65.121,64.399
"Netherlands","NLD",4.316,4.184,4.052,3.92,3.788,3.7028
"New Caledonia","NCL",17.1204,16.5478,15.9752,15.4026,14.83,14.4552
"New Zealand","NZL",22.1972,21.4654,20.7336,20.0018,19.27,18.6046
"Nicaragua","NIC",92.1532,90.3624,88.5716,86.7808,84.99,83.3048
"Niger","NER",197.902,195.061,192.22,189.379,186.538,183.5134
"Nigeria","NGA",115.106,113.162,111.218,109.274,107.33,105.447
"North America","NAC",24.9141341936224,23.3992229635975,21.8899735487449,20.3731213412371,18.8554418232832,17.6419501986564
"North Macedonia","MKD",17.5598,17.1006,16.6414,16.1822,15.723,15.162
"Norway","NOR",5.8594,5.6798,5.5002,5.3206,5.141,5.1048
