"country","countryiso3","region","time_since_first_case","time_since_first_death","time_since_first_recovered"
"Australia","AUS","From Diamond Princess",53,NA,NA
"Australia","AUS","Western Australia",45,44,23
"Australia","AUS","Tasmania",43,14,26
"Australia","AUS","Northern Territory",41,NA,10
"Australia","AUS","Australian Capital Territory",32,15,19
"Australia","AUS","External territories",NA,NA,NA
"Australia","AUS","Jervis Bay Territory",NA,NA,NA
"Australia","AUS",NA,80,44,73
"Brazil","BRA",NA,48,28,29
"Colombia","COL",NA,39,23,28
"Malaysia","MYS",NA,80,28,67
"Mexico","MEX",NA,46,26,42
"Philippines","PHL",NA,75,72,62
"Singapore","SGP",NA,82,24,66
"Vietnam","VNM",NA,82,NA,73
"France","FRA","France",34,34,34
"France","FRA","St Martin",34,15,15
"France","FRA","Saint Barthelemy",34,NA,15
"France","FRA","French Polynesia",32,22,22
"France","FRA","Fench Guiana",31,NA,NA
"France","FRA","French Guiana",30,NA,22
"France","FRA","Mayotte",30,14,15
"France","FRA","Guadeloupe",29,23,17
"France","FRA","Reunion",28,NA,23
"France","FRA","New Caledonia",26,NA,12
"France","FRA","Martinique",23,23,14
"France","FRA","Saint Pierre and Miquelon",9,NA,NA
"France","FRA",NA,81,59,62
"Nepal","NPL",NA,80,NA,62
"Canada","CAN","Ontario",79,28,36
"Canada","CAN","British Columbia",77,36,47
"Canada","CAN","Toronto, ON",70,NA,53
"Canada","CAN","London, ON",70,NA,62
"Canada","CAN","Montreal, QC",46,NA,NA
"Canada","CAN","Calgary, Alberta",39,NA,NA
"Canada","CAN","Edmonton, Alberta",38,NA,NA
"Canada","CAN","Alberta",36,25,NA
"Canada","CAN","Quebec",36,26,NA
"Canada","CAN","Diamond Princess",NA,23,NA
"Canada","CAN","Grand Princess",32,NA,NA
"Canada","CAN","New Brunswick",34,NA,NA
"Canada","CAN","Manitoba",32,18,NA
"Canada","CAN","Saskatchewan",32,15,NA
"Canada","CAN","Newfoundland and Labrador",30,15,NA
"Canada","CAN","Prince Edward Island",30,6,NA
"Canada","CAN","Nova Scotia",29,7,NA
"Canada","CAN","Northwest Territories",24,NA,NA
"Canada","CAN","Recovered",NA,NA,21
"Canada","CAN","Yukon",19,NA,NA
"Canada","CAN",NA,79,36,62
"Cambodia","KHM",NA,78,NA,62
"Ivory Coast","CIV",NA,78,NA,NA
"Sri Lanka","LKA",NA,78,17,66
"Germany","DEU","Bavaria",77,NA,NA
"Germany","DEU",NA,77,36,61
"Finland","FIN",NA,76,24,62
"United Arab Emirates","ARE",NA,76,25,62
"India","IND",NA,75,34,58
"Italy","ITA",NA,74,53,52
"Russia","RUS",NA,74,26,62
"Sweden","SWE",NA,74,34,36
"UK","GBR",NA,74,40,62
"Spain","ESP",NA,73,42,59
"Belgium","BEL",NA,70,34,57
"Others",NA,"Cruise Ship",67,NA,NA
"Others",NA,"Diamond Princess cruise ship",65,54,55
"Others",NA,NA,67,54,55
"Egypt","EGY",NA,60,37,46
"Iran","IRN",NA,55,55,48
"Israel","ISR","From Diamond Princess",53,NA,NA
"Israel","ISR",NA,53,24,47
"Lebanon","LBN","None",53,NA,NA
"Lebanon","LBN",NA,53,35,41
"Iraq","IRQ","None",NA,NA,NA
"Iraq","IRQ",NA,50,41,36
"Afghanistan","AFG",NA,50,23,29
"Bahrain","BHR",NA,50,29,39
"Kuwait","KWT",NA,50,10,37
"Oman","OMN",NA,50,14,45
"Algeria","DZA",NA,49,33,33
"Austria","AUT","None",49,NA,NA
"Austria","AUT",NA,49,33,36
"Croatia","HRV",NA,49,26,32
"Switzerland","CHE",NA,49,40,42
"Georgia","GEO",NA,48,10,29
"Greece","GRC",NA,48,34,31
"North Macedonia","MKD",NA,48,23,32
"Norway","NOR",NA,48,31,36
"Pakistan","PAK",NA,48,26,37
"Romania","ROU",NA,48,23,41
"Denmark","DNK","Denmark",34,31,34
"Denmark","DNK","Faroe Islands",34,NA,23
"Denmark","DNK","Greenland",26,NA,21
"Denmark","DNK",NA,47,31,39
"Estonia","EST",NA,47,20,30
"Netherlands","NLD","Netherlands",29,29,29
"Netherlands","NLD","Curacao",29,26,19
"Netherlands","NLD","Aruba",27,NA,23
"Netherlands","NLD","Sint Maarten",25,13,13
"Netherlands","NLD","Bonaire, Sint Eustatius and Saba",12,NA,NA
"Netherlands","NLD",NA,47,39,31
"San Marino","SMR",NA,47,42,31
"Azerbaijan","AZE",NA,46,32,34
"Belarus","BLR",NA,46,14,36
"Iceland","ISL",NA,46,30,35
"Lithuania","LTU",NA,46,24,30
"New Zealand","NZL",NA,46,16,21
"Nigeria","NGA",NA,46,22,27
"North Ireland",NA,NA,46,NA,NA
"Ireland","IRL",NA,45,34,28
"Luxembourg","LUX",NA,45,31,23
"Monaco","MCO",NA,45,16,23
"Qatar","QAT",NA,45,17,31
"Armenia","ARM",NA,44,19,28
"Czech Republic","CZE",NA,44,NA,NA
"Dominican Republic","DOM",NA,44,28,22
"Ecuador","ECU",NA,44,31,24
"Andorra","AND",NA,43,23,33
"Indonesia","IDN",NA,43,34,35
"Latvia","LVA",NA,43,11,35
"Morocco","MAR",NA,43,35,32
"Portugal","PRT",NA,43,28,32
"Saudi Arabia","SAU",NA,43,21,35
"Senegal","SEN",NA,43,13,37
"Argentina","ARG",NA,42,37,31
"Chile","CHL",NA,42,23,25
"Jordan","JOR",NA,42,18,32
"Ukraine","UKR",NA,42,32,24
"Faroe Islands","FRO",NA,41,NA,NA
"Gibraltar","GIB",NA,41,NA,35
"Hungary","HUN",NA,41,30,31
"Liechtenstein","LIE",NA,41,10,8
"Poland","POL",NA,41,33,29
"Saint Barthelemy","BLM",NA,41,NA,NA
"Tunisia","TUN",NA,41,26,23
"Bosnia and Herzegovina","BIH",NA,40,24,28
"Palestine","PSE",NA,40,NA,NA
"Slovenia","SVN",NA,40,31,21
"South Africa","ZAF",NA,40,18,23
"Bhutan","BTN",NA,39,NA,12
"Cameroon","CMR",NA,39,20,23
"Costa Rica","CRI",NA,39,26,24
"Peru","PER",NA,39,25,28
"Serbia","SRB",NA,39,25,29
"Slovakia","SVK",NA,39,27,23
"Togo","TGO",NA,39,18,25
"Vatican City","VAT",NA,39,NA,NA
"French Guiana","GUF",NA,38,NA,24
"Malta","MLT",NA,38,6,32
"Martinique","MTQ",NA,38,29,NA
"Bangladesh","BGD",NA,37,27,29
"Bulgaria","BGR",NA,37,34,24
"Maldives","MDV",NA,37,NA,23
"Moldova","MDA",NA,37,27,28
"Paraguay","PRY",NA,37,24,18
"Republic of Ireland","IRL",NA,37,NA,NA
"Albania","ALB",NA,36,34,24
"Brunei","BRN",NA,36,17,25
"Cyprus","CYP",NA,36,23,23
"St. Martin",NA,NA,36,NA,NA
"Burkina Faso","BFA",NA,35,27,24
"Channel Islands",NA,NA,35,NA,NA
"Holy See","VAT",NA,35,NA,6
"Hong Kong SAR","HKG","Hong Kong",35,35,35
"Hong Kong SAR","HKG",NA,35,35,35
"Iran (Islamic Republic of)","IRN",NA,35,35,35
"Macao SAR","MAC","Macau",35,NA,35
"Macao SAR","MAC",NA,35,NA,35
"Mongolia","MNG",NA,35,NA,15
"occupied Palestinian territory","PSE",NA,35,NA,NA
"Panama","PAN",NA,35,34,23
"Republic of Korea","KOR",NA,35,35,35
"Republic of Moldova","MDA",NA,35,NA,NA
"Russian Federation","RUS",NA,35,NA,35
"Saint Martin",NA,NA,35,NA,NA
"Taipei and environs","TWN","Taiwan",35,35,35
"Taipei and environs","TWN",NA,35,35,35
"Viet Nam","VNM",NA,35,NA,35
"Bolivia","BOL",NA,34,16,13
"China","CHN","Anhui",34,34,34
"China","CHN","Beijing",34,34,34
"China","CHN","Chongqing",34,34,34
"China","CHN","Fujian",34,34,34
"China","CHN","Gansu",34,34,34
"China","CHN","Guangdong",34,34,34
"China","CHN","Guangxi",34,34,34
"China","CHN","Guizhou",34,34,34
"China","CHN","Hainan",34,34,34
"China","CHN","Hebei",34,34,34
"China","CHN","Heilongjiang",34,34,34
"China","CHN","Henan",34,34,34
"China","CHN","Hong Kong",34,34,34
"China","CHN","Hubei",34,34,34
"China","CHN","Hunan",34,34,34
"China","CHN","Inner Mongolia",34,34,34
"China","CHN","Jiangsu",34,NA,34
"China","CHN","Jiangxi",34,34,34
"China","CHN","Jilin",34,34,34
"China","CHN","Liaoning",34,34,34
"China","CHN","Macau",34,NA,34
"China","CHN","Ningxia",34,NA,34
"China","CHN","Qinghai",34,NA,34
"China","CHN","Shaanxi",34,34,34
"China","CHN","Shandong",34,34,34
"China","CHN","Shanghai",34,34,34
"China","CHN","Shanxi",34,NA,34
"China","CHN","Sichuan",34,34,34
"China","CHN","Tianjin",34,34,34
"China","CHN","Tibet",34,NA,34
"China","CHN","Xinjiang",34,34,34
"China","CHN","Yunnan",34,34,34
"China","CHN","Zhejiang",34,34,34
"China","CHN",NA,34,34,34
"Congo (Kinshasa)","COD",NA,34,24,18
"Cote d'Ivoire","CIV",NA,34,16,28
"Cruise Ship",NA,"Diamond Princess",34,34,34
"Cruise Ship",NA,NA,34,34,34
"Czechia","CZE",NA,34,23,29
"Honduras","HND",NA,34,19,17
"Jamaica","JAM",NA,34,26,29
"Korea, South","KOR",NA,34,34,34
"Reunion","REU",NA,34,NA,NA
"Taiwan*","TWN",NA,34,34,34
"Turkey","TUR",NA,34,28,20
"United Kingdom","GBR","UK",34,34,34
"United Kingdom","GBR","Channel Islands",34,19,11
"United Kingdom","GBR","Gibraltar",34,NA,34
"United Kingdom","GBR","United Kingdom",32,32,32
"United Kingdom","GBR","Cayman Islands",29,29,10
"United Kingdom","GBR","Montserrat",27,NA,NA
"United Kingdom","GBR","Bermuda",26,8,19
"United Kingdom","GBR","Isle of Man",25,13,8
"United Kingdom","GBR","Anguilla",17,NA,NA
"United Kingdom","GBR","British Virgin Islands",17,NA,3
"United Kingdom","GBR","Turks and Caicos Islands",17,9,NA
"United Kingdom","GBR","Falkland Islands (Islas Malvinas)",10,NA,NA
"United Kingdom","GBR","Falkland Islands (Malvinas)",7,NA,6
"United Kingdom","GBR",NA,34,34,34
"Cuba","CUB",NA,33,27,21
"Guyana","GUY",NA,33,33,8
"Antigua and Barbuda","ATG",NA,32,7,NA
"Aruba","ABW",NA,32,NA,NA
"Cayman Islands","CYM",NA,32,NA,NA
"Ethiopia","ETH",NA,32,9,17
"Guadeloupe","GLP",NA,32,NA,NA
"Guinea","GIN",NA,32,NA,11
"Kazakhstan","KAZ",NA,32,25,19
"Kenya","KEN",NA,32,19,20
"Sudan","SDN",NA,32,32,14
"Curacao","CUW",NA,31,NA,NA
"Eswatini","SWZ",NA,31,NA,8
"Gabon","GAB",NA,31,25,11
"Ghana","GHA",NA,31,24,19
"Guatemala","GTM",NA,31,29,20
"Guernsey","GGY",NA,31,NA,NA
"Jersey","JEY",NA,31,NA,NA
"Mauritania","MRT",NA,31,15,16
"Namibia","NAM",NA,31,NA,21
"Rwanda","RWA",NA,31,NA,9
"Saint Lucia","LCA",NA,31,NA,18
"Saint Vincent and the Grenadines","VCT",NA,31,NA,17
"Seychelles","SYC",NA,31,NA,NA
"Suriname","SUR",NA,31,11,6
"Trinidad and Tobago","TTO",NA,31,20,24
"Uruguay","URY",NA,31,16,14
"Venezuela","VEN",NA,31,18,23
"Central African Republic","CAF",NA,30,NA,NA
"Congo (Brazzaville)","COG",NA,30,12,12
"Equatorial Guinea","GNQ",NA,30,NA,14
"Kosovo",NA,NA,30,19,18
"Uzbekistan","UZB",NA,30,18,18
"Benin","BEN",NA,29,8,14
"Greenland","GRL",NA,29,NA,NA
"Guam","GUM",NA,29,NA,NA
"Liberia","LBR",NA,29,10,10
"Mayotte","MYT",NA,29,NA,NA
"Puerto Rico","PRI",NA,29,NA,NA
"Republic of the Congo","COG",NA,29,NA,NA
"Somalia","SOM",NA,29,6,14
"Tanzania","TZA",NA,29,14,18
"The Bahamas","BHS",NA,29,NA,NA
"Barbados","BRB",NA,28,9,9
"Montenegro","MNE",NA,28,22,11
"The Gambia","GMB",NA,28,NA,NA
"Djibouti","DJI",NA,27,4,11
"Gambia, The","GMB",NA,27,NA,NA
"Kyrgyzstan","KGZ",NA,27,11,15
